External_Id__c,SBQQ__Feature__r.External_ID__c,SBQQ__Product__r.External_ID__c,Name,RecordTypeId,SBQQ__AppliedImmediately__c,SBQQ__ApplyToProductOptions__c,SBQQ__AutoSelect__c,SBQQ__ColumnOrder__c,SBQQ__DefaultField__c,SBQQ__DefaultObject__c,SBQQ__DisplayOrder__c,SBQQ__Hidden__c,SBQQ__HiddenValues__c,SBQQ__Position__c,SBQQ__Required__c,SBQQ__ShownValues__c,SBQQ__TargetField__c
,,EX-0011052,Special Handling,,false,true,false,1,,,30,false,,Top,false,,Special_Handling__c
,,EX-0011086,Ad Caption,,false,true,false,3,,,20,false,,Top,false,,Ad_Caption__c
,,EX-0011022,Ad Number,,false,true,false,3,,,10,false,,Top,false,,Ad__c
,,EX-0010621,Project Type,,true,true,false,1,,,1,false,,Top,false,,Project_Type__c
,,EX-0011084,Special Headline,,false,true,false,1,,,30,false,,Top,false,,Special_Handling__c
,,EX-0010417,Ad Size,,false,true,false,1,,,10,false,,Top,false,,Ad_Size__c
,,EX-0010624,TBB Class,,false,true,false,1,,,20,false,,Top,false,,TBB_Class__c
,,EX-0011032,Special Headline,,false,true,false,1,,,30,false,,Top,false,,Special_Handling__c
,,EX-0010961,Geo,,false,true,false,2,,,10,false,,Top,false,,Geo__c
,,EX-0010985,Delivery Frequency,,false,true,false,1,,,1,false,"Annual
Quarterly
Monthly
Semi-Annual",Top,false,1x,Delivery_Frequency__c
,,EX-0010625,Delivery Frequency,,false,true,false,1,,,5,false,1x,Top,false,"Quarterly
Annual
Monthly
Semi-Annual",Delivery_Frequency__c
,,EX-0010906,Geo Level of Detail,,true,true,false,1,,,3,false,,Top,false,,Geo_Level_of_Detail__c
,,EX-0011167,Ad Columns,,false,true,false,1,,,5,false,,Top,false,,Ad_Inches__c
,,EX-0010618,Project Types,,true,true,false,2,,,1,false,,Top,false,,Project_Type__c
,,EX-0011163,Special Headline,,false,true,false,1,,,30,false,,Top,false,,Special_Handling__c
,,EX-0011088,Ad Caption,,false,true,false,3,,,20,false,,Top,false,,Ad_Caption__c
,,EX-0011086,Ad Number,,false,true,false,3,,,10,false,,Top,false,,Ad__c
,,EX-0011130,Ad Caption,,false,true,false,3,,,20,false,,Top,false,,Ad_Caption__c
,,EX-0011088,Ad Size,,false,true,false,1,,,10,false,,Top,false,,Ad_Size__c
,,EX-0010992,Service Type,,true,true,false,1,,,1,false,,Top,false,,Analytics_Service_Type__c
,,EX-0010981,Ad Number,,false,true,false,3,,,10,false,,Top,false,,Ad__c
,,EX-0011053,Issue Date,,false,true,false,2,,,10,false,,Top,false,,Issue_Date__c
,,EX-0011066,Ad Columns,,false,true,false,1,,,5,false,,Top,false,,Ad_Inches__c
,,EX-0010417,Ad Columns,,false,true,false,1,,,5,false,,Top,false,,Ad_Inches__c
,,EX-0011149,Special Headline,,false,true,false,1,,,30,false,,Top,false,,Special_Handling__c
,,EX-0011070,Project Level of Detail,,true,true,false,1,,,2,false,,Top,false,,Project_Level_of_Detail__c
,,EX-0010798,Ad Number,,false,true,false,3,,,10,false,,Top,false,,Ad__c
,,EX-0010961,TBB Class,,false,true,false,1,,,20,false,,Top,false,,TBB_Class__c
,,EX-0011048,Ad Columns,,false,true,false,1,,,5,false,,Top,false,,Ad_Inches__c
,,EX-0011022,Ad Caption,,false,true,false,3,,,20,false,,Top,false,,Ad_Caption__c
,,EX-0010451,Project Category,,true,true,false,1,,,1,false,,Top,false,,Project_Category__c
,,EX-0010365,Geo,,false,true,false,2,,,10,false,,Top,false,,Geo__c
,,EX-0010780,Project Category,,true,true,false,2,,,1,false,,Top,false,,Project_Category__c
,,EX-0010979,Issue Date,,false,true,false,2,,,10,false,,Top,false,,Issue_Date__c
,,EX-0011130,Ad Number,,false,true,false,3,,,10,false,,Top,false,,Ad__c
,,EX-0010512,Project Category,,true,true,false,1,,,1,false,,Top,false,,Project_Category__c
,,EX-0011090,Ad Number,,false,true,false,3,,,10,false,,Top,false,,Ad__c
,,EX-0010953,Project Type,,true,true,false,2,,,1,false,,Top,false,,Project_Type__c
,,EX-0010417,Special Headline,,false,true,false,1,,,30,false,,Top,false,,Special_Handling__c
,,EX-0011023,Ad Caption,,false,true,false,3,,,20,false,,Top,false,,Ad_Caption__c
,,EX-0011130,Ad Size,,false,true,false,1,,,10,false,,Top,false,,Ad_Size__c
,,EX-0011005,Special Headline,,false,true,false,1,,,30,false,,Top,false,,Special_Handling__c
,,EX-0011167,Ad Number,,false,true,false,3,,,10,false,,Top,false,,Ad__c
,,EX-0011011,Ad Number,,false,true,false,3,,,10,false,,Top,false,,Ad__c
,,EX-0011104,Geo Level of Detail,,true,true,false,1,,,3,false,,Top,false,,Geo_Level_of_Detail__c
,,EX-0010714,TBB Region,,false,true,false,1,,,10,false,,Top,false,,TBB_Region__c
,,EX-0011019,Delivery Frequency,,false,true,false,1,,,1,false,"Annual
Quarterly
Monthly
Semi-Annual",Top,false,1x,Delivery_Frequency__c
,,EX-0010961,TBB Region,,false,true,false,1,,,10,false,,Top,false,,TBB_Region__c
