External_Id__c,SBQQ__Field__c,SBQQ__FilterFormula__c,SBQQ__FilterType__c,SBQQ__FilterVariable__r.External_Id__c,SBQQ__Index__c,SBQQ__Object__c,SBQQ__Operator__c,SBQQ__Rule__r.External_Id__c,SBQQ__TestedFormula__c,SBQQ__TestedVariable__r.External_Id__c,SBQQ__Value__c
,,,Value,,3,Quote Line,equals,,"AND( ISPICKVAL(SBQQ__Product__r.Revenue_Type__c, '1X'),
ISBLANK(Revenue_Type__c )
)",,true
,,,Value,,10,Quote,greater than,EX-20230526.03,Quote_Discount_Rate__c,,0
,,,Value,,10,Quote Line,equals,EX-20230526.61,( abs(SBQQ__Number__c) = abs(SBQQ__Quote__r.Bump_Line__c) ),,true
,,,Value,,10,Quote,greater than,EX-20230526.01,,,0
,SBQQ__EffectiveQuantity__c,,Value,,10,Quote Line,equals,EX-20230505.02,,,0
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
,SBQQ__Type__c,,Value,,,Quote,equals,,,,Amendment
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
,,,Value,,,Quote Line,equals,EX-000014,"ISPICKVAL(SBQQ__RequiredBy__r.SBQQ__Product__r.Revenue_Type__c , '1X')",,true
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
,,,Value,,2,Quote Line,equals,,SBQQ__RequiredBy__r.SBQQ__Product__r.Revenue_Type__c,,1X
