Name,External_ID__c,SBQQ__Category__c,SBQQ__ConfigurationFieldSet__c,SBQQ__ConfiguredSKU__r.External_ID__c,SBQQ__DiscountSchedule__r.External_Id__c,SBQQ__DynamicProductFilterFieldSet__c,SBQQ__DynamicProductLookupFieldSet__c,SBQQ__MaxOptionCount__c,SBQQ__MinOptionCount__c,SBQQ__Number__c,SBQQ__OptionSelectionMethod__c
Blue Book Configuration Items,,,,EX-0010275,,,,3,0,10,
Blue Book Configuration Items,,,,EX-0010710,,,,3,0,10,
Advertising Attributes,,,,EX-0011005,,,,,0,10,
Advertising Attributes,,,,EX-0011084,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010628,,,,3,0,10,
Blue Book Configuration Items,,,,EX-0010895,,,,3,0,10,
Advertising Attributes,,,,EX-0011130,,,,,0,10,
Advertising Attributes,,,,EX-0011107,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010714,,,,3,0,10,
Blue Book Configuration Items,,,,EX-0010602,,,,3,0,10,
Advertising Attributes,,,,EX-0011167,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010345,,,,3,0,10,
Blue Book Configuration Items,,,,EX-0010515,,,,0,0,10,
Advertising Attributes,,,,EX-0011053,,,,,0,10,
Advertising Attributes,,,,EX-0011014,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010443,,,,3,0,10,
Blue Book Configuration Items,,,,EX-0010464,,,,3,0,10,
Advertising Attributes,,,,EX-0011149,,,,,0,10,
IMS Projects,,,,EX-0010907,,,,,1,10,
Blue Book Super alpha,,,,EX-0010366,,,,3,0,10,
Blue Book Configuration Items,,,,EX-0010563,,,,3,0,10,
Advertising Attributes,,,,EX-0010979,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010516,,,,3,0,10,
Blue Book Configuration Items,,,,EX-0010194,,,,3,0,10,
Blue Book Configuration Items,,,,EX-0010886,,,,3,0,10,
Blue Book Configuration Items,,,,EX-0010444,,,,3,0,10,
Advertising Attributes,,,,EX-0011090,,,,,0,10,
Advertising Attributes,,,,EX-0010417,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010883,,,,3,0,10,
Advertising Attributes,,,,EX-0011048,,,,,0,10,
Advertising Attributes,,,,EX-0011163,,,,,0,10,
Advertising Attributes,,,,EX-0011089,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010961,,,,3,0,10,
Blue Book Configuration Items,,,,EX-0010624,,,,3,0,10,
Advertising Attributes,,,,EX-0011088,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010195,,,,0,0,10,
Advertising Attributes,,,,EX-0010798,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010279,,,,3,0,10,
Advertising Attributes,,,,EX-0011032,,,,,0,10,
Metro,,,,EX-0010621,,,,,0,30,
Metro,,,,EX-0010841,,,,,0,30,
State,,State,,EX-0010718,,,,,0,10,
User Interface Selction,,DCC Plan,,EX-0010201,,,,1,1,1,
Metro,,,,EX-0011070,,,,,0,30,
Platform Product,,,,EX-0011070,,,,,1,5,
Platform Product,,,,EX-0010841,,,,,1,5,
Metro,,,,EX-0010618,,,,,0,30,
National,,DCC Plan,,EX-0010631,,,,,0,14,
Packages,,,,,,,,,0,20,
Seats,,DCC Plan,,EX-0010201,,,,1,1,27,
Advertising Attributes,,,,EX-0011086,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010808,,,,3,0,10,
Blue Book Configuration Items,,,,EX-0010800,,,,3,0,10,
Advertising Attributes,,,,EX-0011023,,,,,0,10,
Advertising Attributes,,,,EX-0010981,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010365,,,,3,0,10,
Advertising Attributes,,,,EX-0011052,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010799,,,,0,0,10,
Blue Book Configuration Items,,,,EX-0010708,,,,3,0,10,
Advertising Attributes,,,,EX-0011066,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010959,,,,3,0,10,
Advertising Attributes,,,,EX-0011022,,,,,0,10,
Advertising Attributes,,,,EX-0011011,,,,,0,10,
IMS Seats,,,,EX-0010907,,,,,1,20,
Census Division,,DCC Plan,,EX-0010718,,,,,0,36,
County,,County,,EX-0010908,,,,,0,200,Dynamic
National,,,,EX-0010906,,,,,0,10,
Platform Product,,,,EX-0010871,,,,,1,10,
Platform Product,,,,EX-0010451,,,,,1,5,
County,,County,,EX-0010801,,,,,0,200,Dynamic
Metro,,Metro,,EX-0010631,,,,,0,40,
Geos,,,,EX-0010680,,,,,1,20,
Custom Legacy Packages,,Legacy Packages,,EX-0010718,,,,,0,210,
User Interface Selction,,DCC Plan,,EX-0010953,,,,1,1,1,
G,,,,EX-0010288,,,,,0,10,
National,,,,EX-0010451,,,,,0,10,
National,,DCC Plan,,EX-0010612,,,,,0,14,
State,,,,EX-0011051,,,,,0,20,
Census Division,,DCC Plan,,EX-0010801,,,,,0,36,
Census Division,,DCC Plan,,EX-0010512,,,,,0,36,
Census Division,,DCC Plan,,EX-0010908,,,,,0,36,
GHE,,,,EX-0010288,,,,,0,70,
National,,DCC Plan,,EX-0010202,,,,,0,14,
State,,,,EX-0010910,,,,,0,20,
National,,,,EX-0011104,,,,,0,10,
County NOnly,,County,OptionConfiguration,EX-0010718,,ConfiguratorFilter,ConfiguratorLookup,,0,200,Dynamic
GE,,,,EX-0010288,,,,,0,40,
Platform Product,,,,EX-0010124,,,,,1,5,
Platform Product,,,,EX-0010980,,,,,1,5,
State,,State,,EX-0010631,,,,,0,50,
Dodge Reports SKU,,,,EX-0010288,,,,,1,5,
National,,,,EX-0010124,,,,,0,10,
County,,County,,EX-0010612,,,,,0,200,Dynamic
Custom Legacy Packages,,Legacy Packages,,EX-0010201,,,,,0,110,
County,,County,,EX-0010953,,,,,0,100,Dynamic
County,,County,,EX-0010202,,,,,0,200,Click
State,,State,,EX-0010512,,,,,0,50,
H,,,,EX-0010288,,,,,0,20,
National,,,,EX-0010780,,,,,0,10,
Geos,,,,EX-0011109,,,,,1,20,
E,,,,EX-0010288,,,,,0,30,
Metro,,Metro,,EX-0010908,,,,,0,40,
State,,,,EX-0010906,,,,,0,20,
Geos,,,,EX-0010871,,,,,1,20,
National,,DCC Plan,,EX-0010977,,,,,0,14,
State,,,,EX-0011019,,,,,0,20,
User Interface Selction,,DCC Plan,,EX-0010718,,,,1,1,1,
Census Division,,DCC Plan,,EX-0010631,,,,,0,36,
Platform Product,,,,EX-0010621,,,,,1,5,
Metro,,,,EX-0010980,,,,,0,30,
National,,,,EX-0011019,,,,,0,10,
National,,DCC Plan,,EX-0010201,,,,,0,14,
National,,,,EX-0011051,,,,,0,10,
Census Division,,DCC Plan,,EX-0010612,,,,,0,36,
Custom Legacy Packages,,Legacy Packages,,EX-0010202,,,,,0,210,
User Interface Selction,,DCC Plan,,EX-0010512,,,,1,1,1,
Custom Legacy Packages,,Legacy Packages,,EX-0010631,,,,,0,220,
User Interface Selction,,DCC Plan,,EX-0010202,,,,1,1,1,
National,,,,EX-0011070,,,,,0,10,
National,,,,EX-0010621,,,,,0,10,
Seats,,DCC Plan,,EX-0010908,,,,1,1,27,
National,,,,EX-0010910,,,,,0,10,
Metro,,,,EX-0010906,,,,,0,30,
State,,State,,EX-0010977,,,,,0,10,
State,,,,EX-0010980,,,,,0,20,
User Interface Selction,,DCC Plan,,EX-0010631,,,,1,1,1,
National,,,,EX-0010841,,,,,0,10,
Blue Book Configuration Items,,,,EX-0010428,,,,3,0,10,
Platform Product,,,,EX-0010910,,,,,1,5,
Platform Product,,,,EX-0011051,,,,,1,5,
Platform Product,,,,EX-0010680,,,,,1,10,
Metro,,Metro,,EX-0010977,,,,,0,40,
Seats,,DCC Plan,,EX-0010612,,,,1,1,27,
State,,State,,EX-0010201,,,,,0,50,
Metro,,,,EX-0010124,,,,,0,30,
Custom Legacy Packages,,Legacy Packages,,EX-0010612,,,,,0,210,
Geos,,,,EX-0010985,,,,,1,20,
National,,DCC Plan,,EX-0010953,,,,,0,14,
Platform Product,,,,EX-0010695,,,,,1,10,
Platform Product,,,,EX-0011148,,,,,1,10,
State,,State,,EX-0010908,,,,,0,10,
Custom Legacy Packages,,Legacy Packages,,EX-0010772,,,,,0,210,
Metro,,,,EX-0011104,,,,,0,30,
Metro,,Metro,,EX-0010718,,,,,0,40,
Geos,,,,EX-0011148,,,,,1,20,
State,,State,,EX-0010801,,,,,0,10,
Platform Product,,,,EX-0011019,,,,,1,5,
User Interface Selction,,DCC Plan,,EX-0010801,,,,1,1,1,
Seats,,DCC Plan,,EX-0010631,,,,1,1,27,
Platform Product,,,,EX-0010906,,,,,1,5,
State,,,,EX-0010780,,,,,0,20,
Census Division,,DCC Plan,,EX-0010953,,,,,0,36,
User Interface Selction,,DCC Plan,,EX-0010612,,,,1,1,1,
Metro,,,,EX-0011051,,,,,0,30,
Metro,,Metro,,EX-0010801,,,,,0,40,
