External_Id__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__Rule__r.External_Id__c,SBQQ__RuleLookupObject__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__r.External_Id__c,SBQQ__TargetObject__c,SBQQ__Value__c,SBQQ__ValueField__c
,Revenue_Type__c,,1,,,,,Quote Line,1X,
,SBQQ__Quantity__c,"If(SBQQ__RequiredBy__r.SBQQ__Quantity__c = 0, 0, SBQQ__Quantity__c)",10,,,,,Quote Line,,
,SBQQ__Discount__c,"SBQQ__Discount__c +   
if( SBQQ__Quote__r.Bump_Line__c >0,  0.00001,- 0.00001)",,EX-20230526.61,,,,Quote Line,,
EX-000002,Invoice_Description__c,SBQQ__ProductName__c,,EX-000002,,,,Quote Line,,
EX-000003,Net_Amount_minus_DCC_Seats__c,,,EX-000022,,,EX-000003,Quote,,
EX-000005,SBQQ__RegularPrice__c,"(SBQQ__UpgradedSubscription__r.SBQQ__RegularPrice__c)*IF(SBQQ__Quantity__c < SBQQ__PriorQuantity__c, -1, 1)",20,EX-000010,,,,Quote Line,,
EX-000006,SPV__c,""";"" & TEXT(  SBQQ__RequiredBy__r.States_Account__c) & "";""",10,EX-000007,,,,Quote Line,,
EX-000007,Initial_ARR__c,"IF(NOT(ISBLANK(SBQQ__RenewedSubscription__c)), 
   IF(TEXT(SBQQ__SubscriptionPricing__c) = '', 0, 
   (SBQQ__NetTotal__c / SBQQ__ProrateMultiplier__c) / 
   (SBQQ__DefaultSubscriptionTerm__c / 12)), 0)",,EX-000019,,,,Quote Line,,
EX-000008,Multiple_Ship_To_Addresses__c,,,EX-000024,,,,Quote,TRUE,
EX-000010,Geo_Level_of_Detail_Multiplier__c,"IF(ISBLANK(Geo_Level_of_Detail__c), 1,

CASE(TEXT(Geo_Level_of_Detail__c), 
""National"", 0.2, 
""Divisions"", 0.45, 
""States"", 1, 
""Metro"", 1.20,
""Custom"", 1.40, 
1)

)",,EX-000013,,,,Quote Line,,
EX-000011,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Non-Analytics Geo List Price""",,EX-000021,,,,Quote Line,,
EX-000014,DR_Product_Count__c,,,EX-000005,,,EX-000007,Quote,,
EX-000015,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""DCC County List Prices""",,EX-000008,,,,Quote Line,,
EX-000016,Bluebook_Product_On_Quote__c,"IF(Bluebook_Product_Count__c > 0, True, False)",20,EX-000017,,,,Quote,,
EX-000017,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Analytics Geo List Price""",,EX-000026,,,,Quote Line,,
EX-000018,SBQQ__ListPrice__c,"(SBQQ__UpgradedSubscription__r.SBQQ__ListPrice__c)*IF(SBQQ__Quantity__c < SBQQ__PriorQuantity__c, -1, 1)",10,EX-000010,,,,Quote Line,,
EX-000021,Horizon_License_Number__c,Parent_Horizon_License_Number__c,,EX-000029,,,,Quote Line,,
EX-000022,SBQQ__ListPrice__c,"ROUND(
DCC_Geo_List_Price__c * 
IF(Project_Category_Multiplier__c = 0, 1, Project_Category_Multiplier__c) * 
IF(Project_Type_Multiplier__c = 0, 1, Project_Type_Multiplier__c) *
IF(Geo_Level_of_Detail_Multiplier__c = 0, 1, Geo_Level_of_Detail_Multiplier__c) *
IF(Project_Level_of_Detail_Multiplier__c = 0, 1, Project_Level_of_Detail_Multiplier__c) * 
History_or_Forecast_Multiplier__c 

, 0)",,EX-000026,,,,Quote Line,,
EX-000023,Latest_End_Date__c,,,EX-000005,,,EX-000010,Quote,,
EX-000025,Price_Rule_Audit_Rich_Text__c,,500,EX-000013,,,,Quote Line,,
EX-000026,Latest_Run_Date__c,,,EX-000005,,,EX-000006,Quote,,
EX-000027,SBQQ__DefaultSubscriptionTerm__c,"IF(ISBLANK(SBQQ__Quote__r.SBQQ__SubscriptionTerm__c), 
((SBQQ__EffectiveEndDate__c - SBQQ__EffectiveStartDate__c +1)/365 * 12),
SBQQ__Quote__r.SBQQ__SubscriptionTerm__c)",,EX-000014,,,,Quote Line,,
EX-000028,Bluebook_Product_Count__c,,10,EX-000017,,,EX-000005,Quote,,
EX-000029,SBQQ__ListPrice__c,"IF(SBQQ__ProductCode__c = ""IMSPUP"",11661,

IF(SBQQ__ProductCode__c = ""IMSPRP"", 2650,

IF(SBQQ__ProductCode__c = ""IMSPUPRP"",13195,

0)))",,EX-000009,,,,Quote Line,,
EX-000031,Account__c,SBQQ__Quote__r.SBQQ__Account__c,,EX-000022,,,,Quote Line,,
