External_Id__c,Name,SBQQ__AggregateField__c,SBQQ__AggregateFunction__c,SBQQ__CompositeOperator__c,SBQQ__ConstraintField__c,SBQQ__FilterField__c,SBQQ__FilterValue__c,SBQQ__TargetObject__c,SBQQ__Operator__c,SBQQ__Scope__c,SBQQ__ValueElement__c
,Max Segment Index,SBQQ__SegmentIndex__c,Max,,,,,Quote Line,,Quote,
,Total Discount Rate Per QL,SBQQ__TotalDiscountRate__c,Max,,,SBQQ__DiscountSchedule__c,,Quote Line,equals,Quote,
EX-000002,DCC SEATS Total,SBQQ__NetTotal__c,Sum,,,Product Code,DCCSEATS,Quote Line,equals,Quote,
EX-000004,Count of Address Lines,Quantity,Count,,,Shipping_Address__c,,Quote Line,not equals,Quote,
EX-000005,Bluebook Product Count,SBQQ__ProductFamily__c,Count,,,sys_Fulfillment_Family__c,Bluebook,Quote Line,equals,Quote,
EX-000006,Max Issue Date,Issue_Date__c,Max,,,,,Quote Line,,Quote,
EX-000007,Count Print Products,Quantity,Count,,,Product_Line__c,Print,Quote Line,equals,Quote,
EX-000008,Count Of Horizon Products,Quantity,Count,,,Fulfillment_Family__c,Horizon,Quote Line,equals,Quote,
EX-000009,NETNEW Grabber,Package_Code_Number__c,Min,,,Year_1_Summary_Line__c,TRUE,Quote Line,equals,Quote,
EX-000010,Latest End Date,SBQQ__EffectiveEndDate__c,Max,,,,,Quote Line,,Quote,
EX-000011,Count Seats,Quantity,Count,,,Product Code,SEATS,Quote Line,contains,Quote,
EX-000012,Premium ProView Product Count,SBQQ__ProductName__c,Count,,,SBQQ__ProductName__c,The Blue Book - Premium ProView,Quote Line,equals,Quote,
EX-000013,Count of Segment Me's,Quantity,Count,,,Is_Segment_Valid__c,False,Quote Line,equals,Quote,
EX-000014,Invoice Description Lines Count,Product_Line__c,Count,,,Product_Line__c,"IMS, Exposure, Print Advertising, Exposure",Quote Line,equals,Quote,
EX-05092023.01,Count DCC Seats with 0 Quantity,Quantity,Count,,,Is_Seats_Valid__c,false,Quote Line,equals,Quote,
EX-20230505.01,Count of Geo's,Quantity,Count,,,SBQQ__ProductFamily__c,DCC Geo,Quote Line,equals,Quote,
EX-20230505.02,Count of 0 GEOs Bundles Requiring GEOS,Quantity,Count,,,Is_GEO_Count_Valid__c,FALSE,Quote Line,equals,Quote,
EX-20230512.01,Count of Geo's Children,Is_GEO_Count_Valid__c,Min,,,,,Quote Line,equals,Quote,
EX-20230515.01,Count of Quote Line Errors,Quantity,Count,,,is_Valid_Quote_Line__c,false,Quote Line,equals,Quote,
EX-20230518.01,Total Initial ARR,Initial_ARR__c,Sum,,,,,Quote Line,equals,Quote,
