External_Id__c,SBQQ__Schedule__r.External_Id__c,Name,SBQQ__Discount__c,SBQQ__DiscountAmount__c,SBQQ__LowerBound__c,SBQQ__Number__c,SBQQ__Price__c,SBQQ__UpperBound__c
,,Half Price Seats,50,,11,3,,999
,,Paid Seats,0,,3,2,,9999
,,Region 2,0.388888889,,2,2,,3
,,First Region,,0,0,1,,2
,,Second Region,,960,2,2,,3
,,Region 3,0.696969697,,3,3,,999
,,Free Seats,100,,0,1,,6
,,Full Price Seats,0,,6,2,,11
,,Extra Output Lines,0,,11,2,,999
,,Free Seats,100,,0,1,,3
,,First Region,0,,0,1,,2
,,Remaining Regions,,2160,3,3,,99
,,Included Output LInes,100,,0,1,,11
,,Second Region,40,,2,2,,3
,,Remaining Regions,70,,3,3,,99
,,Region 1,0,,0,1,,2
