External_Id__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__Rule__r.External_Id__c,SBQQ__RuleLookupObject__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__r.External_Id__c,SBQQ__TargetObject__c,SBQQ__Value__c,SBQQ__ValueField__c
,Invoice_Description__c,SBQQ__ProductName__c,,EX-000002,,,,Quote Line,,
,Net_Amount_minus_DCC_Seats__c,,,EX-000022,,,EX-000003,Quote,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set DCC Geo List Price from List 1  : "" & Text(SBQQ__ListPrice__c ) & ""GEO : "" & Text(DCC_Geo_List_Price__c)",10,EX-000025,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Analytics Geo List Price 2:"" & text(SBQQ__ListPrice__c)",100,EX-000026,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Refresh Prices"" + TExt(List_Price_Option_PriceBook__c)",500,EX-20230328.02,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Slab Pricing Cancellation""",,EX-000010,,,,Quote Line,,
,Invoice_Comments__c,Ad_Caption__c,,EX-000038,,,,Quote Line,,
,SBQQ__RegularPrice__c,"(SBQQ__UpgradedSubscription__r.SBQQ__RegularPrice__c)*IF(SBQQ__Quantity__c < SBQQ__PriorQuantity__c, -1, 1)",20,EX-000010,,,,Quote Line,,
,SPV__c,""";"" & TEXT( SBQQ__Quote__r.SBQQ__Account__r.States__c ) & "";""",10,EX-000007,,,,Quote Line,,
,Initial_ARR__c,"IF(NOT(ISBLANK(SBQQ__RenewedSubscription__c)), 
IF(TEXT(SBQQ__SubscriptionPricing__c) = '', 0, 
(SBQQ__NetTotal__c / SBQQ__ProrateMultiplier__c) / (SBQQ__DefaultSubscriptionTerm__c / 12)), 
0)",50,EX-000019,,,,Quote Line,,
,Multiple_Ship_To_Addresses__c,,,EX-000024,,,,Quote,TRUE,
,Geo_Level_of_Detail_Multiplier__c,"IF(ISBLANK(Geo_Level_of_Detail__c), 1,

CASE(TEXT(Geo_Level_of_Detail__c), 
""National"", 0.2, 
""Divisions"", 0.45, 
""States"", 1, 
""Metro"", 1.20,
""Custom"", 1.40, 
1)

)",,EX-000013,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Non-Analytics Geo List Price""",,EX-000021,,,,Quote Line,,
,DR_Product_Count__c,,,EX-000005,,,EX-000007,Quote,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""DCC County List Prices""",,EX-000008,,,,Quote Line,,
,Bluebook_Product_On_Quote__c,"IF(Bluebook_Product_Count__c > 0, True, False)",20,EX-000017,,,,Quote,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Analytics Geo List Price 1: list"" & text(SBQQ__ListPrice__c) & "" GEO: "" &  text(DCC_Geo_List_Price__c)",10,EX-000026,,,,Quote Line,,
,SBQQ__ListPrice__c,"(SBQQ__UpgradedSubscription__r.SBQQ__ListPrice__c)*IF(SBQQ__Quantity__c < SBQQ__PriorQuantity__c, -1, 1)",10,EX-000010,,,,Quote Line,,
,Horizon_License_Number__c,Parent_Horizon_License_Number__c,,EX-000029,,,,Quote Line,,
,SBQQ__ListPrice__c,"ROUND(
DCC_Geo_List_Price__c * 
IF(Project_Category_Multiplier__c = 0, 1, Project_Category_Multiplier__c) * 
IF(Project_Type_Multiplier__c = 0, 1, Project_Type_Multiplier__c) *
IF(Geo_Level_of_Detail_Multiplier__c = 0, 1, Geo_Level_of_Detail_Multiplier__c) *
IF(Project_Level_of_Detail_Multiplier__c = 0, 1, Project_Level_of_Detail_Multiplier__c) * 
History_or_Forecast_Multiplier__c 

, 0)",30,EX-000026,,,,Quote Line,,
,Latest_End_Date__c,,,EX-000005,,,EX-000010,Quote,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set DCC Multipliers""",100,EX-000013,,,,Quote Line,,
,Latest_Run_Date__c,,,EX-000005,,,EX-000006,Quote,,
,Bluebook_Product_Count__c,,10,EX-000017,,,EX-000005,Quote,,
,SBQQ__ListPrice__c,"IF(SBQQ__ProductCode__c = ""IMSPUP"",11661,

IF(SBQQ__ProductCode__c = ""IMSPRP"", 2650,

IF(SBQQ__ProductCode__c = ""IMSPUPRP"",13195,

0)))",,EX-000009,,,,Quote Line,,
,Account__c,SBQQ__Quote__r.SBQQ__Account__c,,EX-000022,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""IMS Invoice Descriptions""",30,EX-000007,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""BB Invoice Descriptions""",,EX-000028,,,,Quote Line,,
,DCC_Geo_List_Price__c,,50,EX-000025,,,,Quote Line,,SBQQ__ListPrice__c
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""IMS Nationwide Pricing""",,EX-000009,,,,Quote Line,,
,Print_Product_Count__c,,,EX-000005,,,EX-000007,Quote,,
,Invoice_Description__c,"Invoice_Description__c &  
IF(ISBLANK(Geo__c) || TEXT(Geo__c) = ""Local/MSA"", """", BR() &  ""Geo: "" & Geo__c) &
IF(ISBLANK(TBB_Region__c), """", BR() & ""Region: "" & TBB_Region__c) & 
IF(ISBLANK(TBB_Class__c), """", BR() &""Class: "" &  TBB_Class__c)",,EX-000028,,,,Quote Line,,
,SBQQ__ListPrice__c,"DCC_Geo_List_Price__c * 

IF((Project_Type_Multiplier__c + Project_Category_Multiplier__c > 1) || (Project_Type_Multiplier__c + Project_Category_Multiplier__c = 0), 1, 
Project_Type_Multiplier__c + Project_Category_Multiplier__c)",,EX-000021,,,,Quote Line,,
,Project_Type_Multiplier__c,"IF(ISBLANK(Project_Type__c), 1,
IF(INCLUDES(Project_Type__c,""GB - Office Building""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Retail""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Industrial Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Warehouses""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Leisure/Other""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Medical Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Multi-family""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Hotel/Motel/Dormitories""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Government Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Educational Facilities""),0.3,0)+
IF(INCLUDES(Project_Type__c,""GB - Transportation""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Eng - Streets & Bridges""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Eng - Engineering Other""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Utilities - Public Works""),0.3,0)+
IF(INCLUDES(Project_Type__c,""Utilities - Power Generation""),0.3,0)+
IF(INCLUDES(Project_Type__c,""H - Single Family""),0.3,0)


)",,EX-000013,,,,Quote Line,,
,SBQQ__ListPrice__c,"IF(SBQQ__RequiredBy__r.SBQQ__ProductCode__c = ""NETNP-WRAPPER"", 
SBQQ__Product__r.USD_News_and_Plans_Price__c,
SBQQ__Product__r.USD_News_Price_or_Plans_Price__c)",,EX-000008,,,,Quote Line,,
,History_or_Forecast_Multiplier__c,"IF(TEXT(History_or_Forecast__c) = ""History & Forecast"", 1.25, 1)",,EX-000013,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Multiple Ship To Addresses""",,EX-000024,,,,Quote Line,,
,Invoice_Description__c,"Invoice_Description__c & BR() & 
""Ad #: "" & Ad__c & BR() &

""Ad Caption: "" & Ad_Caption__c & BR() &

""Ad Size: "" & Ad_Inches__c & "" "" & Ad_Size__c & BR() &

""Issue Date: "" & Issue_Date_Text__c",,EX-000038,,,,Quote Line,,
,Invoice_Comments__c,"""Ad Caption: "" & Ad_Caption__c",,EX-000016,,,,Quote Line,,
,AVA_SFCPQ__Quote_AutomateTaxCalculation__c,,,EX-000015,,,,Quote,True,
,Project_Category_Multiplier__c,"IF(ISBLANK(TEXT(Project_Category__c)), 1, 0.8)",,EX-000013,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Media Invoice Descriptions""",,EX-000038,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set DCC Geo List Price from List 2  : "" & Text(SBQQ__ListPrice__c ) & ""GEO : "" & Text(DCC_Geo_List_Price__c)",100,EX-000025,,,,Quote Line,,
,Horizon_Contract_Number__c,Parent_Horizon_Contract_Number__c,,EX-000029,,,,Quote Line,,
,SBQQ__NetPrice__c,"(SBQQ__UpgradedSubscription__r.SBQQ__NetPrice__c*SBQQ__ProrateMultiplier__c)*IF(SBQQ__Quantity__c < SBQQ__PriorQuantity__c, -1, 1)",30,EX-000010,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,,,EX-000022,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""Set Initial ARR""",10,EX-000019,,,,Quote Line,,
,Invoice_Description_Lines_Count__c,,,EX-000005,,,EX-000014,Quote,,
,Invoice_Description__c,"Invoice_Description__c & BR() &
State_Picklist_Label_Values__c",20,EX-000007,,,,Quote Line,,
,Project_Level_of_Detail_Multiplier__c,"IF(ISBLANK(Project_Level_of_Detail__c), 1,

CASE(TEXT(Project_Level_of_Detail__c), 
""Summary only"", 0.4, 
""By Project Type"", 1,
1)

)",,EX-000013,,,,Quote Line,,
,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit__c & BR() & ""Media Invoice Comments""",,EX-000016,,,,Quote Line,,
,SBQQ__Discount__c,"IF(AND(SBQQ__ListPrice__c =0,SBQQ__NetTotal__c= 0, NOT(SBQQ__TotalDiscountRate__c= 100)),
null,
SBQQ__Quote__r.Additional_Discount__c)",20,EX-000033,,,,Quote Line,,
EX-000006,SPV__c,""";"" & TEXT(  SBQQ__RequiredBy__r.States_Account__c) & "";""",10,EX-000007,,,,Quote Line,,
EX-000032,Price_Rule_Audit_Rich_Text__c,"Price_Rule_Audit_Rich_Text__c & BR() & ""IMS Invoice Descriptions""",30,EX-000007,,,,Quote Line,,
EX-000059,PDF_Sub_Line_Description__c,State_Picklist_Label_Values__c,20,EX-000007,,,,Quote Line,,
EX-000067,Count_of_Unsegmented_Lines__c,,10,EX-000067,,,EX-000013,Quote,,
EX-000073,Horizon_Product_Count__c,,,EX-000005,,,EX-000008,Quote,,
