External_Id__c,SBQQ__Field__c,SBQQ__FilterFormula__c,SBQQ__FilterType__c,SBQQ__FilterVariable__r.External_Id__c,SBQQ__Index__c,SBQQ__Object__c,SBQQ__Operator__c,SBQQ__Rule__r.External_Id__c,SBQQ__TestedFormula__c,SBQQ__TestedVariable__r.External_Id__c,SBQQ__Value__c
,SBQQ__UpgradedSubscription__c,,Value,,,Quote Line,equals,EX-000008,,,
,,,Value,,10,Quote Line,equals,EX-20230327.01,!isblank( SBQQ__Subscription__c),,true
EX-000002,,,Value,,40,Quote Line,equals,EX-000013,!isblank(Project_Level_of_Detail__c),,TRUE
EX-000003,Analytics_Geo__c,,Value,,,Quote Line,equals,EX-000026,,,True
EX-000004,Summary_Line__c,,Value,,40,Quote Line,equals,EX-000021,,,FALSE
EX-000005,Parent_Horizon_Contract_Number__c,,Value,,40,Quote Line,not equals,EX-000029,,,
EX-000006,,,Value,,40,Quote,greater than,EX-000031,,EX-000003,5000
EX-000007,Product Code,,Value,,10,Quote Line,equals,EX-000011,,,DCCSEATS
EX-000008,Project_Category__c,,Value,,10,Quote Line,not equals,EX-000013,,,
EX-000009,Bundle_Wrapper__c,,Value,,,Quote Line,equals,EX-000006,,,FALSE
EX-000010,SBQQ__PriorQuantity__c,,Value,,,Quote Line,greater than,EX-000010,,,0
EX-000011,Product Code,,Value,,,Quote Line,contains,EX-000004,,,WRAPPER
EX-000012,Bluebook_Product_On_Quote__c,,Value,,2,Quote,equals,EX-000017,,,True
EX-000013,,,Value,,,Quote,less or equals,EX-000011,,EX-000003,5000
EX-000014,SBQQ__UpgradedSubscription__c,,Value,,,Quote Line,equals,EX-000011,,,
EX-000015,Analytics_Geo__c,,Value,,10,Quote Line,equals,EX-000021,,,False
EX-000016,SBQQ__ProductName__c,,Value,,167,Quote Line,not equals,EX-000021,,,Output Lines
EX-000017,SBQQ__SubscriptionPricing__c,,Value,,20,Quote Line,not equals,EX-000020,,,
EX-000018,Parent_Horizon_License_Number__c,,Value,,10,Quote Line,not equals,EX-000029,,,
EX-000019,,,Value,,,Quote Line,equals,EX-000014,"ISPICKVAL(SBQQ__RequiredBy__r.SBQQ__Product__r.Revenue_Type__c , '1X')",,true
EX-000020,SBQQ__ProductFamily__c,,Value,,,Quote Line,contains,EX-000038,,,Advertising
EX-000021,,,Value,,,Quote Line,equals,EX-000008,TEXT(SBQQ__Product__r.Zone_Type__c),,DCC County
EX-000022,Product Code,,Value,,30,Quote Line,equals,EX-000009,,,IMSPRP
EX-000023,Initial_ARR__c,,Value,,,Quote Line,equals,EX-000019,,,
EX-000024,Horizon_Contract_Number__c,,Value,,30,Quote Line,equals,EX-000029,,,
EX-000025,SBQQ__UpgradedSubscription__c,,Value,,,Quote Line,not equals,EX-000010,,,
EX-000026,SBQQ__ProductFamily__c,,Value,,10,Quote Line,contains,EX-000016,,,Advertising
EX-000027,Package_Code_Number__c,,Value,,,Quote Line,not equals,EX-000030,,,
EX-000028,,,Value,,10,Quote Line,equals,EX-000025,"DCC_Geo_List_Price__c = 0 || 
text(DCC_Geo_List_Price__c) = """"",,true
EX-000029,SBQQ__ProductName__c,,Value,,,Quote Line,contains,EX-000028,,,Blue Book
EX-000030,SBQQ__UpgradedSubscription__c,,Value,,10,Quote Line,equals,EX-000020,,,
EX-000031,Project_Category__c,,Value,,20,Quote Line,not equals,EX-000021,,,
EX-000032,Revenue_Type__c,,Value,,30,Quote Line,equals,EX-000020,,,1X
EX-000033,SBQQ__DiscountScheduleType__c,,Value,,,Quote Line,equals,EX-000010,,,Slab
EX-000034,Horizon_License_Number__c,,Value,,20,Quote Line,equals,EX-000029,,,
EX-000035,SBQQ__RequiredBy__c,,Value,,,Quote Line,not equals,EX-000027,,,
EX-000036,Product Code,,Value,,,Quote Line,contains,EX-000030,,,WRAPPER
