External_Id__c,Name,SBQQ__AggregateField__c,SBQQ__AggregateFunction__c,SBQQ__CompositeOperator__c,SBQQ__ConstraintField__c,SBQQ__FilterField__c,SBQQ__FilterValue__c,SBQQ__TargetObject__c,SBQQ__Operator__c,SBQQ__Scope__c,SBQQ__ValueElement__c
EX-000002,DCC SEATS Total,SBQQ__NetTotal__c,Sum,,,Product Code,DCCSEATS,Quote Line,equals,Quote,
EX-000004,Count of Address Lines,Quantity,Count,,,Shipping_Address__c,,Quote Line,not equals,Quote,
EX-000005,Bluebook Product Count,SBQQ__ProductFamily__c,Count,,,sys_Fulfillment_Family__c,Bluebook,Quote Line,equals,Quote,
EX-000006,Max Issue Date,Issue_Date__c,Max,,,,,Quote Line,,Quote,
EX-000007,Count Print Products,Quantity,Count,,,Product_Line__c,Print,Quote Line,equals,Quote,
EX-000008,Count Of Horizon Products,Quantity,Count,,,sys_Fulfillment_Family__c,Horizon,Quote Line,equals,Quote,
EX-000009,NETNEW Grabber,Package_Code_Number__c,Min,,,Year_1_Summary_Line__c,TRUE,Quote Line,equals,Quote,
EX-000010,Latest End Date,SBQQ__EffectiveEndDate__c,Max,,,,,Quote Line,,Quote,
EX-000011,Count Seats,Quantity,Count,,,Product Code,SEATS,Quote Line,contains,Quote,
EX-000012,Premium ProView Product Count,SBQQ__ProductName__c,Count,,,SBQQ__ProductName__c,The Blue Book - Premium ProView,Quote Line,equals,Quote,
EX-000013,Count of Segment Issues,Quantity,Count,,,Segment_Me__c,True,Quote Line,equals,Quote,
EX-000014,Invoice Description Lines Count,Product_Line__c,Count,,,Product_Line__c,"IMS, Exposure, Print Advertising, Exposure",Quote Line,equals,Quote,
