External_Id__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__Rule__r.External_Id__c,SBQQ__RuleLookupObject__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__r.External_Id__c,SBQQ__TargetObject__c,SBQQ__Value__c,SBQQ__ValueField__c
EX-20230328.01,SBQQ__UpliftAmount__c,,10,EX-20230320.4,,,,Quote Line,,
EX-20230328.05,SBQQ__ListPrice__c,List_Price_Option_PriceBook__c,10,EX-20230328.02,,,,Quote Line,,
EX-20230328.07,SBQQ__Uplift__c,,20,EX-20230320.4,,,,Quote Line,,
EX-20230328.20,SBQQ__AdditionalDiscountAmount__c,,10,EX-20230320.2,,,,Quote Line,,
EX-20230328.21,Discount (Amt),,10,EX-20230320.2,,,,Quote Line,,
EX-20230328.22,SBQQ__Discount__c,SBQQ__Group__r.Group_Discount_Rate__c,30,EX-20230320.2,,,,Quote Line,,
EX-20230401.01,SBQQ__Quantity__c,,,EX-20230328.01,,,,Quote Line,0,
EX-20230401.04,SBQQ__Quantity__c,,,EX-20230320.30,,,,Quote Line,0,
EX-20230401.20,Geo__c,,10,EX-20230320.3,,,,Quote Line,,
EX-20230401.22,Geo__c,,10,EX-20230302.0,,,,Quote Line,NBD,
