Id,External_ID__c
01tDo000000UZDYIA4,01t3J0000049IUGQA2
01tDo000000UZDaIAO,01t3J0000049GpSQAU
01tDo000000UZDdIAO,01t3J0000049ITfQAM
01tDo000000UZDfIAO,01t3J0000049Hu3QAE
01tDo000000UZDiIAO,01t3J0000049IAiQAM
01tDo000000UZDoIAO,01t3J0000049I4AQAU
01tDo000000UZDpIAO,01t3J0000049I3kQAE
01tDo000000UZDqIAO,01t3J0000049HpvQAE
01tDo000000UZDxIAO,01t3J0000049I34QAE
01tDo000000UZDyIAO,01t3J0000049GorQAE
01tDo000000UZE2IAO,01t3J0000049IU1QAM
01tDo000000UZEAIA4,01t3J0000049IYpQAM
01tDo000000UZECIA4,01t3J0000049GgTQAU
01tDo000000UZEDIA4,01t3J0000049Gh5QAE
01tDo000000UZEEIA4,01t3J0000049GgjQAE
01tDo000000UZEJIA4,01t3J0000049I6qQAE
01tDo000000UZELIA4,01t3J0000049GGfQAM
01tDo000000UZEMIA4,01t3J0000049GhlQAE
01tDo000000UZERIA4,01t3J0000049GhaQAE
01tDo000000UZETIA4,01t3J0000049GGqQAM
01tDo000000UZEUIA4,01t3J0000049GguQAE
01tDo000000UZEVIA4,01t3J0000049I5zQAE
01tDo000000UZEWIA4,01t3J0000049GhKQAU
01tDo000000UZEXIA4,01t3J0000049GhVQAU
01tDo000000UZEYIA4,01t3J0000049IbdQAE
01tDo000000UZEaIAO,01t3J0000049INLQA2
01tDo000000UZEbIAO,01t3J0000049GGPQA2
01tDo000000UZEdIAO,01t3J0000049HvlQAE
01tDo000000UZEeIAO,01t3J0000049I5CQAU
01tDo000000UZEfIAO,01t3J0000049GGEQA2
01tDo000000UZEjIAO,01t3J0000049GH1QAM
01tDo000000UZEkIAO,01t3J0000049IX7QAM
01tDo000000UZElIAO,01t3J0000049IHzQAM
01tDo000000UZEmIAO,01t3J0000049INAQA2
01tDo000000UZEqIAO,01t3J0000049IJ1QAM
01tDo000000UZEvIAO,01t3J0000049I7UQAU
01tDo000000UZF1IAO,01t3J0000049IHdQAM
01tDo000000UZF3IAO,01t3J0000049I9dQAE
01tDo000000UZF4IAO,01t3J0000049IFvQAM
01tDo000000UZF5IAO,01t3J0000049Gh8QAE
01tDo000000UZF6IAO,01t3J0000049GgbQAE
01tDo000000UZF7IAO,01t3J0000049GgWQAU
01tDo000000UZFEIA4,01t3J0000049GhdQAE
01tDo000000UZFFIA4,01t3J0000049GhNQAU
01tDo000000UZFGIA4,01t3J0000049GhYQAU
