Id,SBQQ__Component__c
01tDI000000At4zYAC,true
01tDI000000At50YAC,true
01tDI000000At51YAC,true
01tDI000000At52YAC,true
01tDI000000At53YAC,true
01tDI000000At54YAC,true
01tDI000000At55YAC,true
01tDI000000At56YAC,true
01tDI000000At57YAC,true
01tDI000000At58YAC,true
01tDI000000At59YAC,true
01tDI000000At5AYAS,true
01tDI000000At5BYAS,true
01tDI000000At5CYAS,true
01tDI000000At5DYAS,true
01tDI000000At5EYAS,true
01tDI000000At5FYAS,true
01tDI000000At5GYAS,true
01tDI000000At5HYAS,true
01tDI000000At5IYAS,true
01tDI000000At5JYAS,true
01tDI000000At5KYAS,true
01tDI000000At5LYAS,true
01tDI000000At5MYAS,true
01tDI000000At5NYAS,true
01tDI000000At5OYAS,true
01tDI000000At5PYAS,true
01tDI000000At5QYAS,true
01tDI000000At5RYAS,true
01tDI000000At5SYAS,true
01tDI000000At5TYAS,true
01tDI000000At5UYAS,true
01tDI000000At5VYAS,true
01tDI000000At5WYAS,true
01tDI000000At5XYAS,true
01tDI000000At5YYAS,true
01tDI000000At5ZYAS,true
01tDI000000At5aYAC,true
01tDI000000At5bYAC,true
01tDI000000At5cYAC,true
01tDI000000At5dYAC,true
01tDI000000At5eYAC,true
01tDI000000At5fYAC,true
01tDI000000At5gYAC,true
01tDI000000At5hYAC,true
01tDI000000At5iYAC,true
01tDI000000At5jYAC,true
01tDI000000At5kYAC,true
01tDI000000At5lYAC,true
01tDI000000At5mYAC,true
01tDI000000At5nYAC,true
01tDI000000At5oYAC,true
01tDI000000At5pYAC,true
01tDI000000At5qYAC,true
01tDI000000At5rYAC,true
01tDI000000At5sYAC,true
01tDI000000At5tYAC,true
01tDI000000At5uYAC,true
01tDI000000At5vYAC,true
01tDI000000At5wYAC,true
01tDI000000At5xYAC,true
01tDI000000At5yYAC,true
01tDI000000At5zYAC,true
01tDI000000At60YAC,true
01tDI000000At61YAC,true
01tDI000000At62YAC,true
01tDI000000At63YAC,true
01tDI000000At64YAC,true
01tDI000000At65YAC,true
01tDI000000At66YAC,true
01tDI000000At67YAC,true
01tDI000000At68YAC,true
01tDI000000At69YAC,true
01tDI000000At6AYAS,true
01tDI000000At6BYAS,true
01tDI000000At6CYAS,true
01tDI000000At6DYAS,true
01tDI000000At6EYAS,true
01tDI000000At6FYAS,true
01tDI000000At6GYAS,true
01tDI000000At6HYAS,true
01tDI000000At6IYAS,true
01tDI000000At6JYAS,true
01tDI000000At6KYAS,true
01tDI000000At6LYAS,true
01tDI000000At6MYAS,true
01tDI000000At6NYAS,true
01tDI000000At6OYAS,true
01tDI000000At6PYAS,true
01tDI000000At6QYAS,true
01tDI000000At6RYAS,true
01tDI000000At6SYAS,true
01tDI000000At6TYAS,true
01tDI000000At6UYAS,true
01tDI000000At6VYAS,true
01tDI000000At6WYAS,true
01tDI000000At6XYAS,true
01tDI000000At6YYAS,true
01tDI000000At6ZYAS,true
01tDI000000At6aYAC,true
01tDI000000At6bYAC,true
01tDI000000At6cYAC,true
01tDI000000At6dYAC,true
01tDI000000At6eYAC,true
01tDI000000At6fYAC,true
01tDI000000At6gYAC,true
01tDI000000At6hYAC,true
01tDI000000At6iYAC,true
01tDI000000At6jYAC,true
01tDI000000At6kYAC,true
01tDI000000At6lYAC,true
01tDI000000At6mYAC,true
01tDo000000UZDYIA4,true
01tDo000000UZDaIAO,true
01tDo000000UZDdIAO,true
01tDo000000UZDfIAO,true
01tDo000000UZDiIAO,true
01tDo000000UZDoIAO,true
01tDo000000UZDpIAO,true
01tDo000000UZDqIAO,true
01tDo000000UZDxIAO,true
01tDo000000UZDyIAO,true
01tDo000000UZE2IAO,true
01tDo000000UZEAIA4,true
01tDo000000UZECIA4,true
01tDo000000UZEDIA4,true
01tDo000000UZEEIA4,true
01tDo000000UZEJIA4,true
01tDo000000UZELIA4,true
01tDo000000UZEMIA4,true
01tDo000000UZERIA4,true
01tDo000000UZETIA4,true
01tDo000000UZEUIA4,true
01tDo000000UZEVIA4,true
01tDo000000UZEWIA4,true
01tDo000000UZEXIA4,true
01tDo000000UZEYIA4,true
01tDo000000UZEaIAO,true
01tDo000000UZEdIAO,true
01tDo000000UZEeIAO,true
01tDo000000UZEfIAO,true
01tDo000000UZEjIAO,true
01tDo000000UZEkIAO,true
01tDo000000UZElIAO,true
01tDo000000UZEmIAO,true
01tDo000000UZEqIAO,true
01tDo000000UZEvIAO,true
01tDo000000UZF1IAO,true
01tDo000000UZF3IAO,true
01tDo000000UZF4IAO,true
01tDo000000UZF5IAO,true
01tDo000000UZF6IAO,true
01tDo000000UZF7IAO,true
01tDo000000UZFAIA4,true
01tDo000000UZFEIA4,true
01tDo000000UZFFIA4,true
01tDo000000UZFGIA4,true
01tDo000000UZFKIA4,true
01tDo000000UZFLIA4,true
01tDo000000UZFMIA4,true
01tDo000000UZFQIA4,true
01tDo000000UZFTIA4,true
01tDo000000UZFcIAO,true
01tDo000000UZFjIAO,true
01tDo000000UZFlIAO,true
01tDo000000UZFmIAO,true
01tDo000000UZFnIAO,true
01tDo000000UZFpIAO,true
01tDo000000UZFrIAO,true
01tDo000000UZG8IAO,true
01tDo000000UZG9IAO,true
01tDo000000UZGEIA4,true
01tDo000000UZGLIA4,true
01tDo000000UZGOIA4,true
01tDo000000UZGPIA4,true
01tDo000000UZGQIA4,true
01tDo000000UZGRIA4,true
01tDo000000UZGTIA4,true
01tDo000000UZGUIA4,true
01tDo000000UZGVIA4,true
01tDo000000UZGWIA4,true
01tDo000000UZGXIA4,true
01tDo000000UZGYIA4,true
01tDo000000UZGdIAO,true
