Id,External_ID__c,Name
01tDI000000At3OYAS,EX-0010302,"Fayetteville-Springdale-Rogers, AR-MO - 1x"
01tDI000000At3UYAS,EX-0010303,"Fort Walton Beach-Crestview-Destin, FL - 1x"
01tDI000000At4rYAC,EX-0010306,"Morgantown, WV - 1x"
01tDI000000At3MYAS,EX-0010307,"Farmington, NM - 1x"
01tDI000000At6gYAC,EX-0010309,"Williamsport, PA - 1x"
01tDI000000At2QYAS,EX-0010310,"Bowling Green, KY - 1x"
01tDI000000At2JYAS,EX-0010311,"Birmingham-Hoover, AL - 1x"
01tDI000000At2sYAC,EX-0010312,"Columbia, MO - 1x"
01tDI000000At3gYAC,EX-0010313,"Green Bay, WI - 1x"
01tDI000000At4VYAS,EX-0010314,"Lewiston-Auburn, ME - 1x"
01tDI000000At5FYAS,EX-0010315,"Palm Bay-Melbourne-Titusville, FL - 1x"
01tDI000000At3JYAS,EX-0010316,"Evansville, IN-KY - 1x"
01tDI000000At3IYAS,EX-0010321,"Eugene-Springfield, OR - 1x"
01tDI000000At6fYAC,EX-0010323,"Wichita Falls, TX - 1x"
01tDI000000At5oYAC,EX-0010324,"Salt Lake City, UT - 1x"
01tDI000000At5ZYAS,EX-0010328,"Rapid City, SD - 1x"
01tDI000000At6AYAS,EX-0010329,"Springfield, OH - 1x"
01tDI000000At3rYAC,EX-0010331,"Hinesville-Fort Stewart, GA - 1x"
01tDI000000At3vYAC,EX-0010333,"Houma-Bayou Cane-Thibodaux, LA - 1x"
01tDI000000At48YAC,EX-0010335,"Johnstown, PA - 1x"
01tDI000000At2fYAC,EX-0010336,"Charlotte-Gastonia-Concord, NC-SC - 1x"
01tDI000000At4jYAC,EX-0010338,"Medford, OR - 1x"
01tDI000000At67YAC,EX-0010339,"Springfield, IL - 1x"
01tDI000000At3xYAC,EX-0010342,"Huntington-Ashland, WV-KY-OH - 1x"
01tDI000000At5fYAC,EX-0010343,"Rochester, NY - 1x"
01tDI000000At2uYAC,EX-0010344,"Columbus, GA-AL - 1x"
01tDI000000At2mYAC,EX-0010345,"Clarksville, TN-KY - 1x"
01tDI000000At3zYAC,EX-0010348,"Idaho Falls, ID - 1x"
01tDI000000At2iYAC,EX-0010350,"Cheyenne, WY - 1x"
01tDI000000At38YAC,EX-0010353,"Deltona-Daytona Beach-Ormond Beach, FL - 1x"
01tDI000000At1zYAC,EX-0010357,"Appleton, WI - 1x"
01tDI000000At6QYAS,EX-0010359,"Utica-Rome, NY - 1x"
01tDI000000At21YAC,EX-0010360,"Athens-Clarke County, GA - 1x"
01tDI000000At4WYAS,EX-0010361,"Lexington-Fayette, KY - 1x"
01tDI000000At4vYAC,EX-0010362,"Muskegon-Norton Shores, MI - 1x"
01tDI000000At5vYAC,EX-0010363,"Santa Barbara-Santa Maria-Goleta, CA - 1x"
01tDI000000At3uYAC,EX-0010367,"Hot Springs, AR - 1x"
01tDI000000At5LYAS,EX-0010372,"Phoenix-Mesa-Scottsdale, AZ - 1x"
01tDI000000At6YYAS,EX-0010373,"Warner Robins, GA - 1x"
