Id,Zone_Type__c
01tDo000000UZDYIA4,County
01tDo000000UZDaIAO,County
01tDo000000UZDdIAO,County
01tDo000000UZDfIAO,County
01tDo000000UZDiIAO,County
01tDo000000UZDoIAO,County
01tDo000000UZDpIAO,County
01tDo000000UZDqIAO,County
01tDo000000UZDxIAO,County
01tDo000000UZDyIAO,County
01tDo000000UZE2IAO,County
01tDo000000UZEAIA4,County
01tDo000000UZECIA4,Metro
01tDo000000UZEDIA4,Metro
01tDo000000UZEEIA4,Metro
01tDo000000UZEJIA4,County
01tDo000000UZELIA4,State
01tDo000000UZEMIA4,Census Division
01tDo000000UZERIA4,Metro
01tDo000000UZETIA4,State
01tDo000000UZEUIA4,Metro
01tDo000000UZEVIA4,County
01tDo000000UZEWIA4,Metro
01tDo000000UZEXIA4,Metro
01tDo000000UZEYIA4,County
01tDo000000UZEaIAO,County
01tDo000000UZEdIAO,County
01tDo000000UZEeIAO,County
01tDo000000UZEjIAO,Census Division
01tDo000000UZEkIAO,County
01tDo000000UZElIAO,County
01tDo000000UZEmIAO,County
01tDo000000UZEqIAO,County
01tDo000000UZEvIAO,County
01tDo000000UZF1IAO,County
01tDo000000UZF3IAO,County
01tDo000000UZF4IAO,County
01tDo000000UZF5IAO,Metro
01tDo000000UZF6IAO,Metro
01tDo000000UZF7IAO,Metro
01tDo000000UZFEIA4,Metro
01tDo000000UZFFIA4,Metro
01tDo000000UZFGIA4,Metro
01tDo000000UZFKIA4,County
01tDo000000UZFLIA4,County
01tDo000000UZFMIA4,Metro
01tDo000000UZFQIA4,Metro
01tDo000000UZFTIA4,Metro
01tDo000000UZFcIAO,Census Division
01tDo000000UZFjIAO,County
01tDo000000UZFlIAO,County
01tDo000000UZFmIAO,County
01tDo000000UZFnIAO,County
01tDo000000UZFpIAO,County
01tDo000000UZFrIAO,County
01tDo000000UZG8IAO,County
01tDo000000UZG9IAO,County
01tDo000000UZGEIA4,County
01tDo000000UZGLIA4,County
01tDo000000UZGOIA4,County
01tDo000000UZGPIA4,Metro
01tDo000000UZGQIA4,County
01tDo000000UZGRIA4,Metro
01tDo000000UZGTIA4,State
01tDo000000UZGUIA4,State
01tDo000000UZGVIA4,Metro
01tDo000000UZGWIA4,Metro
01tDo000000UZGXIA4,Metro
01tDo000000UZGYIA4,County
01tDo000000UZGdIAO,Metro
01tDo000000UZGfIAO,State
01tDo000000UZGgIAO,County
01tDo000000UZGkIAO,County
01tDo000000UZGnIAO,County
01tDo000000UZGoIAO,State
01tDo000000UZGpIAO,County
01tDo000000UZGqIAO,County
01tDo000000UZGrIAO,County
01tDo000000UZGsIAO,Census Division
01tDo000000UZGtIAO,State
01tDo000000UZH0IAO,State
01tDo000000UZH2IAO,State
01tDo000000UZH9IAO,County
01tDo000000UZHAIA4,County
01tDo000000UZHBIA4,County
01tDo000000UZHFIA4,County
01tDo000000UZHGIA4,County
01tDo000000UZHHIA4,County
01tDo000000UZHIIA4,State
01tDo000000UZHJIA4,County
01tDo000000UZHMIA4,County
01tDo000000UZHOIA4,County
01tDo000000UZHRIA4,County
01tDo000000UZHfIAO,County
