Id,Name,IsActive
01tDo000000UZDWIA4,Building Stock Database - Bundle,true
01tDo000000UZDfIAO,"Davenport-Moline-Rock Island, IA-IL",true
01tDo000000UZEdIAO,"Dover, DE",true
01tDo000000UZFZIA4,DGN News and Plans Wrapper,true
01tDo000000UZFaIAO,DCC 2.0 Final Planning and Plans Wrapper,true
01tDo000000UZFfIAO,1x New Construction OR Renovations/Remodel,true
01tDo000000UZJdIAO,1x New Construction AND Renovations/Remodel,true
01tDo000000UZJwIAO,"Decatur, AL",true
01tDo000000UZKmIAO,"Dothan, AL",true
01tDo000000UZLXIA4,"Abilene, TX",true
01tDo000000UZLwIAO,BI - MarketShare - Bundle,true
01tDo000000UZNMIA4,"Akron, OH",true
01tDo000000UZNXIA4,"Decatur, IL",true
01tDo000000UZNgIAO,DCC 2.0 News and Plans Wrapper,true
01tDo000000UZP4IAO,"Albany, GA",true
01tDo000000UZQ0IAO,Pipeline Final Planning and Plans Wrapper,true
01tDo000000UZQ7IAO,Construction Analysis System - Bundle,true
01tDo000000UZQCIA4,BI - BuildShare - Bundle,true
01tDo000000UZQUIA4,DCC News and Plans Wrapper,true
01tDo000000UZRXIA4,MarketTrack - Bundle,true
01tDo000000UZRpIAO,MetroInsight - Bundle,true
01tDo000000UZSaIAO,DCC News Only Wrapper,true
01tDo000000UZTFIA4,"Deltona-Daytona Beach-Ormond Beach, FL",true
01tDo000000UZTwIAO,DCC Final Planning and Plans Wrapper,true
01tDo000000UZU8IAO,BI - SpecShare - Bundle,true
01tDo000000UZUcIAO,Denver Daily Journal - Display Affirmative Action,true
01tDo000000UZUfIAO,DGN News Only Wrapper,true
01tDo000000UZVNIA4,DGN - Seat(s),true
01tDo000000UZVaIAO,Market Area Forecast Database - Bundle,true
01tDo000000UZVbIAO,"OKLAHOMA, OK",true
01tDo000000UZWBIA4,"Detroit-Warren-Livonia, MI",true
01tDo000000UZWSIA4,MarketLook - Bundle,true
01tDo000000UZWlIAO,Dodge Bulletin - Bundle,true
01tDo000000UZXDIA4,WM-ZW22,true
01tDo000000UZXEIA4,Market Demand Systems - Bundle,true
01tDo000000UZXFIA4,IMS Bundle Wrapper,true
01tDo000000UZXGIA4,DGN Final Planning and Plans Wrapper,true
01tDo000000UZXIIA4,BI - SpecAlerts - Bundle,true
01tDo000000UZXeIAO,"Dayton, OH",true
01tDo000000UZY8IAO,Dodge API,true
01tDo000000UZYJIA4,Pipeline News and Plans Wrapper,true
01tDo000000UZYeIAO,Retail,true
01tDo000000UZYxIAO,Pipeline News Only Wrapper,true
01tDo000000UZZiIAO,CUSTOM LEGACY PKG - AUSTIN TX & VIC,true
01tDo000000UZaAIAW,"DAY, SD",true
01tDo000000UZaBIAW,"DEWITT, IL",true
01tDo000000UZaFIAW,CUSTOM LEGACY PKG - CENTRAL IOWA,true
01tDo000000UZaJIAW,CUSTOM LEGACY PKG - E MASSACHUSETTS-MAINE & NEW HAMPSHIRE,true
01tDo000000UZbcIAG,"AIKEN, SC",true
01tDo000000UZbfIAG,"DELAWARE, NY",true
01tDo000000UZbqIAG,"Denver County, CO",true
01tDo000000UZbsIAG,"DEAF SMITH, TX",true
01tDo000000UZbxIAG,"DODDRIDGE, WV",true
01tDo000000UZc6IAG,"ADAMS, PA",true
01tDo000000UZcLIAW,Dodge Product Quantities,true
01tDo000000UZcbIAG,"DORCHESTER, MD",true
01tDo000000UZccIAG,"DOUGLAS, GA",true
01tDo000000UZclIAG,"ADAIR, MO",true
01tDo000000UZdvIAG,CUSTOM LEGACY PKG - GR SYRACUSE NY,true
01tDo000000UZdzIAG,CUSTOM LEGACY PKG - E & CEN TENNESSEE,true
01tDo000000UZeJIAW,CUSTOM LEGACY PKG - CENTRAL & SOUTHERN ILLINOIS,true
01tDo000000UZeLIAW,"ADAMS, IA",true
01tDo000000UZeYIAW,"ALACHUA, FL",true
01tDo000000UZeiIAG,CUSTOM LEGACY PKG - S & CEN GEORGIA,true
01tDo000000UZenIAG,CUSTOM LEGACY PKG - E PA EX METRO PHILA,true
01tDo000000UZepIAG,"DARKE, OH",true
01tDo000000UZfKIAW,"DAWSON, MT",true
01tDo000000UZfNIAW,"DEUEL, SD",true
01tDo000000UZfkIAG,"DE SOTO, LA",true
01tDo000000UZgCIAW,CUSTOM LEGACY PKG - ENID OKLAHOMA AREA,true
01tDo000000UZgZIAW,New York County,true
01tDo000000UZgbIAG,"ADAMS, ND",true
01tDo000000UZh9IAG,"Ada County, ID",true
01tDo000000UZiNIAW,CUSTOM LEGACY PKG - ELECTRONIC ONLY - SO. ILLINOIS & E. MISSOURI,true
01tDo000000UZibIAG,CUSTOM LEGACY PKG - MAHONING VALLEY NORTH OH-PA AREA,true
01tDo000000UZjAIAW,"DAVIE, NC",true
01tDo000000UZjJIAW,"DAVIS, IA",true
01tDo000000UZjYIAW,CUSTOM LEGACY PKG - SOUTHWESTERN OHIO,true
01tDo000000UZjZIAW,CUSTOM LEGACY PKG - ALABAMA & W FLORIDA PANHANDLE,true
01tDo000000UZjoIAG,CUSTOM LEGACY PKG - QUINCY IL & FIFTY MILE RADIUS,true
01tDo000000UZjuIAG,CUSTOM LEGACY PKG - NORTHWESTERN PENNSYLVANIA AREA,true
01tDo000000UZjzIAG,CUSTOM LEGACY PKG - NEW ORLEANS LA & VIC,true
01tDo000000UZk9IAG,CUSTOM LEGACY PKG - NORFOLK VIRGINIA & VICINITY,true
01tDo000000UZkUIAW,"DE KALB, AL",true
01tDo000000UZkWIAW,"DECATUR, TN",true
01tDo000000UZkZIAW,"DICKEY, ND",true
01tDo000000UZkgIAG,"DICKSON, TN",true
01tDo000000UZkvIAG,"DECATUR, GA",true
01tDo000000UZkyIAG,"DOUGLAS, MN",true
01tDo000000UZl4IAG,"DUBOIS, IN",true
01tDo000000UZl6IAG,"DOUGHERTY, GA",true
01tDo000000UZlEIAW,CUSTOM LEGACY PKG - S ILLINOIS S OF SPRINGFIELD,true
01tDo000000UZlFIAW,CUSTOM LEGACY PKG - NEBRASKA,true
01tDo000000UZlGIAW,"DELAWARE, PA",true
01tDo000000UZlRIAW,"DODGE, NE",true
01tDo000000UZlUIAW,"DES MOINES, IA",true
01tDo000000UZmtIAG,CUSTOM LEGACY PKG - NEW HAMPSHIRE,true
01tDo000000UZnHIAW,CUSTOM LEGACY PKG - UNITED STATES,true
01tDo000000UZnJIAW,CUSTOM LEGACY PKG - BOSTON DISTRICT,true
01tDo000000UZncIAG,CUSTOM LEGACY PKG - GREATER DETROIT NINE COUNTY AREA,true
01tDo000000UZoUIAW,CUSTOM LEGACY PKG - IDAHO/UTAH/MONTANA/WYOMING (COMBO - S713 & S865),true
01tDo000000UZokIAG,CUSTOM LEGACY PKG - N NEVADA,true
01tDo000000UZomIAG,CUSTOM LEGACY PKG - ARIZONA - FPF ELECTRONIC ONLY,true
01tDo000000UZpEIAW,CUSTOM LEGACY PKG - MINNEAPOLIS DISTRICT,true
01tDo000000UZpGIAW,"DE BACA, NM",true
01tDo000000UZpMIAW,"DICKENSON, VA",true
01tDo000000UZpYIAW,"DICKINSON, MI",true
01tDo000000UZpgIAG,"DECATUR, KS",true
01tDo000000UZphIAG,"DODGE, MN",true
01tDo000000UZqVIAW,CUSTOM LEGACY PKG - DB TO DLT CONVERSION - 26DA,true
01tDo000000UZqWIAW,"DAVIDSON, NC",true
01tDo000000UZrdIAG,"DU PAGE, IL",true
01tDo000000UZrvIAG,"DOUGLAS, KS",true
01tDo000000UZsZIAW,CUSTOM LEGACY PKG - TAMPA-ST PETERSBURG FL,true
01tDo000000UZsxIAG,"ADAMS, IL",true
01tDo000000UZtOIAW,"Alameda County, CA",true
01tDo000000UZtkIAG,CUSTOM LEGACY PKG - ROCHESTER TO SYRACUSE NY,true
01tDo000000UZtlIAG,CUSTOM LEGACY PKG - WASHINGTON,true
01tDo000000UZutIAG,"DONLEY, TX",true
01tDo000000UZv3IAG,"DEL NORTE, CA",true
01tDo000000UZv9IAG,"DIVIDE, ND",true
01tDo000000UZvEIAW,"DENALI, AK",true
01tDo000000UZvMIAW,CUSTOM LEGACY PKG - SOUTH CAROLINA,true
01tDo000000UZvOIAW,CUSTOM LEGACY PKG - NEW MEXICO,true
01tDo000000UZvTIAW,CUSTOM LEGACY PKG - MASSACHUSETTS-MAINE-NEW HAMPSHIRE & VERMONT,true
01tDo000000UZvhIAG,"DOUGLAS, SD",true
01tDo000000UZvrIAG,"ADAMS, OH",true
01tDo000000UZwAIAW,"ADAIR, KY",true
01tDo000000UZwCIAW,"ADDISON, VT",true
01tDo000000UZxGIAW,CUSTOM LEGACY PKG - METRO CLEVELAND OH & SUMMIT & PORTAGE COS.,true
01tDo000000UZxIIAW,CUSTOM LEGACY PKG - CEN TENNESSEE,true
01tDo000000UZxQIAW,"DAVIESS, KY",true
01tDo000000UZxTIAW,"DAVISON, SD",true
01tDo000000UZxcIAG,CUSTOM LEGACY PKG - TRI CITY TENNESSEE & VIRGINIA AREA,true
01tDo000000UZxoIAG,"DEFIANCE, OH",true
01tDo000000UZxuIAG,CUSTOM LEGACY PKG - ELECTRONIC ONLY - CENTRAL ARKANSAS (M320),true
01tDo000000UZxxIAG,"DE KALB, IN",true
01tDo000000UZxyIAG,"DELTA, MI",true
01tDo000000UZy0IAG,"DILLON, SC",true
01tDo000000UZy5IAG,"ADAMS, WI",true
01tDo000000UZyUIAW,"Adams County, CO",true
01tDo000000Ua0FIAS,"DOUGLAS, NE",true
01tDo000000Ua0JIAS,CUSTOM LEGACY PKG - SOUTHERN ILLINOIS,true
01tDo000000Ua0MIAS,CUSTOM LEGACY PKG - METRO ALBUQUERQUE NEW MEXICO,true
01tDo000000Ua0PIAS,"DOLORES, CO",true
01tDo000000Ua0UIAS,"DESHA, AR",true
01tDo000000Ua0ZIAS,CUSTOM LEGACY PKG - PITTSBURGH PA & VIC,true
01tDo000000Ua0cIAC,CUSTOM LEGACY PKG - SAVANNAH GA & VIC,true
01tDo000000Ua0vIAC,CUSTOM LEGACY PKG - E PA-S NJ-DEL,true
01tDo000000Ua15IAC,"ADAMS, MS",true
01tDo000000Ua1bIAC,"ACCOMACK, VA",true
01tDo000000Ua2GIAS,Dodge SpecShare - 1X,true
01tDo000000Ua3FIAS,CUSTOM LEGACY PKG - UTAH-WYOMING,true
01tDo000000Ua3GIAS,CUSTOM LEGACY PKG - S ALABAMA & W FLORIDA PANHANDLE,true
01tDo000000Ua3LIAS,CUSTOM LEGACY PKG - IDAHO,true
01tDo000000Ua3eIAC,CUSTOM LEGACY PKG - CALIFORNIA,true
01tDo000000Ua3xIAC,CUSTOM LEGACY PKG - DETROIT DISTRICT,true
01tDo000000Ua4BIAS,Denver Daily Journal - Legal Insurance,true
01tDo000000Ua4oIAC,"DODGE, WI",true
01tDo000000Ua51IAC,"DECATUR, IA",true
01tDo000000Ua52IAC,"DESCHUTES, OR",true
01tDo000000Ua5BIAS,"DEER LODGE, MT",true
01tDo000000Ua5HIAS,"DELTA, CO",true
01tDo000000Ua5JIAS,"DILLINGHAM, AK",true
01tDo000000Ua5fIAC,"DOUGLAS, MO",true
01tDo000000Ua5iIAC,"DOUGLAS, CO",true
01tDo000000Ua5xIAC,CUSTOM LEGACY PKG - OMAHA NE & VIC,true
01tDo000000Ua62IAC,CUSTOM LEGACY PKG - WESTERN PENNSYLVANIA,true
01tDo000000Ua68IAC,CUSTOM LEGACY PKG - BATON ROUGE LA & VIC,true
01tDo000000Ua6DIAS,"DAVIESS, IN",true
01tDo000000Ua6IIAS,"DAVIS, UT",true
01tDo000000Ua6RIAS,CUSTOM LEGACY PKG - ***FPF*** ELECTRONIC ONLY - CHICAGO ILLINOIS & VICINITY,true
01tDo000000Ua6VIAS,"DICKINSON, IA",true
01tDo000000Ua7HIAS,Dodge Network Express,true
01tDo000000Ua7pIAC,CUSTOM LEGACY PKG - BUFFALO DISTRICT,true
01tDo000000Ua8QIAS,"DAWSON, TX",true
01tDo000000Ua8SIAS,"DEWEY, SD",true
01tDo000000Ua8uIAC,CUSTOM LEGACY PKG - SAN FRANCISCO BAY AREA,true
01tDo000000Ua8yIAC,"DE WITT, TX",true
01tDo000000Ua93IAC,"DOOR, WI",true
01tDo000000Ua96IAC,CUSTOM LEGACY PKG - SOUTHERN NEVADA,true
01tDo000000Ua9HIAS,CUSTOM LEGACY PKG - PORTLAND OR & VICINITY,true
01tDo000000Ua9YIAS,"DELAWARE, IN",true
01tDo000000Ua9fIAC,"DENTON, TX",true
01tDo000000Ua9lIAC,CUSTOM LEGACY PKG - ELECTRONIC ONLY - MILWAUKEE/MADISON/GREEN BAY,true
01tDo000000Ua9mIAC,"DIXON, NE",true
01tDo000000UaA4IAK,Custom Data Services,true
01tDo000000UaA5IAK,"DAUPHIN, PA",true
01tDo000000UaBDIA0,CUSTOM LEGACY PKG - NORTHERN WISCONSIN & NORTHERN MICHIGAN,true
01tDo000000UaBIIA0,CUSTOM LEGACY PKG - ***FPF*** - ELECTRONIC ONLY - NORTHWEST TEXAS,true
01tDo000000UaBRIA0,CUSTOM LEGACY PKG - E MASSACHUSETTS,true
