Id,SBQQ__SortOrder__c,Product_Line__c
01t3i000000eiwYAAQ,,Sweets
01t3i000000ekURAAY,,Market Intelligence
01t3i000000eknfAAA,,Market Intelligence
01t3i000000el53AAA,,Forecasting
01tDo000000UZDWIA4,,Market Sizing
01tDo000000UZDcIAO,,Market Intelligence
01tDo000000UZDkIAO,,Sweets
01tDo000000UZEoIAO,,Sweets
01tDo000000UZEzIAO,,Plan Room
01tDo000000UZF2IAO,,Forecasting
01tDo000000UZF8IAO,,Print
01tDo000000UZFUIA4,,Market Intelligence
01tDo000000UZFZIA4,,Platform
01tDo000000UZFaIAO,,Platform
01tDo000000UZHDIA4,,Print
01tDo000000UZHEIA4,,Strategic Partnerships
01tDo000000UZHKIA4,,Advisory
01tDo000000UZHWIA4,,Market Sizing
01tDo000000UZHbIAO,,Print
01tDo000000UZHnIAO,,Print
01tDo000000UZJEIA4,,Advisory
01tDo000000UZJHIA4,,Market Sizing
01tDo000000UZJLIA4,,Advisory
01tDo000000UZKoIAO,,Forecasting
01tDo000000UZL2IAO,,Print Advertising
01tDo000000UZLHIA4,,Integrations
01tDo000000UZLVIA4,,Print
01tDo000000UZLcIAO,,Market Intelligence
01tDo000000UZLkIAO,,Market Intelligence
01tDo000000UZLwIAO,,Market Intelligence
01tDo000000UZMlIAO,,Print
01tDo000000UZMqIAO,,Applications
01tDo000000UZNgIAO,,Platform
01tDo000000UZNxIAO,,Market Sizing
01tDo000000UZP7IAO,,Data Licensing
01tDo000000UZPFIA4,,Market Sizing
01tDo000000UZPcIAO,,Market Sizing
01tDo000000UZPgIAO,,Sweets
01tDo000000UZPkIAO,,Plan Room
01tDo000000UZPpIAO,,Print
01tDo000000UZPrIAO,,Market Intelligence
01tDo000000UZQ0IAO,,Platform
01tDo000000UZQ5IAO,,Strategic Partnerships
01tDo000000UZQ7IAO,,Market Sizing
01tDo000000UZQCIA4,,Market Intelligence
01tDo000000UZQIIA4,,Market Intelligence
01tDo000000UZQLIA4,,Print
01tDo000000UZQUIA4,,Platform
01tDo000000UZQfIAO,,Integrations
01tDo000000UZQiIAO,,Market Sizing
01tDo000000UZRXIA4,,Market Sizing
01tDo000000UZRpIAO,,Forecasting
01tDo000000UZSWIA4,,Forecasting
01tDo000000UZSaIAO,,Platform
01tDo000000UZSmIAO,,Forecasting
