Id,Name,IsActive
01tDo000000UZDWIA4,Building Stock Database - Bundle,true
01tDo000000UZFZIA4,DGN News and Plans Wrapper,true
01tDo000000UZFaIAO,DCC 2.0 Final Planning and Plans Wrapper,true
01tDo000000UZFfIAO,1x New Construction OR Renovations/Remodel,true
01tDo000000UZJdIAO,1x New Construction AND Renovations/Remodel,true
01tDo000000UZLwIAO,BI - MarketShare - Bundle,true
01tDo000000UZNgIAO,DCC 2.0 News and Plans Wrapper,true
01tDo000000UZQ0IAO,Pipeline Final Planning and Plans Wrapper,true
01tDo000000UZQ7IAO,Construction Analysis System - Bundle,true
01tDo000000UZQCIA4,BI - BuildShare - Bundle,true
01tDo000000UZQUIA4,DCC News and Plans Wrapper,true
01tDo000000UZRXIA4,MarketTrack - Bundle,true
01tDo000000UZRpIAO,MetroInsight - Bundle,true
01tDo000000UZSaIAO,DCC News Only Wrapper,true
01tDo000000UZTwIAO,DCC Final Planning and Plans Wrapper,true
01tDo000000UZU8IAO,BI - SpecShare - Bundle,true
01tDo000000UZUcIAO,Denver Daily Journal - Display Affirmative Action,true
01tDo000000UZUfIAO,DGN News Only Wrapper,true
01tDo000000UZVNIA4,DGN - Seat(s),true
01tDo000000UZVaIAO,Market Area Forecast Database - Bundle,true
01tDo000000UZWSIA4,MarketLook - Bundle,true
01tDo000000UZWlIAO,Dodge Bulletin - Bundle,true
01tDo000000UZXEIA4,Market Demand Systems - Bundle,true
01tDo000000UZXFIA4,IMS Bundle Wrapper,true
01tDo000000UZXGIA4,DGN Final Planning and Plans Wrapper,true
01tDo000000UZXIIA4,BI - SpecAlerts - Bundle,true
01tDo000000UZY8IAO,Dodge API,true
01tDo000000UZYJIA4,Pipeline News and Plans Wrapper,true
01tDo000000UZYxIAO,Pipeline News Only Wrapper,true
01tDo000000UZksIAG,MarketShare - 1X Bundle,true
01tDo000000Ua2GIAS,Dodge SpecShare - 1X,true
01tDo000000Ua4BIAS,Denver Daily Journal - Legal Insurance,true
01tDo000000Ua7HIAS,Dodge Network Express,true
01tDo000000Ua9SIAS,MarketShare - 1X,true
01tDo000000UaA4IAK,Custom Data Services,true
01tDo000000UaCjIAK,Dodge DocuPro Enterprise,true
01tDo000000UaCrIAK,Dodge Plans Internet - Edit Program,true
01tDo000000UaHPIA0,Accelerate - Custom Research Project,true
01tDo000000UaMaIAK,Dodge Global Network Business Intelligence,true
01tDo000000UaSIIA0,Dodge DocuPro Collaboration User License,true
01tDo000000UaSSIA0,Custom Data Delivery - 1X,true
01tDo000000UaSxIAK,Accelerate - Outreach,true
01tDo000000UaTwIAK,Custom Legacy Package - Bundle,true
