External_Id__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__Rule__r.External_Id__c,SBQQ__RuleLookupObject__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__r.External_Id__c,SBQQ__TargetObject__c,SBQQ__Value__c,SBQQ__ValueField__c
EX-20230511.06,SPV__c,""";"" & TEXT(  SBQQ__RequiredBy__r.States__c  ) & "";""",10,EX-20230511.01,,,,Quote Line,,
EX-20230511.10,PDF_Sub_Line_Description__c,State_Picklist_Label_Values__c,20,EX-20230511.01,,,,Quote Line,,
EX-20230517.01,PR_Counter__c,"blankvalue ( PR_Counter__c,0)  + 1",10,EX-20230517.01,,,,Quote Line,,
EX-20230518.10,SBQQ__Discount__c,SBQQ__Group__r.Group_Discount_Rate__c,30,EX-20230518.01,,,,Quote Line,,
EX-20230518.35,SBQQ__Discount__c,SBQQ__Quote__r.Quote_Discount_Rate__c,30,EX-20230526.60,,,,Quote Line,,
EX-20230524.11,SBQQ__AdditionalDiscountAmount__c,,20,EX-20230526.03,,,,Quote Line,,
EX-20230524.16,Discount (Amt),,30,EX-20230526.03,,,,Quote Line,,
EX-20230524.31,SBQQ__Discount__c,,40,EX-20230526.03,,,,Quote Line,,
EX-20230526.01,Quote_Discount_Rate__c,,10,EX-20230526.01,,,EX-20230530.01,Quote,,
EX-20230529.152,SBQQ__Discount__c,"SBQQ__Discount__c +   
if( SBQQ__Quote__r.Bump_Line__c >0,  0.00001,- 0.00001)",,EX-20230526.61,,,,Quote Line,,
