Id,SBQQ__EvaluationOrder__c
a5tDo000000x190IAA,10
a5tDo000000x192IAA,100
a5tDo000000x193IAA,2500
a5tDo000000x194IAA,502
a5tDo000000x195IAA,1100
a5tDo000000x196IAA,500
a5tDo000000x197IAA,500
a5tDo000000x198IAA,990
a5tDo000000x199IAA,3
a5tDo000000x19AIAQ,50
a5tDo000000x19BIAQ,501
a5tDo000000x19CIAQ,50
a5tDo000000x19DIAQ,900
a5tDo000000x19EIAQ,1003
a5tDo000000x19FIAQ,500
a5tDo000000x19GIAQ,
a5tDo000000x19HIAQ,10000
a5tDo000000x19IIAQ,5
a5tDo000000x19JIAQ,500
a5tDo000000x19KIAQ,100
a5tDo000000x19LIAQ,
a5tDo000000x19MIAQ,2600
a5tDo000000x19NIAQ,500
a5tDo000000x19OIAQ,500
a5tDo000000x19PIAQ,501
a5tDo000000x19QIAQ,1002
a5tDo000000x19RIAQ,2000
a5tDo000000x19SIAQ,500
a5tDo000000x19TIAQ,3
a5tDo000000x1P3IAI,505
a5tDo000000x2goIAA,800
a5tDI0000004CF1YAM,10010
a5tDo000000x191IAA,1001
a5tDI0000004CEwYAM,1200
a5tDI0000004CLSYA2,1300
a5tDI0000004CVpYAM,52
a5tDI0000004CHUYA2,100
a5tDI0000004CJWYA2,500
a5tDI0000004CJVYA2,700
a5tDI0000004CH8YAM,400
a5tDI0000004CJXYA2,10
a5tDI0000004CJZYA2,
a5tDI0000004CGJYA2,400
a5tDI0000004CGcYAM,400
a5tDI0000004CVuYAM,60
a5tDI0000004CVQYA2,
a5tDI0000004CW4YAM,51
a5tDI0000004CW9YAM,65
a5tDI0000004CWEYA2,1200
a5tDI0000004CdFYAU,1000
a5tDI0000004CdKYAU,850
