Id,QLE_Button__c,SBQQ__SortOrder__c,ProductCode,Fulfillment_Family__c,Family,Revenue_Type__c,SBQQ__SubscriptionPricing__c,Name
01tDo000000UZv4IAG,1x,,GS-RFB-BLDG,,Advertising,1X,,GreenSheet - Request for Bid Building
01tDo000000UZtVIAW,Print,,GS-DSP-AFFM,,Advertising,Re-ocurring,Fixed Price,GreenSheet - Display Affirmative Action
01tDo000000UZvJIAW,1x,,DDJ-DSP,,Advertising,1X,,Denver Daily Journal - Display
01tDo000000UZoFIAW,1x,,DCN-CLS,,Advertising,1X,,Construction News Chicago - Classified
01tDo000000UZlOIAW,1x,,DWB-CLS,,Advertising,1X,,Dodge Daily & Weekly Bulletins - Classified
01tDo000000UZlLIAW,1x,,DDJ-OP,,Advertising,1X,,Denver Daily Journal - Official Proposal
01tDo000000UZjiIAG,1x,,GS-RFB-ENG,,Advertising,1X,,GreenSheet - Request for Bid Engineering
01tDo000000UZioIAG,1x,,DPB-CLS,,Advertising,1X,,Daily Pacific Builder - Classified
01tDo000000UZiEIAW,1x,,DDJ-LEGL,,Advertising,1X,,Denver Daily Journal - Legal
01tDo000000UZZdIAO,1x,,DDJ-CLS,,Advertising,1X,,Denver Daily Journal - Classified
01tDo000000UZZNIA4,1x,,GS-DSP-ENG,,Advertising,1X,,GreenSheet - Display Engineering
01tDo000000UZUcIAO,Print,,DDJ-DSP-AFFM,,Advertising,Re-ocurring,Fixed Price,Denver Daily Journal - Display Affirmative Action
01tDo000000UZL2IAO,Print,,DPB-DSP-AFFM,,Advertising,Re-ocurring,Fixed Price,Daily Pacific Builder - Display Affirmative Action
01tDo000000UaSMIA0,1x,,GS-CLS-ENG,,Advertising,1X,,GreenSheet - Classified Engineering
01tDo000000UaPEIA0,1x,,DPB-DSP,,Advertising,1X,,Daily Pacific Builder - Display
01tDo000000UaMTIA0,1x,,DCN-DSP,,Advertising,1X,,Construction News Chicago - Display
01tDo000000UaHJIA0,1x,,DCN-SBBD,,Advertising,1X,,Construction News Chicago - SubBid
