Id,QLE_Button__c
01tDo000000UZUrIAO,BB
01tDo000000UZWQIA4,BB
01tDo000000UZWhIAO,BB
01tDo000000UZWiIAO,BB
01tDo000000UZWnIAO,BB
01tDo000000UZX0IAO,BB
01tDo000000UZXKIA4,BB
01tDo000000UZSKIA4,BB
01tDo000000UZSNIA4,BB
01tDo000000UZSRIA4,BB
01tDo000000UZT2IAO,BB
01tDo000000UZU4IAO,BB
01tDo000000UZUdIAO,BB
01tDo000000UZUeIAO,BB
01tDo000000UZYPIA4,BB
01tDo000000UZYRIA4,BB
01tDo000000UZJLIA4,BB
01tDo000000UZJNIA4,BB
01tDo000000UZJkIAO,BB
01tDo000000UZFRIA4,BB
01tDo000000UZFSIA4,BB
01tDo000000UZFgIAO,BB
01tDo000000UZJlIAO,BB
01tDo000000UZJtIAO,BB
01tDo000000UZOqIAO,BB
01tDo000000UZLMIA4,BB
01tDo000000UZGaIAO,BB
01tDo000000UZLhIAO,BB
01tDo000000UZLiIAO,BB
01tDo000000UZM0IAO,BB
01tDo000000UZPiIAO,BB
01tDo000000UZPnIAO,BB
01tDo000000UZMKIA4,BB
01tDo000000UZQHIA4,BB
01tDo000000UZQMIA4,BB
01tDo000000UZNHIA4,BB
01tDo000000UZNjIAO,BB
01tDo000000UZNkIAO,BB
01tDo000000UZIHIA4,BB
01tDo000000UZHUIA4,BB
01tDo000000UZHYIA4,BB
01tDo000000UZYsIAO,DCC
01tDo000000UZYxIAO,DCC
01tDo000000UZVEIA4,DCC
01tDo000000UZX3IAO,DCC
01tDo000000UZXGIA4,DCC
01tDo000000UZSaIAO,DCC
01tDo000000UZT0IAO,DCC
01tDo000000UZTwIAO,DCC
01tDo000000UZUfIAO,DCC
01tDo000000UZYJIA4,DCC
01t3i000000eiwYAAQ,DCC
01tDo000000UZEzIAO,DCC
01tDo000000UZFZIA4,DCC
01tDo000000UZFaIAO,DCC
01tDo000000UZLHIA4,DCC
01tDo000000UZPgIAO,DCC
01tDo000000UZQ0IAO,DCC
01tDo000000UZQUIA4,DCC
01tDo000000UZQfIAO,DCC
01tDo000000UZHEIA4,DCC
01tDo000000UZDkIAO,DCC
01tDo000000UZNgIAO,DCC
01tDo000000UZEoIAO,DCC
01tDo000000UZw9IAG,DCC
01tDo000000UZrnIAG,DCC
01tDo000000Ua1xIAC,DCC
01tDo000000UaNCIA0,DCC
01tDo000000UZWlIAO,Print
01tDo000000UZZNIA4,Print
01tDo000000UZZdIAO,Print
01tDo000000UZUcIAO,Print
01tDo000000UZF8IAO,Print
01tDo000000UZL2IAO,Print
01tDo000000UZLVIA4,Print
01tDo000000UZPpIAO,Print
01tDo000000UZMlIAO,Print
01tDo000000UZQLIA4,Print
01tDo000000UZHDIA4,Print
01tDo000000UZHnIAO,Print
01tDo000000UZHbIAO,Print
01tDo000000UZiEIAW,Print
01tDo000000UZioIAG,Print
01tDo000000UZoFIAW,Print
01tDo000000UZv4IAG,Print
01tDo000000UZvJIAW,Print
01tDo000000UZjiIAG,Print
01tDo000000UZlLIAW,Print
01tDo000000UZlOIAW,Print
01tDo000000UZyVIAW,Print
01tDo000000UZtVIAW,Print
01tDo000000Ua9VIAS,Print
01tDo000000Ua4BIAS,Print
01tDo000000Ua4ZIAS,Print
01tDo000000Ua5yIAC,Print
01tDo000000Ua60IAC,Print
01tDo000000Ua61IAC,Print
01tDo000000UaMTIA0,Print
01tDo000000UaSMIA0,Print
01tDo000000UaSxIAK,Print
01tDo000000UaEtIAK,Print
01tDo000000UaPEIA0,Print
01tDo000000UaHJIA0,Print
01tDo000000UZVPIA4,Other
01tDo000000UZcLIAW,Other
01tDo000000UZcjIAG,Other
01t3i000000el53AAA,Other
01tDo000000UZPkIAO,Other
01tDo000000UZxBIAW,Other
01tDo000000UZrSIAW,Other
01tDo000000Ua2FIAS,Other
01tDo000000UaNUIA0,Other
01tDo000000UZXFIA4,IMS
01tDo000000UaDXIA0,D/A
01tDo000000UaDfIAK,D/A
01tDo000000UaCbIAK,D/A
01tDo000000Ua0OIAS,D/A
01tDo000000Ua1BIAS,D/A
01tDo000000UaHsIAK,D/A
01tDo000000UaLeIAK,D/A
01tDo000000UaRqIAK,D/A
01tDo000000UaMXIA0,D/A
01tDo000000UaJfIAK,D/A
01tDo000000UaSSIA0,D/A
01tDo000000UaK8IAK,D/A
01tDo000000UaNHIA0,D/A
01tDo000000UaSkIAK,D/A
01tDo000000UaTJIA0,D/A
01tDo000000UaTLIA0,D/A
01tDo000000UaTPIA0,D/A
01tDo000000UaHPIA0,D/A
01tDo000000VBcdIAG,D/A
01tDo000000UZRXIA4,D/A
01tDo000000UZRpIAO,D/A
01tDo000000UZVaIAO,D/A
01tDo000000UZWSIA4,D/A
01tDo000000UZXCIA4,D/A
01tDo000000UZXEIA4,D/A
01tDo000000UZXIIA4,D/A
01tDo000000UZb5IAG,D/A
01tDo000000UZSWIA4,D/A
01tDo000000UZSmIAO,D/A
01tDo000000UZTkIAO,D/A
01tDo000000UZTyIAO,D/A
01tDo000000UZZIIA4,D/A
01tDo000000UZZcIAO,D/A
01tDo000000UZU8IAO,D/A
01tDo000000UZY8IAO,D/A
01tDo000000UZY9IAO,D/A
01tDo000000UZUXIA4,D/A
01tDo000000UZYHIA4,D/A
01tDo000000UZYYIA4,D/A
01t3i000000ekURAAY,D/A
01t3i000000eknfAAA,D/A
01t3i000000el4tAAA,D/A
01tDo000000UZF2IAO,D/A
01tDo000000UZJEIA4,D/A
01tDo000000UZJHIA4,D/A
01tDo000000UZFUIA4,D/A
01tDo000000UZKoIAO,D/A
01tDo000000UZLcIAO,D/A
01tDo000000UZP7IAO,D/A
01tDo000000UZPFIA4,D/A
01tDo000000UZLkIAO,D/A
01tDo000000UZLwIAO,D/A
01tDo000000UZPcIAO,D/A
01tDo000000UZPrIAO,D/A
01tDo000000UZQ5IAO,D/A
01tDo000000UZQ7IAO,D/A
01tDo000000UZQCIA4,D/A
01tDo000000UZQIIA4,D/A
01tDo000000UZMqIAO,D/A
01tDo000000UZQiIAO,D/A
01tDo000000UZDWIA4,D/A
01tDo000000UZDcIAO,D/A
01tDo000000UZHKIA4,D/A
01tDo000000UZNxIAO,D/A
01tDo000000UZHWIA4,D/A
01tDo000000UZnEIAW,D/A
01tDo000000UZuNIAW,D/A
01tDo000000UZyiIAG,D/A
01tDo000000UZdNIAW,D/A
01tDo000000UZdRIAW,D/A
01tDo000000UZotIAG,D/A
01tDo000000UZdVIAW,D/A
01tDo000000UZpQIAW,D/A
01tDo000000UZeGIAW,D/A
01tDo000000UZksIAG,D/A
01tDo000000UZvyIAG,D/A
01tDo000000UZscIAG,D/A
01tDo000000UZsgIAG,D/A
01tDo000000Ua6bIAC,D/A
01tDo000000Ua9FIAS,D/A
01tDo000000Ua7CIAS,D/A
01tDo000000Ua9tIAC,D/A
01tDo000000UaA4IAK,D/A
01tDo000000UZciIAG,1x
01tDo000000UZiHIAW,1x
01tDo000000UZikIAG,1x
01tDo000000UZdKIAW,1x
01tDo000000UZmDIAW,1x
01tDo000000UZxAIAW,1x
01tDo000000UZrbIAG,1x
01tDo000000UZrgIAG,1x
01tDo000000UZmkIAG,1x
01tDo000000UaCXIA0,1x
01tDo000000UaCcIAK,1x
01tDo000000Ua8DIAS,1x
01tDo000000Ua2jIAC,1x
01tDo000000UaMeIAK,1x
