Id,Name,Fulfillment_Family__c
01tDo000000UZHZIA4,Blue Book ProView,Horizon
01t3i000000eiwaAAA,DCC Full News & Plans,Horizon
01t3i000000eiwvAAA,DCC News Only (No PB),Horizon
01tDo000000UZDYIA4,"Waco, TX",Horizon
01tDo000000UZDaIAO,"Casper, WY",Horizon
01tDo000000UZDdIAO,"Valdosta, GA",Horizon
01tDo000000UZDfIAO,"Davenport-Moline-Rock Island, IA-IL",Horizon
01tDo000000UZDiIAO,"Lewiston, ID-WA",Horizon
01tDo000000UZDoIAO,"Honolulu, HI",Horizon
01tDo000000UZDpIAO,"Hickory-Lenoir-Morganton, NC",Horizon
01tDo000000UZDqIAO,"Chico, CA",Horizon
01tDo000000UZDxIAO,"Hartford-West Hartford-East Hartford, CT",Horizon
01tDo000000UZDyIAO,"Cape Coral-Fort Myers, FL",Horizon
01tDo000000UZE2IAO,"Vero Beach, FL",Horizon
01tDo000000UZEAIA4,"San Francisco-Oakland-Fremont, CA",Horizon
01tDo000000UZECIA4,CA Sacramento,Horizon
01tDo000000UZEDIA4,MO Eastern,Horizon
01tDo000000UZEEIA4,GA Atlanta,Horizon
01tDo000000UZEJIA4,"Johnson City, TN",Horizon
01tDo000000UZELIA4,ND North Dakota,Horizon
01tDo000000UZEMIA4,US Pacific,Horizon
01tDo000000UZERIA4,TX Laredo,Horizon
01tDo000000UZETIA4,PA Pennsylvania,Horizon
01tDo000000UZEUIA4,LA New Orleans & Baton Rouge,Horizon
01tDo000000UZEVIA4,"Jacksonville, NC",Horizon
01tDo000000UZEWIA4,OH Columbus,Horizon
01tDo000000UZEXIA4,TN Nashville,Horizon
01tDo000000UZEYIA4,"St. Cloud, MN",Horizon
01tDo000000UZEaIAO,"Punta Gorda, FL",Horizon
01tDo000000UZEdIAO,"Dover, DE",Horizon
01tDo000000UZEeIAO,"Iowa City, IA",Horizon
01tDo000000UZEfIAO,Engineering/Utilities,Horizon
01tDo000000UZEjIAO,US East North Central,Horizon
01tDo000000UZEkIAO,"Wilmington, NC",Horizon
01tDo000000UZElIAO,"New Haven-Milford, CT",Horizon
01tDo000000UZEmIAO,"Provo-Orem, UT",Horizon
01tDo000000UZEqIAO,"Ogden-Clearfield, UT",Horizon
01tDo000000UZEvIAO,"Kansas City, MO-KS",Horizon
01tDo000000UZF1IAO,"Naples-Marco Island, FL",Horizon
01tDo000000UZF3IAO,"Laredo, TX",Horizon
01tDo000000UZF4IAO,"Modesto, CA",Horizon
01tDo000000UZF5IAO,NJ Central,Horizon
01tDo000000UZF6IAO,DC & Suburbs,Horizon
01tDo000000UZF7IAO,CA San Francisco,Horizon
01tDo000000UZFAIA4,Geo Detail - Metro,Horizon
01tDo000000UZFEIA4,VA Eastern,Horizon
01tDo000000UZFFIA4,OH Toledo,Horizon
01tDo000000UZFGIA4,TX El Paso,Horizon
01tDo000000UZFKIA4,"Chicago-Naperville-Joliet, IL-IN-WI",Horizon
01tDo000000UZFLIA4,"Springfield, MA",Horizon
01tDo000000UZFMIA4,MA Western,Horizon
01tDo000000UZFQIA4,NY Central,Horizon
01tDo000000UZFTIA4,GA Savannah,Horizon
01tDo000000UZFcIAO,US West South Central,Horizon
01tDo000000UZFjIAO,"Virginia Beach-Norfolk-Newport News, VA-NC",Horizon
01tDo000000UZFlIAO,"Longview, WA",Horizon
01tDo000000UZFmIAO,"Coeur d'Alene, ID",Horizon
01tDo000000UZFnIAO,"Columbus, IN",Horizon
01tDo000000UZFpIAO,"Topeka, KS",Horizon
01tDo000000UZFrIAO,"Amarillo, TX",Horizon
01tDo000000UZG8IAO,"Broomfield County, CO",Horizon
01tDo000000UZG9IAO,"Goldsboro, NC",Horizon
01tDo000000UZGEIA4,"Binghamton, NY",Horizon
01tDo000000UZGLIA4,"Kokomo, IN",Horizon
01tDo000000UZGOIA4,"Olympia, WA",Horizon
01tDo000000UZGPIA4,AZ Phoenix & South,Horizon
01tDo000000UZGQIA4,"Las Vegas-Paradise, NV",Horizon
01tDo000000UZGRIA4,MI Northern,Horizon
01tDo000000UZGTIA4,CA California,Horizon
01tDo000000UZGUIA4,DE Delaware,Horizon
01tDo000000UZGVIA4,NY Western,Horizon
01tDo000000UZGWIA4,IN Indy South,Horizon
01tDo000000UZGXIA4,TN Chattanooga,Horizon
01tDo000000UZGYIA4,"Raleigh-Cary, NC",Horizon
01tDo000000UZGdIAO,FL Orlando,Horizon
01tDo000000UZGfIAO,TN Tennessee,Horizon
01tDo000000UZGgIAO,"Seattle-Tacoma-Bellevue, WA",Horizon
01tDo000000UZGkIAO,"Anniston-Oxford, AL",Horizon
01tDo000000UZGnIAO,"Charleston-North Charleston, SC",Horizon
01tDo000000UZGoIAO,MT Montana,Horizon
01tDo000000UZGpIAO,"Joplin, MO",Horizon
01tDo000000UZGqIAO,"Mount Vernon-Anacortes, WA",Horizon
01tDo000000UZGrIAO,"Milwaukee-Waukesha-West Allis, WI",Horizon
01tDo000000UZGsIAO,US Mid-Atlantic,Horizon
01tDo000000UZGtIAO,OH Ohio,Horizon
01tDo000000UZGzIAO,Medical Facilities,Horizon
01tDo000000UZH0IAO,ID Idaho,Horizon
01tDo000000UZH2IAO,WV West Virginia,Horizon
01tDo000000UZH9IAO,"Bloomington, IN",Horizon
01tDo000000UZHAIA4,"Columbia, SC",Horizon
01tDo000000UZHBIA4,"Cleveland-Elyria-Mentor, OH",Horizon
01tDo000000UZHFIA4,"Bremerton-Silverdale, WA",Horizon
01tDo000000UZHGIA4,"Cumberland, MD-WV",Horizon
01tDo000000UZHHIA4,"Stockton, CA",Horizon
01tDo000000UZHIIA4,Manitoba,Horizon
01tDo000000UZHJIA4,"Grand Junction, CO",Horizon
01tDo000000UZHMIA4,"Little Rock-North Little Rock, AR",Horizon
01tDo000000UZHOIA4,"Austin-Round Rock, TX",Horizon
01tDo000000UZHRIA4,"Texarkana, TX-Texarkana, AR",Horizon
01tDo000000UZHfIAO,"Tucson, AZ",Horizon
01tDo000000UZHgIAO,"Los Angeles-Long Beach-Santa Ana, CA",Horizon
01tDo000000UZHhIAO,"Blacksburg-Christiansburg-Radford, VA",Horizon
01tDo000000UZHjIAO,"Trenton-Ewing, NJ",Horizon
01tDo000000UZHlIAO,"Beaumont-Port Arthur, TX",Horizon
01tDo000000UZHmIAO,"Fayetteville, NC",Horizon
01tDo000000UZHoIAO,"Fort Smith, AR-OK",Horizon
01tDo000000UZHpIAO,"Savannah, GA",Horizon
01tDo000000UZHqIAO,"San Angelo, TX",Horizon
01tDo000000UZHrIAO,"Battle Creek, MI",Horizon
01tDo000000UZHwIAO,"Auburn-Opelika, AL",Horizon
01tDo000000UZHyIAO,"Bridgeport-Stamford-Norwalk, CT",Horizon
01tDo000000UZI6IAO,"Orlando, FL",Horizon
01tDo000000UZI7IAO,"Pocatello, ID",Horizon
01tDo000000UZI8IAO,"Port St. Lucie-Fort Pierce, FL",Horizon
01tDo000000UZIBIA4,"Pittsburgh, PA",Horizon
01tDo000000UZICIA4,"Providence-New Bedford-Fall River, RI-MA",Horizon
01tDo000000UZIDIA4,"Billings, MT",Horizon
