External_Id__c,SBQQ__EvaluationOrder__c
EX-000002,100
EX-000005,2500
EX-000007,1100
EX-000008,540
EX-000009,540
EX-000010,990
EX-000013,501
EX-000015,900
EX-000016,1003
EX-000017,400
EX-000019,10000
EX-000021,550
EX-000022,100
EX-000024,2600
EX-000025,510
EX-000026,550
EX-000028,1002
EX-000029,2000
EX-000033,800
EX-000038,1001
EX-000067,1200
EX-20230302.0,1300
EX-20230320.2,800
EX-20230320.3,400
EX-20230320.30,400
EX-20230320.4,400
EX-20230328.01,400
EX-20230328.02,400
EX-20230511.01,1200
EX-20230518.01,850
