Id,ContractNumber,Active_ARCV__c,ARCV__c,Net_Total__c,StartDate,EndDate,Status,Name
800Do0000009WXoIAM,7093688,2000,2000,2000,2023-05-22,2024-05-21,Pending,(2024-05-21)  G&L Corporation
800Do0000009WXtIAM,7093689,3620,3620,3620,2023-05-22,2024-05-21,Pending,(2024-05-21)  Ashley Homes Construction Co.
800Do0000009WY8IAM,7093692,44856.07,44856.07,44856.07,2023-03-20,2024-03-19,Activated,(2024-03-19)  Floor & Decor
800Do000000xMyFIAU,7076348,10097.1,14387.57,43162.72,2023-01-01,2025-12-31,Activated,(2025-12-31)  Carpenters Contractors Corporation Committee
800Do0000009WYrIAM,7093697,5484,5484,5484,2023-05-25,2024-05-24,Activated,(2024-05-24)  Legion General Contracting LLC
800Do0000009WYwIAM,7093698,0.01,0.12,0.01,2023-05-19,2023-06-18,Pending,(2023-06-18)  Core Steel LLC
800Do0000009WZ6IAM,7093699,7248,7248,7248,2023-05-01,2024-04-30,Pending,(2024-04-30)  Lutz Woodworks LLC
800Do0000009WZQIA2,7093700,5000,5000,5000,2023-01-01,2023-12-31,Activated,(2023-12-31)  Nucor Insulated Panel Group (NIPG)
800Do000000xNNMIA2,7077903,1789.88,1789.88,1789.88,2022-09-19,2023-09-18,Activated,(2023-09-18)  A B C RESOURCES INC
800Do0000009WZlIAM,7093702,4800,4800,4800,2023-05-22,2024-05-21,Pending,(2024-05-21)  Blue City Construction
800Do0000009WZzIAM,7093703,1863,1863,1863,2023-05-22,2024-05-21,Pending,(2024-05-21)  C&D Maintenance LLC
800Do0000009Wa4IAE,7093704,2999.99,2999.99,2999.99,2023-05-22,2024-05-21,Activated,(2024-05-21)  LuxArt Decor LLC
800Do0000009Wa9IAE,7093705,5540,5540,5540,2023-05-22,2024-05-21,Activated,"(2024-05-21)  Knot Just Decks, Inc."
800Do0000009WaEIAU,7093706,2000,2000,2000,2023-05-22,2024-05-21,Pending,(2024-05-21)  Norris Flooring and More
800Do000000x8ZGIAY,7021229,1582.75,1582.75,1582.75,2022-12-29,2023-12-28,Draft,(2023-12-28)  Kreuzer Consulting Group
800Do000000xE3AIAU,7042217,4950.03,5092.52,10185.03,2021-08-01,2023-07-31,Renewed,(2023-07-31)  TriVAN Roofing
800Do0000009WadIAE,7093707,3990,3990,3990,2023-05-22,2024-05-21,Pending,(2024-05-21)  The Bekon Group
800Do0000009WaiIAE,7093708,4385.99,4385.99,4385.99,2023-05-22,2024-05-21,Pending,"(2024-05-21)  Performance Personnel Services of Pensacola, LLC"
800Do0000009WasIAE,7093709,4030,4030,4030,2023-05-31,2024-05-30,Pending,(2024-05-30)  Security 101 - Detroit
800Do000000tWUiIAM,7093294,1165.63,1182.82,2365.64,2023-05-09,2025-05-08,Activated,(2025-05-08)  24/7 Perfect Comfort LLC
800Do000000xA0zIAE,7026706,13786.7,14032,28064,2022-11-01,2024-10-31,Activated,(2024-10-31)  R.A.D. Fabrication
800Do000000xAO3IAM,7028136,9974.66,9974.66,19949.32,2021-06-01,2023-05-31,Renewed,(2023-05-31)  Richmond Exteriors
800Do0000009WaxIAE,7093710,1816.44,1816.44,1816.44,2023-05-22,2024-05-21,Pending,(2024-05-21)  ALBANESE BROTHERS
800Do0000009WcFIAU,7093715,3024,3024,3024,2023-05-26,2024-05-25,Activated,(2024-05-25)  Madrids Contracting LLC
800Do0000009WcoIAE,7093716,3038,3038,3038,2023-05-22,2024-05-21,Pending,(2024-05-21)  Ira M. Green Construction Company
800Do0000009WctIAE,7093717,8640,8640,8640,2023-05-22,2024-05-21,Pending,(2024-05-21)  Dirks Heavy Contractors
800Do0000009WdNIAU,7093721,52268.02,52268.02,52268.02,2023-05-22,2024-05-21,Activated,"(2024-05-21)  Hobas Pipe USA, Inc."
800Do0000009Wg2IAE,7093735,2400,2400,2400,2023-05-22,2024-05-21,Activated,(2024-05-21)  Hemiunu Constructions Solutions LLC
800Do0000009WhPIAU,7093738,82356.5,82356.5,82356.5,2023-04-21,2024-04-20,Activated,(2024-04-20)  ROBROY INDUSTRIES
800Do000000xObrIAE,7082646,193161.69,254720.74,509441.47,2023-01-01,2024-12-31,Activated,(2024-12-31)  WILLIAMS SCOTSMAN INC
800Do0000009WihIAE,7093745,1440,1440,1440,2023-05-26,2024-05-25,Activated,(2024-05-25)  Alpha Cooling Inc
800Do0000009WirIAE,7093747,3766.6,3766.6,3766.6,2023-05-23,2024-05-22,Pending,"(2024-05-22)  Redden Construction, Inc."
800Do0000009Wj1IAE,7093748,1836,1836,1836,2023-05-23,2024-05-22,Activated,(2024-05-22)  Veteran Spray Foam
800Do0000009WjLIAU,7093751,1836,1836,1836,2023-05-26,2024-05-25,Activated,(2024-05-25)  TDC Construction LLC
800Do000000tSasIAE,7092728,8372.16,8372.16,8372.16,2023-03-01,2024-02-29,Activated,(2024-02-29)  Miner Southwest LLC
800Do000000tXQNIA2,7093581,2540.68,4340.68,4340.68,2023-03-01,2024-02-29,Activated,(2024-02-29)  ARCHITECTURE WORK OFFICE
800Do000000x8PeIAI,7020633,2277.07,2277.07,2277.07,2023-01-16,2024-01-15,Draft,"(2024-01-15)  IDA Structural Engineers, Inc."
800Do0000009WlWIAU,7093755,4620,4620,4620,2023-05-23,2024-05-22,Activated,(2024-05-22)  Artech Design Group (TN)
800Do000000tJVbIAM,7091801,6192.01,6192.01,6192.01,2023-05-01,2024-04-30,Activated,(2024-04-30)  Southwest Construction Group
800Do0000009WncIAE,7093757,2700.01,2700.01,2700.01,2023-05-23,2024-05-22,Activated,(2024-05-22)  Showroom Floors Inc.
800Do0000009Wo6IAE,7093760,900.01,900.01,1800.02,2023-05-01,2025-04-30,Activated,(2025-04-30)  El Verde Terrazzo Inc.
800Do0000009WoBIAU,7093761,3024,3024,3024,2023-05-26,2024-05-25,Activated,(2024-05-25)  Garco Concrete Pros
800Do000000xbalIAA,7088404,955.56,955.56,955.56,2023-02-05,2024-02-04,Activated,(2024-02-04)  Team Clean and Haul Corporation
800Do0000009WoLIAU,7093762,1848.6,1848.6,1848.6,2023-05-23,2024-05-22,Activated,(2024-05-22)  Justice Marine Repair
800Do0000009WoVIAU,7093763,85000,85000,85000,2023-05-22,2024-05-21,Pending,(2024-05-21)  A.O. SMITH Water Projection
