Id,SBQQ__Contract__r.ContractNumber,SBQQ__Product__r.Name,Is_Subscription_Valid_Text__c
a6SDo000000kBRnMAM,7020474,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCC4MAM,7020474,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBRoMAM,7020476,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCC8MAM,7020476,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBdVMAU,7020478,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCCEMA2,7020478,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBbVMAU,7020479,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCCJMA2,7020479,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBRsMAM,7020480,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCCOMA2,7020480,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBlEMAU,7020481,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCCtMAM,7020481,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBbfMAE,7020482,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCCvMAM,7020482,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBS2MAM,7020485,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCD0MAM,7020485,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBbhMAE,7020486,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCD3MAM,7020486,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBlIMAU,7020487,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCD9MAM,7020487,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBdlMAE,7020488,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCDEMA2,7020488,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBdnMAE,7020489,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCDMMA2,7020489,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBboMAE,7020490,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCDTMA2,7020490,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBSBMA2,7020491,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCDYMA2,7020491,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBdsMAE,7020493,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCDeMAM,7020493,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBbsMAE,7020495,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCDjMAM,7020495,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBSHMA2,7020498,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCDwMAM,7020498,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBSJMA2,7020499,IMS Private Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBbxMAE,7020499,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCE3MAM,7020499,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBdzMAE,7020500,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCE5MAM,7020500,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBe0MAE,7020501,IMS Private Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBlYMAU,7020501,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCE8MAM,7020501,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBbzMAE,7020502,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCE9MAM,7020502,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBlcMAE,7020503,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCENMA2,7020503,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBSPMA2,7020504,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000sarfMAA,7020504,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCEQMA2,7020504,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000sargMAA,7020504,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBSRMA2,7020505,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCEYMA2,7020505,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBc6MAE,7020506,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCEbMAM,7020506,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBSTMA2,7020507,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCEfMAM,7020507,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBeAMAU,7020508,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCElMAM,7020508,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBc9MAE,7020509,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCEmMAM,7020509,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBljMAE,7020510,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCEoMAM,7020510,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBcBMAU,7020511,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCEuMAM,7020511,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBSXMA2,7020512,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCEvMAM,7020512,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBeDMAU,7020513,IMS Private Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBllMAE,7020513,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCEwMAM,7020513,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBSYMA2,7020514,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCEyMAM,7020514,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBlmMAE,7020515,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCEzMAM,7020515,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBcDMAU,7020516,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCF1MAM,7020516,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBcGMAU,7020517,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFAMA2,7020517,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBScMAM,7020518,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFBMA2,7020518,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBcHMAU,7020519,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFEMA2,7020519,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBSdMAM,7020520,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFFMA2,7020520,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBlrMAE,7020521,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFGMA2,7020521,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhsMAE,7020522,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFRMA2,7020522,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBShMAM,7020523,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFTMA2,7020523,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhtMAE,7020524,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFVMA2,7020524,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBgNMAU,7020525,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFWMA2,7020525,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBlxMAE,7020526,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFcMAM,7020526,IMS Seats,001-Component:missing Required by or Required by Product<br>
a6SDo000000kBhwMAE,7020527,IMS Public Projects,001-Component:missing Required by or Required by Product<br>
a6SDo000000kCFhMAM,7020527,IMS Seats,001-Component:missing Required by or Required by Product<br>
