Id,Status
800Do000000tNFCIA2,Terminated
800Do000000tNFDIA2,Terminated
8003i000000BydOAAS,Sync
8003i000000BydTAAS,Terminated
8003i000000BydYAAS,Terminated
8003i000000ByfZAAS,Terminated
8003i000000Byj7AAC,Terminated
8003i000000ByjCAAS,Terminated
8003i000000ByjHAAS,Terminated
8003i000000ByjMAAS,Sync
8003i000000ByjRAAS,Terminated
8003i000000ByjWAAS,Terminated
8003i000000BxaOAAS,Terminated
8003i000000BxaTAAS,Terminated
8003i000000BxaiAAC,Terminated
8003i000000BxanAAC,Terminated
8003i000000BxasAAC,Terminated
8003i000000BxbRAAS,Terminated
8003i000000BxbWAAS,Terminated
8003i000000BxdNAAS,Terminated
8003i000000BxdXAAS,Terminated
8003i000000BxfOAAS,Terminated
8003i000000BxjVAAS,Terminated
8003i000000BxjkAAC,Terminated
8003i000000BxjzAAC,Terminated
8003i000000BxkTAAS,Terminated
8003i000000BxkdAAC,Terminated
8003i000000BxlHAAS,Terminated
8003i000000BxmAAAS,Terminated
8003i000000BxnNAAS,Sync
8003i000000BxnrAAC,Terminated
8003i000000BxpOAAS,Terminated
8003i000000BxpdAAC,Terminated
8003i000000BxuOAAS,Terminated
8003i000000BxuTAAS,Terminated
8003i000000BxuYAAS,Terminated
8003i000000BxudAAC,Sync
8003i000000BxuiAAC,Terminated
8003i000000BxunAAC,Terminated
8003i000000BxuxAAC,Sync
8003i000000Bxv2AAC,Terminated
8003i000000Bxv7AAC,Terminated
8003i000000BxvCAAS,Sync
8003i000000BxvgAAC,Terminated
8003i000000BxvlAAC,Terminated
8003i000000Bxw5AAC,Sync
8003i000000BxwFAAS,Terminated
8003i000000BxweAAC,Terminated
8003i000000BxwoAAC,Terminated
8003i000000Bxx3AAC,Terminated
8003i000000BxxNAAS,Terminated
8003i000000BxxcAAC,Sync
8003i000000BxxrAAC,Terminated
8003i000000By0CAAS,Sync
8003i000000By1PAAS,Terminated
8003i000000By6oAAC,Terminated
8003i000000By6tAAC,Terminated
8003i000000ByHwAAK,Terminated
8003i000000ByIuAAK,Terminated
8003i000000ByJJAA0,Terminated
8003i000000ByJOAA0,Terminated
8003i000000ByJTAA0,Terminated
8003i000000ByJdAAK,Terminated
8003i000000ByK2AAK,Terminated
8003i000000ByKlAAK,Terminated
8003i000000ByLAAA0,Terminated
8003i000000ByLyAAK,Terminated
8003i000000ByNkAAK,Sync
8003i000000ByOEAA0,Terminated
8003i000000BySLAA0,Sync
8003i000000BySzAAK,Sync
8003i000000ByTOAA0,Terminated
8003i000000ByUgAAK,Terminated
8003i000000ByVFAA0,Sync
8003i000000ByVoAAK,Terminated
8003i000000ByXaAAK,Terminated
8003i000000BybNAAS,Terminated
8003i000000BybSAAS,Terminated
8003i000000BybhAAC,Sync
8003i000000BybrAAC,Terminated
8003i000000BybwAAC,Terminated
8003i000000BycLAAS,Terminated
8003i000000BycfAAC,Terminated
8003i000000ByzKAAS,Sync
8003i000000DlB1AAK,Terminated
8003i000000DlB6AAK,Sync
8003i000000DlBBAA0,Terminated
8003i000000DlBaAAK,Terminated
8003i000000DlCOAA0,Terminated
8003i000000DlCTAA0,Terminated
8003i000000DlCiAAK,Terminated
8003i000000DlDvAAK,Terminated
8003i000000DlEAAA0,Terminated
8003i000000DlFSAA0,Terminated
8003i000000DlFrAAK,Sync
8003i000000DlG1AAK,Sync
8003i000000DlGaAAK,Terminated
8003i000000DlHsAAK,Terminated
8003i000000DlHxAAK,Terminated
8003i000000DlJ5AAK,Terminated
8003i000000DlJFAA0,Terminated
8003i000000DlLLAA0,Terminated
8003i000000DlPcAAK,Sync
8003i000000DlPrAAK,Terminated
8003i000000DlQBAA0,Sync
8003i000000DlQaAAK,Sync
8003i000000DlR9AAK,Terminated
8003i000000DlREAA0,Terminated
8003i000000DlROAA0,Sync
8003i000000DlRiAAK,Terminated
8003i000000DlRnAAK,Terminated
8003i000000DlS2AAK,Terminated
8003i000000DlSCAA0,Terminated
8003i000000DlSgAAK,Terminated
8003i000000DlTPAA0,Terminated
8003i000000DlUmAAK,Terminated
8003i000000DlhqAAC,Sync
8003i000000DliFAAS,Terminated
8003i000000DliPAAS,Terminated
8003i000000DliUAAS,Terminated
8003i000000DlioAAC,Terminated
8003i000000DljDAAS,Terminated
8003i000000DljNAAS,Terminated
8003i000000DljSAAS,Terminated
8003i000000DljXAAS,Terminated
8003i000000DljwAAC,Terminated
8003i000000DlUrAAK,Terminated
8003i000000DlVaAAK,Terminated
8003i000000DlVfAAK,Terminated
8003i000000DlWnAAK,Terminated
8003i000000DlWsAAK,Terminated
8003i000000DlYkAAK,Terminated
8003i000000DlaGAAS,Terminated
8003i000000Dlb9AAC,Terminated
8003i000000DldAAAS,Terminated
8003i000000DlhgAAC,Terminated
8003i000000DlhlAAC,Terminated
8003i000000ByjgAAC,Terminated
8003i000000ByjlAAC,Sync
8003i000000ByjqAAC,Terminated
8003i000000BykjAAC,Terminated
8003i000000Byl3AAC,Terminated
8003i000000BylrAAC,Terminated
8003i000000Bym1AAC,Terminated
8003i000000BymkAAC,Sync
8003i000000BypeAAC,Sync
8003i000000BytCAAS,Terminated
8003i000000BytHAAS,Terminated
8003i000000BytbAAC,Terminated
8003i000000BytvAAC,Terminated
8003i000000Byu0AAC,Terminated
8003i000000Byv8AAC,Sync
8003i000000ByvIAAS,Terminated
8003i000000DnAAAA0,Terminated
8003i000000DnAKAA0,Terminated
8003i000000DnBSAA0,Terminated
8003i000000DnBXAA0,Terminated
8003i000000DnC1AAK,Terminated
8003i000000DnCkAAK,Terminated
8003i000000DnD4AAK,Terminated
8003i000000DnD9AAK,Terminated
8003i000000DnE2AAK,Terminated
8003i000000DnEWAA0,Terminated
8003i000000DnEgAAK,Terminated
8003i000000DnGcAAK,Sync
8003i000000DlkfAAC,Sync
8003i000000DlkuAAC,Terminated
8003i000000Dll9AAC,Sync
8003i000000DllTAAS,Sync
8003i000000DlmCAAS,Terminated
8003i000000DlmvAAC,Sync
8003i000000DloNAAS,Sync
8003i000000DloSAAS,Terminated
8003i000000DlsoAAC,Terminated
8003i000000DlviAAC,Terminated
8003i000000DlvxAAC,Terminated
8003i000000DlwCAAS,Sync
8003i000000DlwbAAC,Terminated
8003i000000Dlx5AAC,Terminated
8003i000000DlxFAAS,Terminated
8003i000000DlxKAAS,Sync
8003i000000Dm0EAAS,Terminated
8003i000000Dm0nAAC,Terminated
8003i000000DmUsAAK,Sync
8003i000000DmUxAAK,Terminated
8003i000000DmV7AAK,Terminated
8003i000000DmVCAA0,Terminated
8003i000000DmVbAAK,Terminated
8003i000000DmVqAAK,Terminated
8003i000000DmVrAAK,Terminated
8003i000000DmW0AAK,Sync
8003i000000DmX8AAK,Terminated
