Account_Seq_Number__c,Id,Renewal_Mode__c,Account_Name__c,ContractNumber,StartDate,EndDate,SBQQ__RenewalOpportunity__r.Name,SBQQ__RenewalOpportunity__r.StageName
1002008-0,800Do000000x90rIAA,Manual,Select Stone,7022895,2022-09-01,2024-08-31,2024 - Select Stone - Renewal,Discovery
1002883-0,800Do000000x90sIAA,Manual,"Labor Unlimited, Inc.",7022896,2022-08-01,2024-07-31,"2024 - Labor Unlimited, Inc. - Renewal",Discovery
1003366-0,800Do000000x90tIAA,Manual,Brothers Group Construction Company,7022897,2022-07-01,2023-06-30,2023-Brothers Group Construction Company - BB Renewal,Solution/Value
1005140-0,800Do000000x91YIAQ,Manual,"Welsh Excavation Co., Inc.",7022898,2022-03-01,2023-02-28,"2023-Welsh Excavation Co., Inc.- BB Renewal",Solution/Value
1012344-0,800Do000000x91bIAA,Manual,CD Building Services LLC,7022901,2022-04-01,2023-03-31,2023-CD Building Services LLC- BB Renewal,Closed Won
1013878-0,800Do000000x91cIAA,Manual,SD Concrete,7022902,2022-08-01,2024-07-31,2024 - SD Concrete - Renewal,Discovery
1016843-0,800Do000000x91eIAA,Manual,"D&E Electric of Ohio, LLC",7022904,2022-02-01,2024-01-31,"2024 - D&E Electric of Ohio, LLC - Renewal",Discovery
101890-1,800Do000000x91gIAA,Manual,"G. Fiore Concrete & Construction, Inc.",7022906,2021-04-01,2023-03-31,"2023-G. Fiore Concrete & Construction, Inc.- BB Renewal",Solution/Value
1025919-0,800Do000000x91jIAA,Auto,Absolute Electrical Service Inc.,7022909,2022-12-01,2024-11-30,2024 - Absolute Electrical Service Inc. - Renewal,Discovery
1028449-0,800Do000000x91kIAA,Manual,"RMS Orlando, Inc.",7022910,2022-09-01,2024-08-31,"2024 - RMS Orlando, Inc. - Renewal",Discovery
1028522-0,800Do000000x91lIAA,Manual,"Express Stucco & Wall Service, Inc.",7022911,2022-01-01,2023-12-31,"2024 - Express Stucco & Wall Service, Inc. - Renewal",Discovery
1030497-0,800Do000000x91nIAA,Auto,"Pietra Graniti, Inc.",7022913,2023-01-01,2023-12-31,"2024 - Pietra Graniti, Inc. - Renewal",Discovery
103176-0,800Do000000x91pIAA,Manual,"ABC Disposal Service, Inc.",7022915,2021-10-01,2023-09-30,"2023 - ABC Disposal Service, Inc. - Renewal",Discovery
1040556-0,800Do000000x91rIAA,Manual,AA Stucco & Drywall Inc,7022917,2021-04-01,2023-03-31,"2023-AA Stucco & Drywall, Inc.- BB Renewal",Solution/Value
104469-0,800Do000000x91tIAA,Manual,Phoenix Associates Construction Corporation,7022919,2022-09-01,2024-08-31,2024 - Phoenix Associates Construction Corporation - Renewal,Discovery
104483-0,800Do000000x91uIAA,Manual,"City Supply Co., Inc.",7022920,2022-01-01,2023-12-31,"2024 - City Supply Co., Inc. - Renewal",Discovery
104601-4,800Do000000x91vIAA,Manual,Peerless Fence Group,7022921,2021-05-01,2023-04-30,2023-Peerless Fence Group- BB Renewal,Solution/Value
104721-0,800Do000000x91wIAA,Manual,"Stell Enterprises, Inc.",7022922,2022-07-01,2023-06-30,"2023-Stell Enterprises, Inc.- BB Renewal",Solution/Value
105012-2,800Do000000x91xIAA,Manual,A-Porcel Trading,7022923,2021-09-01,2023-08-31,2023 - A-Porcel Trading - Renewal,Discovery
105406-0,800Do000000x91yIAA,Manual,Pyramid Plaster Corp.,7022924,2021-09-01,2023-08-31,2023 - Pyramid Plaster Corp. - Renewal,Discovery
105527-0,800Do000000x91zIAA,Manual,"Designer Sign Systems, LLC",7022925,2021-09-01,2023-08-31,"2023 - Designer Sign Systems, LLC - Renewal",Discovery
1061837-0,800Do000000x921IAA,Manual,"Petrafab, Inc.",7022927,2022-10-01,2024-09-30,"2024 - Petrafab, Inc. - Renewal",Discovery
106260-0,800Do000000x922IAA,Manual,Creative Ceiling Solutions,7022928,2021-04-01,2023-03-31,2023-Creative Ceiling Solutions- BB Renewal,Proposal
1062846-0,800Do000000x923IAA,Manual,"South East Services, Inc.",7022929,2022-07-01,2023-06-30,"2023-South East Services, Inc.- BB Renewal",Solution/Value
107045-0,800Do000000x928IAA,Manual,United Pavers Inc.,7022934,2022-08-01,2024-07-31,2024 - United Pavers Inc. - Renewal,Discovery
1070631-0,800Do000000x929IAA,Auto,Vinny Construction Corp.,7022935,2024-01-01,2025-12-31,2026 - Vinny Construction Corp. - Renewal,Discovery
108276-1,800Do000000x92HIAQ,Manual,High Rise Security Systems LLC,7022943,2021-09-01,2023-08-31,2023 - High Rise Security Systems LLC - Renewal,Discovery
