Id,Amendment_Type__c,Auto_Close_Cancellation__c,SBQQ__AmendmentOwner__c
800Do000000xEYTIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBzTIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xDIIIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xDVDIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xDG7IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xE1CIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHvQIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHlgIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAXgIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAjDIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xaASIAY,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFTFIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCFWIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCc5IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xA75IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xEYLIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHnaIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFSMIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBseIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGJbIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCFQIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBnuIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCYHIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x932IAA,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHaQIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAeNIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAZfIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFyGIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBemIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBesIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBnxIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHEsIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9bmIAA,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHObIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAtLIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xF7SIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBN7IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xB4UIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBGzIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBT8IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xDosIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xDfvIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBjWIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHowIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFniIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBSZIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xG7zIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xDqDIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHvuIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBC4IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAu7IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFvMIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHTRIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGpuIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGpyIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHheIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000x9k4IAA,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xAiYIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFFsIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHS5IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFIaIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xBYoIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFUVIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGBYIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHqZIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCcYIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHr1IAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGXMIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGpUIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xI2bIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGpaIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCmFIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCmLIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGXWIA2,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGpdIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xGXcIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHVpIAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xCC2IAM,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xHwpIAE,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xF6PIAU,Cancellation,TRUE,0053i000002SxjyAAC
800Do000000xFTNIA2,Cancellation,TRUE,0053i000002SxjyAAC
