Id,SBQQ__PaymentTerms__c,ApprovalStatus__c
a6GDo00000003zXMAQ,,Recalled
a6GDo00000004HCMAY,NET30,Draft
a6GDo00000004HHMAY,NET30,Draft
a6GDo00000004HgMAI,NET30,Sent to Customer
a6GDo00000004HlMAI,NET30,Draft
a6GDo00000004I0MAI,NET30,
a6GDo00000004IFMAY,NET30,Draft
a6GDo00000004IeMAI,NET30,Sent to Customer
a6GDo00000004JcMAI,NET30,Approved
a6GDo00000004KzMAI,NET30,Draft
a6GDo00000004LJMAY,NET30,Sent to Customer
a6GDo00000004MWMAY,NET30,Approved
a6GDo00000004N5MAI,NET30,Sent to Customer
a6GDo00000004NAMAY,NET30,Draft
a6GDo00000004NUMAY,NET30,Pending
a6GDo00000004OhMAI,NET30,Draft
a6GDo00000004OdMAI,NET30,Draft
a6GDo00000004QOMAY,NET30,Sent to Customer
a6GDo00000004QnMAI,NET30,Sent to Customer
a6GDo00000004RHMAY,NET30,Sent to Customer
a6GDo00000004RgMAI,NET30,Draft
a6GDo00000004RlMAI,NET30,Draft
a6GDo00000004S0MAI,NET30,Draft
a6GDo00000004S5MAI,NET30,Draft
a6GDo00000004SFMAY,NET30,Draft
a6GDo00000004SKMAY,NET30,Draft
a6GDo00000004SjMAI,NET30,Draft
a6GDo00000004T3MAI,NET30,Draft
a6GDo00000004TIMAY,NET30,Draft
a6GDo00000004UGMAY,NET30,Draft
a6GDo00000004VJMAY,NET30,Draft
a6GDo00000004aOMAQ,NET30,Approved
a6GDo00000004anMAA,NET30,Draft
a6GDo00000004asMAA,NET30,Draft
a6GDo00000004axMAA,NET30,Sent to Customer
a6GDo00000004bCMAQ,NET30,Sent to Customer
a6GDo00000004bMMAQ,NET30,Ready to Send
a6GDo00000004blMAA,NET30,Draft
a6GDo00000004c0MAA,NET30,Approved
a6GDo00000004cAMAQ,NET30,Draft
a6GDo00000004cKMAQ,NET30,Draft
a6GDo00000004cyMAA,NET30,Draft
a6GDo00000004dNMAQ,NET30,Sent to Customer
a6GDo00000004drMAA,NET30,Draft
a6GDo00000004dwMAA,NET30,Draft
a6GDo00000004eaMAA,NET30,Sent to Customer
a6GDo00000004ezMAA,NET30,Sent to Customer
a6GDo00000004f4MAA,NET30,Draft
a6GDo00000004fTMAQ,NET30,Sent to Customer
a6GDo00000004gWMAQ,NET30,Draft
a6GDo00000004gvMAA,NET30,Sent to Customer
a6GDo00000004h0MAA,NET30,Sent to Customer
a6GDo00000004hjMAA,NET30,Sent to Customer
a6GDo00000004hoMAA,NET30,Draft
a6GDo00000004hyMAA,NET30,Draft
a6GDo00000004i3MAA,NET30,Draft
a6GDo00000004iIMAQ,NET30,Draft
a6GDo00000004iNMAQ,NET30,Draft
a6GDo00000004iXMAQ,NET30,Draft
a6GDo00000004icMAA,NET30,Draft
a6GDo00000004ihMAA,NET30,Draft
a6GDo00000004imMAA,NET30,Sent to Customer
a6GDo00000004iwMAA,NET30,Draft
a6GDo00000004jBMAQ,NET30,Sent to Customer
a6GDo00000004jfMAA,NET30,Sent to Customer
a6GDo00000004k4MAA,NET30,Sent to Customer
a6GDo00000004kYMAQ,NET30,Sent to Customer
a6GDo00000004kxMAA,NET30,Draft
a6GDo00000004l2MAA,NET30,Approved
a6GDo00000004l7MAA,NET30,Draft
a6GDo00000004m0MAA,NET30,Draft
a6GDo00000004mKMAQ,NET30,Sent to Customer
a6GDo00000004okMAA,NET30,Draft
a6GDo000000065SMAQ,NET30,Draft
a6GDo00000005k9MAA,NET30,Draft
a6GDo00000005zbMAA,NET30,Draft
a6GDo00000005uaMAA,NET30,Draft
a6GDo00000005Y6MAI,NET30,Draft
a6GDo00000005C6MAI,NET30,Draft
a6GDo000000065rMAA,NET30,Draft
a6GDo00000006RlMAI,NET30,Draft
a6GDo00000009llMAA,NET30,Draft
a6GDo00000009iyMAA,NET30,Draft
a6GDo00000009kzMAA,NET30,Draft
a6GDo00000005zrMAA,NET30,Draft
a6GDo00000009iPMAQ,NET30,Draft
a6GDo00000009lvMAA,NET30,Draft
