Id,SBQQ__Product__r.Name,Product_Line__c,SBQQ__ProductFamily__c
a6CDo0000010zcPMAQ,Daily Pacific Builder,Print,Print
a6CDo000001111DMAQ,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011122MAA,Daily Pacific Builder,Print,Print
a6CDo0000011121MAA,Daily Pacific Builder,Print,Print
a6CDo00000111WEMAY,Dodge Reports,Print,Print
a6CDo00000111zEMAQ,Construction News Weekly,Print,Print
a6CDo00000112CsMAI,Construction News Weekly,Print,Print
a6CDo00000112QyMAI,Construction News Weekly,Print,Print
a6CDo00000112R4MAI,Dodge Reports,Print,Print
a6CDo00000112QwMAI,First Class Mailing,Print,Print
a6CDo00000112R3MAI,Dodge Reports,Print,Print
a6CDo00000112R2MAI,Dodge Reports,Print,Print
a6CDo00000112RrMAI,Construction News Weekly,Print,Print
a6CDo00000112XpMAI,Construction News Weekly,Print,Print
a6CDo00000112kDMAQ,Chicago Construction Newspaper,Print,Print
a6CDo00000112oeMAA,Construction News Weekly,Print,Print
a6CDo00000112y4MAA,Dodge Reports,Print,Print
a6CDo00000112xzMAA,Construction News Weekly,Print,Print
a6CDo00000112yPMAQ,Construction News Weekly,Print,Print
a6CDo00000112yOMAQ,Construction News Weekly,Print,Print
a6CDo00000112yNMAQ,Construction News Weekly,Print,Print
a6CDo00000112ymMAA,Construction News Weekly,Print,Print
a6CDo00000113U9MAI,Daily Pacific Builder,Print,Print
a6CDo000001130IMAQ,Dodge Reports,Print,Print
a6CDo00000113jkMAA,Green Sheet Construction Newspaper,Print,Print
a6CDo00000111qrMAA,Dodge Reports,Print,Print
a6CDo0000011453MAA,Green Sheet Construction Newspaper,Print,Print
a6CDo00000113AkMAI,Construction News Weekly,Print,Print
a6CDo00000114QVMAY,Construction News Weekly,Print,Print
a6CDo00000114T8MAI,Construction News Weekly,Print,Print
a6CDo000001149hMAA,Construction News Weekly,Print,Print
a6CDo00000114ZjMAI,Dodge Reports,Print,Print
a6CDo00000114WRMAY,Dodge Reports,Print,Print
a6CDo00000114nrMAA,Dodge Reports,Print,Print
a6CDo00000114nsMAA,Dodge Reports,Print,Print
a6CDo00000114neMAA,Dodge Reports,Print,Print
a6CDo00000115ByMAI,Green Sheet Construction Newspaper,Print,Print
a6CDo00000115J1MAI,Daily Pacific Builder,Print,Print
a6CDo00000115KqMAI,Construction News Weekly,Print,Print
a6CDo00000115feMAA,Construction News Weekly,Print,Print
a6CDo00000115jAMAQ,Construction News Weekly,Print,Print
a6CDo00000115j4MAA,Dodge Reports,Print,Print
a6CDo00000115LSMAY,Dodge Reports,Print,Print
a6CDo000001167HMAQ,Construction News Weekly,Print,Print
a6CDo00000115v5MAA,Daily Pacific Builder,Print,Print
a6CDo00000116EoMAI,Dodge Reports,Print,Print
a6CDo00000116ZMMAY,Dodge Reports,Print,Print
a6CDo00000116ZyMAI,Dodge Reports,Print,Print
a6CDo00000116ZwMAI,Dodge Reports,Print,Print
a6CDo00000116ZxMAI,Dodge Reports,Print,Print
a6CDo00000116oMMAQ,Daily Pacific Builder,Print,Print
a6CDo00000116oYMAQ,Construction News Weekly,Print,Print
a6CDo00000116oXMAQ,Construction News Weekly,Print,Print
a6CDo00000116skMAA,Daily Pacific Builder,Print,Print
a6CDo00000116sjMAA,First Class Mailing,Print,Print
a6CDo00000116xpMAA,Dodge Reports,Print,Print
a6CDo00000116llMAA,Daily Pacific Builder,Print,Print
a6CDo000001178HMAQ,Dodge Reports,Print,Print
a6CDo000001173tMAA,Green Sheet Construction Newspaper,Print,Print
a6CDo000001173uMAA,Green Sheet Construction Newspaper,Print,Print
a6CDo00000117UCMAY,Daily Pacific Builder,Print,Print
a6CDo00000117U5MAI,Green Sheet Construction Newspaper,Print,Print
a6CDo00000117cPMAQ,First Class Mailing,Print,Print
a6CDo00000117cQMAQ,First Class Mailing,Print,Print
a6CDo00000117U4MAI,Green Sheet Construction Newspaper,Print,Print
a6CDo00000117hDMAQ,Green Sheet Construction Newspaper,Print,Print
a6CDo00000117hEMAQ,First Class Mailing,Print,Print
a6CDo00000117XyMAI,Dodge Reports,Print,Print
a6CDo00000117tiMAA,Dodge Reports,Print,Print
a6CDo00000118GLMAY,Daily Pacific Builder,Print,Print
a6CDo00000116kpMAA,Construction News Weekly,Print,Print
a6CDo00000118BYMAY,Green Sheet Construction Newspaper,Print,Print
a6CDo00000117vOMAQ,Daily Pacific Builder,Print,Print
a6CDo00000114l5MAA,Daily Pacific Builder,Print,Print
a6CDo00000116olMAA,Green Sheet Construction Newspaper,Print,Print
a6CDo00000118ehMAA,Construction News Weekly,Print,Print
a6CDo00000118ocMAA,Green Sheet Construction Newspaper,Print,Print
a6CDo00000118ImMAI,Green Sheet Construction Newspaper,Print,Print
a6CDo00000118zQMAQ,Construction News Weekly,Print,Print
a6CDo000001190WMAQ,Daily Pacific Builder,Print,Print
a6CDo00000119AWMAY,Dodge Reports,Print,Print
a6CDo00000119ELMAY,Dodge Reports,Print,Print
a6CDo00000119SNMAY,Dodge Reports,Print,Print
a6CDo00000119H2MAI,Daily Pacific Builder,Print,Print
a6CDo00000119nOMAQ,Dodge Reports,Print,Print
a6CDo00000119JVMAY,Construction News Weekly,Print,Print
a6CDo0000011ACmMAM,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011AV2MAM,Construction News Weekly,Print,Print
a6CDo0000011AdlMAE,First Class Mailing,Print,Print
a6CDo0000011AdpMAE,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011AdoMAE,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011AdnMAE,First Class Mailing,Print,Print
a6CDo0000011AdqMAE,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011AdmMAE,First Class Mailing,Print,Print
a6CDo0000011AeJMAU,Daily Pacific Builder,Print,Print
a6CDo0000011AeIMAU,Daily Pacific Builder,Print,Print
a6CDo0000011ADMMA2,Daily Pacific Builder,Print,Print
a6CDo00000119UyMAI,Construction News Weekly,Print,Print
a6CDo0000011AfYMAU,Dodge Reports,Print,Print
a6CDo0000011B4bMAE,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011A6CMAU,Chicago Construction Newspaper,Print,Print
a6CDo0000011B8UMAU,Construction News Weekly,Print,Print
a6CDo00000118GKMAY,Construction News Weekly,Print,Print
a6CDo0000011BBzMAM,Construction News Weekly,Print,Print
a6CDo0000011BKOMA2,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011BKNMA2,First Class Mailing,Print,Print
a6CDo0000011BXPMA2,Daily Pacific Builder,Print,Print
a6CDo0000011BfCMAU,Construction News Weekly,Print,Print
a6CDo0000011BWSMA2,Wal-Mart Custom Newsletter,Print,Print
a6CDo0000011BtCMAU,Daily Pacific Builder,Print,Print
a6CDo0000011C9wMAE,Dodge Reports,Print,Print
a6CDo0000011Cg3MAE,Dodge Reports,Print,Print
a6CDo0000011CL8MAM,First Class Mailing,Print,Print
a6CDo0000011CL9MAM,Daily Pacific Builder,Print,Print
a6CDo0000011CuVMAU,Daily Pacific Builder,Print,Print
a6CDo0000011CsdMAE,Construction News Weekly,Print,Print
a6CDo0000011D0rMAE,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011D3xMAE,Dodge Reports,Print,Print
a6CDo0000011CwJMAU,Dodge Reports,Print,Print
a6CDo0000011D8VMAU,Dodge Reports,Print,Print
a6CDo00000119mHMAQ,Construction News Weekly,Print,Print
a6CDo0000011CwzMAE,Construction News Weekly,Print,Print
a6CDo0000011DBFMA2,Dodge Reports,Print,Print
a6CDo0000011DBGMA2,Dodge Reports,Print,Print
a6CDo0000011DJsMAM,Construction News Weekly,Print,Print
a6CDo0000011BbyMAE,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011E0jMAE,Daily Pacific Builder,Print,Print
a6CDo0000011ESWMA2,Construction News Weekly,Print,Print
a6CDo0000011ET7MAM,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011EvWMAU,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011EvqMAE,Construction News Weekly,Print,Print
a6CDo0000011Em4MAE,First Class Mailing,Print,Print
a6CDo0000011EwYMAU,Construction News Weekly,Print,Print
a6CDo0000011EwWMAU,First Class Mailing,Print,Print
a6CDo0000011En9MAE,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011Ed1MAE,Daily Pacific Builder,Print,Print
a6CDo0000011DIXMA2,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011F6AMAU,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011EuqMAE,Daily Pacific Builder,Print,Print
a6CDo0000011FA9MAM,Dodge Reports,Print,Print
a6CDo0000011FBKMA2,Dodge Reports,Print,Print
a6CDo0000011DdDMAU,Daily Pacific Builder,Print,Print
a6CDo0000011FDmMAM,Daily Pacific Builder,Print,Print
a6CDo0000011CsiMAE,Daily Pacific Builder,Print,Print
a6CDo0000011FDlMAM,Daily Pacific Builder,Print,Print
a6CDo0000011F7iMAE,Green Sheet Construction Newspaper,Print,Print
a6CDo0000011DDsMAM,Daily Pacific Builder,Print,Print
a6CDo0000011FKYMA2,Daily Pacific Builder,Print,Print
a6CDo0000011F23MAE,Daily Pacific Builder,Print,Print
a6CDo0000011ElmMAE,Chicago Construction Newspaper,Print,Print
a6CDo0000011FNrMAM,Construction News Weekly,Print,Print
a6CDo0000011F6nMAE,Daily Pacific Builder,Print,Print
a6CDo0000011DVWMA2,Green Sheet Construction Newspaper,Print,Print
