Id,BB_KB_Cancellation__c
0013i000003QMKoAAO,true
0013i000005AJylAAG,true
0013i0000071CIfAAM,true
0013i0000071CcLAAU,true
0013i0000071CgeAAE,true
0013i0000071CszAAE,true
0013i0000071CyvAAE,true
0013i0000071CzlAAE,true
0013i0000071DJ9AAM,true
0013i0000071DQWAA2,true
0013i0000071DgnAAE,true
0013i0000071DzPAAU,true
0013i0000071E5IAAU,true
0013i0000071EH8AAM,true
0013i0000071lPoAAI,true
0013i0000071lXOAAY,true
0013i0000071lYbAAI,true
0013i0000071lmfAAA,true
0013i0000071lmvAAA,true
0013i0000071lnTAAQ,true
0013i0000071lnlAAA,true
0013i0000071lw3AAA,true
0013i0000071lx8AAA,true
0013i0000071lxRAAQ,true
0013i0000071lxtAAA,true
0013i0000071m26AAA,true
0013i0000071m2FAAQ,true
0013i0000071m3EAAQ,true
0013i0000071m4ZAAQ,true
0013i0000071m4pAAA,true
0013i0000071mBtAAI,true
0013i0000071mBuAAI,true
0013i0000071mCGAAY,true
0013i0000071mCmAAI,true
0013i0000071mDmAAI,true
0013i0000071mLMAAY,true
0013i0000071mLwAAI,true
0013i0000071mMvAAI,true
0013i0000071mUbAAI,true
0013i0000071mbIAAQ,true
0013i0000071mjKAAQ,true
0013i0000071mjQAAQ,true
0013i0000071mjrAAA,true
0013i0000071mshAAA,true
0013i0000071mtPAAQ,true
0013i0000071mtxAAA,true
0013i0000071muSAAQ,true
0013i0000071n1iAAA,true
0013i0000071n2IAAQ,true
0013i0000071nAfAAI,true
0013i0000071nAyAAI,true
0013i0000071nCOAAY,true
0013i0000071nCbAAI,true
0013i0000071nClAAI,true
0013i0000071nD5AAI,true
0013i0000071nQmAAI,true
0013i0000071nT1AAI,true
0013i0000071nc2AAA,true
0013i0000071ngvAAA,true
0013i0000071niAAAQ,true
0013i0000071niVAAQ,true
0013i0000071npZAAQ,true
0013i0000071npdAAA,true
0013i0000071npgAAA,true
0013i0000071nzxAAA,true
0013i0000071o0DAAQ,true
0013i0000071o18AAA,true
0013i0000071oA8AAI,true
0013i0000071oATAAY,true
0013i0000071oAhAAI,true
0013i0000071oTvAAI,true
0013i0000071oUrAAI,true
0013i0000071oVHAAY,true
0013i0000071oVoAAI,true
0013i0000071oVtAAI,true
0013i0000071oVwAAI,true
0013i0000071oW0AAI,true
0013i0000071oW9AAI,true
0013i0000071oWTAAY,true
0013i0000071oWcAAI,true
0013i0000071oWkAAI,true
0013i0000071oaMAAQ,true
0013i0000071oaYAAQ,true
0013i0000071oanAAA,true
0013i0000071obEAAQ,true
0013i0000071obFAAQ,true
0013i0000071obNAAQ,true
0013i0000071obVAAQ,true
0013i0000071oc1AAA,true
0013i0000071oc6AAA,true
0013i0000071ocAAAQ,true
0013i0000071ocHAAQ,true
0013i0000071oqrAAA,true
0013i0000071pWaAAI,true
0013i0000071pX5AAI,true
0013i0000071pXVAAY,true
0013i0000071pXnAAI,true
0013i0000071pXrAAI,true
0013i0000071pc4AAA,true
0013i0000071pcAAAQ,true
0013i0000071pdWAAQ,true
0013i0000071pdcAAA,true
0013i0000071pdlAAA,true
0013i0000071pdvAAA,true
0013i0000071peBAAQ,true
0013i0000071peNAAQ,true
0013i0000071peRAAQ,true
0013i0000071pedAAA,true
0013i0000071plMAAQ,true
0013i0000071plVAAQ,true
0013i0000071plWAAQ,true
0013i0000071pljAAA,true
0013i0000071plmAAA,true
0013i0000071plzAAA,true
0013i0000071pmFAAQ,true
0013i0000071pmUAAQ,true
0013i0000071pmkAAA,true
