Id,BB_Stats__c,Account_Number__c,BB_Last_Sync_Date__c,NS_Invoice_Due_Date__c,BB_Account__c,BB_Account_Sequence__c,Revenue_Account_ID__c,NS_Invoice_Amt_Due__c
0013i000003QMKFAA4,8650149,,,2023-05-01,8650149,8650149-0,D00129535,3322.37
0013i000003QMKGAA4,630357,,,,630357,630357-0,D00112403,0
0013i000003QMKIAA4,179929,,,,179929,179929-0,D11009594,0
0013i000003QMKJAA4,5531714,,,,5531714,5531714-0,D00067136,0
0013i000003QMKSAA4,7731474,,,,7731474,7731474-0,D11329174,0
0013i000003QMKYAA4,7210776,,,,7210776,7210776-0,D11192606,0
0013i000003QMKwAAO,4257836,,,,4257836,4257836-0,,0
0013i000003QML5AAO,323206,,,,323206,323206-0,D00096125,0
0013i000003QML7AAO,550177,,,,550177,550177-0,,0
0013i000003QMLGAA4,708904,,,,708904,708904-0,W13374909,0
0013i000003QMLNAA4,300399,,,,300399,300399-0,,0
0013i000003QMLPAA4,8263696,,,,8263696,8263696-0,D00131105,0
0013i000003QMLRAA4,200239,,,,200239,200239-0,D00130552,0
0013i000003QMM0AAO,238897,,,,238897,238897-0,D10007615,0
0013i000003QMM4AAO,6666479,,,,6666479,6666479-0,,0
0013i000003QMM7AAO,788241,,,2023-03-01,788241,788241-0,D00127055,6264.98
0013i000003QMMJAA4,439583,,,2022-11-30,439583,439583-0,D00115953,1015.5
0013i000003QMMPAA4,424566,,,,424566,424566-0,,0
0013i000003QMMUAA4,4257986,,,,4257986,4257986-0,D00124697,0
0013i000003QMMZAA4,221988,,,,221988,221988-0,D00082735,0
0013i000003QMMnAAO,723094,,,2022-09-30,723094,723094-0,W47021005,8154.59
0013i000003QMMoAAO,1401675,,,,1401675,1401675-0,,0
0013i000003QMN0AAO,512618,,,,512618,512618-0,,0
0013i000003QMN5AAO,599381,,,,599381,599381-0,W81573608,0
0013i000003QMN6AAO,630352,,,,630352,630352-0,D00108991,0
0013i000005AJejAAG,520200,,,,520200,520200-0,,0
0013i000005AYUoAAO,1389540,,,,1389540,1389540-0,,0
0013i000005AuihAAC,542896,,,,542896,542896-0,,0
0013i000005AukUAAS,632544,,,,632544,632544-0,,0
0013i000005AulZAAS,4503490,,,,4503490,4503490-0,,0
0013i000005AulzAAC,4330384,,,,4330384,4330384-0,,0
0013i000005AumRAAS,7043381,,,,7043381,7043381-0,,0
0013i000005AumTAAS,7407802,,,,7407802,7407802-0,,0
0013i000005AunxAAC,481093,,,,481093,481093-0,,0
0013i000005AunyAAC,128658,,,,128658,128658-0,,0
