Id,BB_KB_Cancellation__c
0013i00000EOZweAAH,false
0013i00000EOaDuAAL,false
0013i00000EOabmAAD,false
0013i00000EOaghAAD,false
0013i00000EObk6AAD,false
0013i00000EOiYaAAL,false
0013i00000EOiiAAAT,false
0013i00000EOj1NAAT,false
0013i00000EOj6OAAT,false
0013i00000EOjfEAAT,false
0013i00000EP2IWAA1,false
0013i00000EPEFzAAP,false
0013i00000EPePhAAL,false
0013i00000EPebcAAD,false
0013i00000EPfeDAAT,false
0013i00000EPkUaAAL,false
0013i00000EPl1AAAT,false
0013i00000EPlCNAA1,false
0013i00000EPlHmAAL,false
0013i00000EPlW3AAL,false
0013i00000EPloQAAT,false
0013i00000EPqTeAAL,false
0013i00000EPqUSAA1,false
0013i00000EPr4tAAD,false
0013i00000EPvCZAA1,false
0013i00000EPz8PAAT,false
0013i00000EPzFBAA1,false
0013i00000EQ0qwAAD,false
0013i00000FiGGYAA3,false
0013i00000FiOTfAAN,false
0013i00000FiPHUAA3,false
0013i00000FiR2PAAV,false
0013i00000FiV1wAAF,false
0013i00000FiV4CAAV,false
0013i00000FiYqQAAV,false
0013i00000FibpdAAB,false
0013i00000FiiILAAZ,false
0013i00000FikZkAAJ,false
0013i00000Fil4TAAR,false
0013i00000FilN6AAJ,false
0013i00000FioADAAZ,false
0013i00000FivcrAAB,false
0013i00000FivdVAAR,false
0013i00000FjAhaAAF,false
0013i00000FjAiEAAV,false
0013i00000FjAt7AAF,false
0013i00000FjAwfAAF,false
0013i00000FjEtCAAV,false
0013i00000FjF3RAAV,false
0013i00000FjI85AAF,false
0013i00000FjICbAAN,false
0013i00000FjIRbAAN,false
0013i00000FjLpuAAF,false
0013i00000FjLw7AAF,false
0013i00000FjM6DAAV,false
0013i00000FjMFEAA3,false
0013i00000FjMFsAAN,false
0013i00000FjMQWAA3,false
0013i00000FkQJhAAN,false
0013i00000FkRjMAAV,false
0013i00000FkYNFAA3,false
0013i00000FkYQJAA3,false
0013i00000FkZ1yAAF,false
0013i00000FkpsMAAR,false
0013i00000FkqRzAAJ,false
0013i00000Fl2zXAAR,false
0013i00000Fl39OAAR,false
0013i00000Fl51EAAR,false
0013i00000Fl527AAB,false
0013i00000FlCoxAAF,false
0013i00000FlD6wAAF,false
0013i00000FlDb8AAF,false
0013i00000FlFGmAAN,false
0013i00000FlFQDAA3,false
0013i00000FlHFkAAN,false
0013i00000FlHMaAAN,false
0013i00000FlHYgAAN,false
0013i00000FlHaIAAV,false
0013i00000FlHuaAAF,false
0013i00000FlHufAAF,false
0013i00000FlI17AAF,false
0013i00000FlIpGAAV,false
0013i00000FlY1oAAF,false
0013i00000FlYpbAAF,false
0013i00000FlbNzAAJ,false
0013i00000FlbOTAAZ,false
0013i00000Flcu0AAB,false
0013i00000Fled1AAB,false
0013i00000FlefMAAR,false
0013i00000Flf85AAB,false
0013i00000FlfAkAAJ,false
0013i00000FlpNxAAJ,false
0013i00000FltfBAAR,false
0013i00000FlzyxAAB,false
0013i00000Fm0DYAAZ,false
0013i00000Fm0SiAAJ,false
0013i00000Fm3UeAAJ,false
0013i00000Fm70aAAB,false
0013i00000Fm9AMAAZ,false
0013i00000Fm9J9AAJ,false
0013i00000Fm9KbAAJ,false
0013i00000FmJ2dAAF,false
0013i00000GnFpTAAV,false
0013i00000GnFzWAAV,false
0013i00000GnFzvAAF,false
0013i00000GnJmmAAF,false
0013i00000GnMKOAA3,false
0013i00000GnMSSAA3,false
0013i00000GnQ7LAAV,false
0013i00000GnX4zAAF,false
0013i00000GnZBJAA3,false
0013i00000GnZClAAN,false
0013i00000GnZTcAAN,false
0013i00000GnZfJAAV,false
0013i00000Gnc2EAAR,false
0013i00000GncapAAB,false
0013i00000GncfzAAB,false
0013i00000GncoxAAB,false
0013i00000GndNhAAJ,false
0013i00000Gng6nAAB,false
0013i00000GngJiAAJ,false
0013i00000GngdNAAR,false
0013i00000GnuJ3AAJ,false
0013i00000Go23iAAB,false
0013i00000Go36VAAR,false
0013i00000Go7zLAAR,false
0013i00000GoABmAAN,false
0013i00000GoAEvAAN,false
0013i00000GoBTIAA3,false
