Account_Seq_Number__c,Id,Renewal_Mode__c,Account_Name__c,ContractNumber,StartDate,EndDate,SBQQ__RenewalOpportunity__c,SBQQ__RenewalOpportunity__r.Name,SBQQ__RenewalOpportunity__r.StageName
9042946-0,800Do000000tFqCIAU,Auto,Quick Clean Professional Services,7091263,2023-03-30,2024-03-29,006Do000003zXhQIAU,2024 - Quick Clean Professional Services - Renewal,Discovery
9046669-0,800Do000000tFqRIAU,Manual,"Homeward Renovations, LLC",7091266,2023-04-01,2024-03-31,006Do000003zXi4IAE,"2024 - Homeward Renovations, LLC - Renewal",Discovery
9046637-0,800Do000000tFqWIAU,Auto,Titans Construction,7091267,2023-04-05,2024-04-04,006Do000003zXiEIAU,2024 - Titans Construction - Renewal,Discovery
6003733-0,800Do000000tFqgIAE,Expire,ICE Cooling & Heating,7091269,2023-03-30,2024-03-29,006Do000003zXiYIAU,2024 - ICE Cooling & Heating - Renewal,Closed Lost
9046303-0,800Do000000tFqvIAE,Manual,Silvas Framing Construction,7091271,2023-04-01,2024-03-31,006Do000003zXjWIAU,2024 - Silvas Framing Construction - Renewal,Discovery
9046338-0,800Do000000tFr0IAE,Auto,ANL Contracting LLC,7091272,2023-03-30,2025-03-29,006Do000003zXk0IAE,2025 - ANL Contracting LLC - Renewal,Discovery
1160399-0,800Do000000tFsDIAU,Auto,"Road Safety Systems, LLC",7091274,2023-06-01,2025-05-31,006Do000003zXpPIAU,"2025 - Road Safety Systems, LLC - Renewal",Discovery
9045704-0,800Do000000tFsmIAE,Manual,Ratchford Grading Company LLC,7091275,2023-03-30,2024-03-29,006Do000003zXuAIAU,2024 - Ratchford Grading Company LLC - Renewal,Discovery
8686775-1,800Do000000tFsrIAE,Auto,Matzen Monitoring,7091276,2023-07-01,2025-06-30,006Do000003zXuFIAU,2025 - Matzen Monitoring - Renewal,Discovery
535553-0,800Do000000tFvCIAU,Auto,R.E. Maher Inc.,7091278,2023-04-01,2025-03-31,006Do000003zXvSIAU,2025 - R.E. Maher Inc. - Renewal,Discovery
852813-0,800Do000000tFyLIAU,Auto,"Jud Caissons, Inc.",7091279,2023-03-30,2024-03-29,006Do000003zXxOIAU,"2024 - Jud Caissons, Inc. - Renewal",Discovery
33140-0,800Do000000tG0vIAE,Manual,"Crossroads Building Supply, Inc.",7091280,2023-05-01,2024-04-30,006Do000003zXzjIAE,"2024 - Crossroads Building Supply, Inc. - Renewal",Discovery
7115216-0,800Do000000tG1AIAU,Auto,"RJ Air Conditioning Services, Inc.",7091281,2023-05-01,2025-04-30,006Do000003zY1VIAU,"2025 - RJ Air Conditioning Services, Inc. - Renewal",Discovery
501951-0,800Do000000tG1FIAU,Manual,Maxwell Lightning Protection of Florida Company,7091282,2023-05-01,2024-04-30,006Do000003zY1aIAE,2024 - Maxwell Lightning Protection of Florida Company - Renewal,Discovery
3340949-0,800Do000000tG1PIAU,Auto,"Ducere Construction Services, Inc.",7091284,2023-04-01,2024-03-31,006Do000003zY32IAE,"2024 - Ducere Construction Services, Inc. - Renewal",Discovery
2113528-0,800Do000000tG1UIAU,Auto,"Nuce Acoustic Ceilings & Drywall, Inc.",7091285,2023-05-01,2024-04-30,006Do000003zXxtIAE,"2024 - Nuce Acoustic Ceilings & Drywall, Inc. - Renewal",Discovery
5743976-0,800Do000000tG1ZIAU,Manual,Superior Concrete Polishing,7091286,2023-04-01,2024-03-31,006Do000003zY3qIAE,2024 - Superior Concrete Polishing - Renewal,Discovery
8884424-0,800Do000000tG1jIAE,Auto,Signum Enterprise LLC,7091287,2023-05-01,2025-04-30,,,
1159014-0,800Do000000tG1tIAE,Auto,Sensor Electric L.L.C.,7091288,2023-05-01,2024-04-30,006Do000003zY5XIAU,2024 - Sensor Electric L.L.C. - Renewal,Discovery
9046642-0,800Do000000tG1yIAE,Expire,Opus Architectural Arts,7091289,2023-03-30,2024-03-29,006Do000003zY6LIAU,2024 - Opus Architectural Arts - Renewal,Closed Lost
6586836-0,800Do000000tG2DIAU,Auto,Scott Construction,7091290,2023-03-31,2024-03-30,006Do000003zY79IAE,2024 - Scott Construction - Renewal,Discovery
2418720-0,800Do000000tG2IIAU,Auto,Federal Masonry,7091291,2023-04-01,2024-03-31,006Do000003zY7OIAU,2024 - Federal Masonry - Renewal,Discovery
732360-0,800Do000000tG2SIAU,Auto,"W B Equipment Service Co., Inc.",7091292,2023-05-01,2024-04-30,006Do000003zY8CIAU,"2024 - W B Equipment Service Co., Inc. - Renewal",Discovery
823375-0,800Do000000tG2XIAU,Manual,"Architectural Glazing Systems, Inc.",7091293,2023-04-01,2025-03-31,,,
585593-0,800Do000000tG2mIAE,Auto,Town Center Construction,7091294,2023-04-01,2025-03-31,006Do000003zY9FIAU,2025 - Town Center Construction - Renewal,Discovery
1002008-0,800Do000000x90rIAA,Manual,Select Stone,7022895,2022-09-01,2024-08-31,006Do000002QWSUIA4,2024 - Select Stone - Renewal,Discovery
1002883-0,800Do000000x90sIAA,Manual,"Labor Unlimited, Inc.",7022896,2022-08-01,2024-07-31,006Do000002QWhvIAG,"2024 - Labor Unlimited, Inc. - Renewal",Discovery
1003366-0,800Do000000x90tIAA,Manual,Brothers Group Construction Company,7022897,2022-07-01,2023-06-30,0063i00000JpUZEAA3,2023-Brothers Group Construction Company - BB Renewal,Solution/Value
1005140-0,800Do000000x91YIAQ,Manual,"Welsh Excavation Co., Inc.",7022898,2022-03-01,2023-02-28,0063i00000JpUcNAAV,"2023-Welsh Excavation Co., Inc.- BB Renewal",Solution/Value
100551-0,800Do000000x91ZIAQ,Manual,"Pipe-Line Plumbing Services, Inc.",7022899,2022-06-01,2024-05-31,006Do000002QWhNIAW,"2024 - Pipe-Line Plumbing Services, Inc. - Renewal",Discovery
100765-0,800Do000000x91aIAA,Manual,Signs by Tomorrow,7022900,2022-09-01,2024-08-31,006Do000002QWczIAG,2024 - Signs by Tomorrow - Renewal,Discovery
1012344-0,800Do000000x91bIAA,Manual,CD Building Services LLC,7022901,2022-04-01,2023-03-31,0063i00000JpUUDAA3,2023-CD Building Services LLC- BB Renewal,Closed Won
1013878-0,800Do000000x91cIAA,Manual,SD Concrete,7022902,2022-08-01,2024-07-31,006Do000002QWMGIA4,2024 - SD Concrete - Renewal,Discovery
1015134-0,800Do000000x91dIAA,Manual,Andress Overhead Door Inc.,7022903,2022-02-01,2024-01-31,006Do000002QWiAIAW,2024 - Andress Overhead Door Inc. - Renewal,Discovery
