Id,Payment_Terms__c
800Do000000tFrjIAE,Due on receipt
800Do000000xgCdIAI,Due on receipt
800Do000000xgCsIAI,Due on receipt
800Do000000xgCxIAI,Due on receipt
800Do000000xgE5IAI,Due on receipt
800Do000000xgEKIAY,Due on receipt
800Do000000xgEUIAY,Due on receipt
800Do000000xgEZIAY,Due on receipt
800Do000000xgJ5IAI,Due on receipt
800Do000000xgKNIAY,Due on receipt
800Do000000xgLBIAY,Due on receipt
800Do000000xgLVIAY,Due on receipt
800Do000000xgLkIAI,Due on receipt
800Do000000xgLzIAI,Due on receipt
800Do000000xgM4IAI,Due on receipt
800Do000000xgNlIAI,Due on receipt
800Do000000xgOAIAY,Due on receipt
800Do000000xgPmIAI,Due on receipt
800Do000000xgTjIAI,Due on receipt
800Do000000xgToIAI,Due on receipt
800Do000000xgV1IAI,Due on receipt
800Do000000xgV6IAI,Due on receipt
800Do000000xgbJIAQ,Due on receipt
800Do000000xgbOIAQ,Due on receipt
800Do000000xgcvIAA,Due on receipt
800Do000000xgdeIAA,Due on receipt
800Do000000xgdtIAA,Due on receipt
800Do000000xgeSIAQ,Due on receipt
800Do000000xgfVIAQ,Due on receipt
800Do000000xggxIAA,Due on receipt
800Do000000xgh2IAA,Due on receipt
800Do000000xghlIAA,Due on receipt
800Do000000xgiAIAQ,Due on receipt
800Do000000xgk1IAA,Due on receipt
800Do000000xgnAIAQ,Due on receipt
800Do000000xgnPIAQ,Due on receipt
800Do000000xgo3IAA,Due on receipt
800Do000000xgrlIAA,Due on receipt
800Do000000xgsKIAQ,Due on receipt
800Do000000xgupIAA,Due on receipt
800Do000000xgvJIAQ,Due on receipt
800Do000000xgwbIAA,Due on receipt
800Do000000xgyDIAQ,Due on receipt
800Do000000xgycIAA,Due on receipt
800Do000000xgzuIAA,Due on receipt
800Do000000xh0xIAA,Due on receipt
800Do000000xh3cIAA,Due on receipt
800Do000000xh3wIAA,Due on receipt
800Do000000xh41IAA,Due on receipt
800Do000000xh6HIAQ,Due on receipt
