BB_Account_Sequence__c,BB_KB_Cancellation__c,BB_Last_Access_Date__c,BB_Stats__c
163319-0,TRUE,2023-05-05T09:14:00Z,Review:2  BId:0  Tmins:7 PageViews:5
317376-0,TRUE,2023-01-13T12:22:00Z,Review:0  BId:0  Tmins:1 PageViews:0
384009-0,TRUE,2023-05-03T13:28:00Z,Review:15  BId:1  Tmins:11 PageViews:9
593899-0,TRUE,2023-04-21T15:00:00Z,Review:9  BId:14  Tmins:22 PageViews:14
657648-0,TRUE,2023-01-27T10:38:00Z,Review:2  BId:0  Tmins:8 PageViews:0
2142376-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
2292448-0,TRUE,2023-05-02T08:08:00Z,Review:0  BId:3  Tmins:1 PageViews:0
5162752-0,TRUE,2023-05-15T11:49:00Z,Review:17  BId:2  Tmins:37 PageViews:18
5165843-0,TRUE,2023-05-14T07:34:00Z,Review:8  BId:10  Tmins:90 PageViews:21
5570265-0,TRUE,2023-05-15T13:20:00Z,Review:8  BId:3  Tmins:37 PageViews:12
6410934-0,TRUE,2023-02-03T18:18:00Z,Review:5  BId:1  Tmins:21 PageViews:5
6882721-0,TRUE,2023-05-08T09:14:00Z,Review:218  BId:8  Tmins:45 PageViews:22
7424772-0,TRUE,2023-03-07T14:35:00Z,Review:10  BId:0  Tmins:21 PageViews:2
7523856-0,TRUE,2023-05-02T13:37:00Z,Review:1  BId:0  Tmins:10 PageViews:3
7667295-0,TRUE,2023-01-25T14:20:00Z,Review:0  BId:0  Tmins:9 PageViews:0
7684019-0,TRUE,2023-03-30T21:35:00Z,Review:0  BId:1  Tmins:5 PageViews:0
7881818-0,TRUE,2023-05-05T20:16:00Z,Review:4  BId:1  Tmins:44 PageViews:5
7888037-0,TRUE,2023-03-10T11:18:00Z,Review:1  BId:0  Tmins:10 PageViews:0
7907254-0,TRUE,2023-01-13T13:57:00Z,Review:1  BId:0  Tmins:43 PageViews:10
7958094-0,TRUE,,Review:4  BId:1  Tmins: PageViews:
8279166-0,TRUE,2023-05-16T19:41:00Z,Review:23  BId:0  Tmins:5 PageViews:2
8509465-0,TRUE,2023-05-02T21:43:00Z,Review:14  BId:3  Tmins:10 PageViews:6
8518066-0,TRUE,2023-01-17T12:36:00Z,Review:1  BId:1  Tmins:5 PageViews:0
8569849-0,TRUE,2023-04-24T20:49:00Z,Review:6  BId:0  Tmins:14 PageViews:6
8603372-0,TRUE,2023-03-15T12:56:00Z,Review:3  BId:0  Tmins:1 PageViews:1
8608781-0,TRUE,2023-03-01T13:52:00Z,Review:2  BId:0  Tmins:3 PageViews:3
8614182-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8615514-0,TRUE,2023-05-16T15:38:00Z,Review:26  BId:7  Tmins:49 PageViews:33
8616217-0,TRUE,2023-03-10T13:08:00Z,Review:6  BId:3  Tmins:25 PageViews:7
8617825-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8617846-0,TRUE,2023-05-04T15:14:00Z,Review:1  BId:0  Tmins:1 PageViews:1
8617870-0,TRUE,2023-05-10T16:39:00Z,Review:20  BId:0  Tmins:17 PageViews:9
8618359-0,TRUE,2023-02-27T09:46:00Z,Review:21  BId:0  Tmins:9 PageViews:4
8618696-0,TRUE,2023-01-10T13:05:00Z,Review:4  BId:0  Tmins:2 PageViews:2
8769404-0,TRUE,2023-05-12T06:34:00Z,Review:16  BId:1  Tmins:76 PageViews:9
8857212-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8863368-0,TRUE,,Review:47  BId:0  Tmins: PageViews:
267673-0,TRUE,2023-05-10T21:43:00Z,Review:18  BId:2  Tmins:62 PageViews:30
416507-0,TRUE,2023-05-16T09:03:00Z,Review:40  BId:16  Tmins:231 PageViews:79
468411-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
542021-0,TRUE,2023-01-10T13:49:00Z,Review:4  BId:0  Tmins:1 PageViews:1
636807-0,TRUE,2023-05-15T19:06:00Z,Review:23  BId:12  Tmins:63 PageViews:40
749964-0,TRUE,2023-02-23T15:52:00Z,Review:32  BId:2  Tmins:6 PageViews:0
972796-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
1030331-0,TRUE,2023-04-26T15:49:00Z,Review:32  BId:4  Tmins:135 PageViews:61
1095331-0,TRUE,2023-03-13T10:46:00Z,Review:2  BId:4  Tmins:25 PageViews:11
1973175-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
4517728-0,TRUE,2023-05-06T09:11:00Z,Review:4  BId:1  Tmins:21 PageViews:5
5214845-0,TRUE,2023-05-04T11:25:00Z,Review:6  BId:0  Tmins:36 PageViews:10
5743843-0,TRUE,2023-04-03T17:36:00Z,Review:0  BId:0  Tmins:10 PageViews:1
5749887-0,TRUE,2023-05-02T08:46:00Z,Review:0  BId:8  Tmins:10 PageViews:7
5778851-0,TRUE,,Review:5  BId:0  Tmins: PageViews:
5905024-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
6426731-0,TRUE,2023-01-09T14:26:00Z,Review:0  BId:0  Tmins:10 PageViews:0
6529342-0,TRUE,2023-01-18T10:25:00Z,Review:0  BId:0  Tmins:2 PageViews:0
6532113-0,TRUE,2023-03-15T13:36:00Z,Review:12  BId:0  Tmins:30 PageViews:3
6911858-0,TRUE,2023-05-08T13:11:00Z,Review:20  BId:1  Tmins:31 PageViews:11
6986609-0,TRUE,2023-01-26T16:17:00Z,Review:5  BId:0  Tmins:2 PageViews:2
7072829-0,TRUE,2023-01-30T10:55:00Z,Review:1  BId:0  Tmins:1 PageViews:0
7314941-0,TRUE,2023-04-19T10:43:00Z,Review:26  BId:9  Tmins:30 PageViews:12
7395227-0,TRUE,2023-05-16T07:08:00Z,Review:2  BId:5  Tmins:1 PageViews:0
7668135-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7678053-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
7680679-0,TRUE,2023-05-16T17:04:00Z,Review:35  BId:2  Tmins:56 PageViews:17
7816455-0,TRUE,2023-04-03T18:04:00Z,Review:19  BId:1  Tmins:16 PageViews:3
7838678-0,TRUE,,Review:6  BId:2  Tmins: PageViews:
7872810-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7878063-0,TRUE,2023-02-22T23:08:00Z,Review:1  BId:0  Tmins:1 PageViews:1
7883907-0,TRUE,2023-04-27T10:07:00Z,Review:40  BId:70  Tmins:22 PageViews:15
7883918-0,TRUE,2023-05-15T18:27:00Z,Review:31  BId:0  Tmins:1 PageViews:1
7916714-0,TRUE,2023-02-14T18:06:00Z,Review:0  BId:0  Tmins:14 PageViews:1
7968325-0,TRUE,,Review:7  BId:1  Tmins: PageViews:
8212549-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8279138-0,TRUE,2023-04-06T18:23:00Z,Review:7  BId:2  Tmins:17 PageViews:14
8300394-0,TRUE,2023-05-15T10:51:00Z,Review:30  BId:1  Tmins:79 PageViews:50
8311016-0,TRUE,2023-02-23T12:33:00Z,Review:111  BId:1  Tmins:19 PageViews:14
8415023-0,TRUE,2023-05-12T11:34:00Z,Review:12  BId:2  Tmins:58 PageViews:34
8481327-0,TRUE,,Review:3  BId:2  Tmins: PageViews:
8508283-0,TRUE,2023-02-27T12:14:00Z,Review:1  BId:0  Tmins:5 PageViews:0
8535631-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8537596-0,TRUE,2023-05-12T14:35:00Z,Review:10  BId:1  Tmins:43 PageViews:27
8549673-0,TRUE,2023-05-12T08:17:00Z,Review:29  BId:23  Tmins:23 PageViews:0
8595031-0,TRUE,2023-02-09T15:18:00Z,Review:1  BId:1  Tmins:3 PageViews:0
8600310-0,TRUE,,Review:10  BId:0  Tmins: PageViews:
8600566-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8612251-0,TRUE,2023-05-16T08:57:00Z,Review:14  BId:0  Tmins:20 PageViews:9
8618482-0,TRUE,2023-04-17T16:19:00Z,Review:2  BId:0  Tmins:1 PageViews:1
8619506-0,TRUE,,Review:9  BId:0  Tmins: PageViews:
8620493-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8620939-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8622899-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
8623165-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8624729-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8625266-0,TRUE,2023-03-24T15:17:00Z,Review:12  BId:2  Tmins:88 PageViews:40
8751482-0,TRUE,2023-05-14T08:00:00Z,Review:21  BId:10  Tmins:27 PageViews:11
8825529-0,TRUE,2023-04-04T07:19:00Z,Review:0  BId:0  Tmins:1 PageViews:0
8851388-0,TRUE,2023-03-14T17:17:00Z,Review:5  BId:1  Tmins:3 PageViews:1
8852757-0,TRUE,2023-04-06T12:56:00Z,Review:15  BId:0  Tmins:3 PageViews:3
8858717-0,TRUE,2023-03-10T10:00:00Z,Review:20  BId:2  Tmins:122 PageViews:21
8859760-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
8860906-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8865569-0,TRUE,2023-02-10T11:33:00Z,Review:13  BId:0  Tmins:1 PageViews:0
8871685-0,TRUE,2023-05-12T16:10:00Z,Review:47  BId:4  Tmins:9 PageViews:3
8872488-0,TRUE,2023-02-08T09:51:00Z,Review:14  BId:0  Tmins:1 PageViews:1
8874112-0,TRUE,2023-05-12T09:58:00Z,Review:130  BId:5  Tmins:233 PageViews:153
8874365-0,TRUE,,Review:4  BId:0  Tmins: PageViews:
136672-0,TRUE,2023-03-30T17:33:00Z,Review:0  BId:0  Tmins:4 PageViews:0
252205-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
317074-0,TRUE,2023-03-02T11:26:00Z,Review:5  BId:0  Tmins:11 PageViews:2
342393-0,TRUE,2023-04-25T16:00:00Z,Review:0  BId:0  Tmins:2 PageViews:0
425908-0,TRUE,2023-04-26T12:00:00Z,Review:5  BId:0  Tmins:8 PageViews:5
668780-0,TRUE,2023-05-10T12:01:00Z,Review:24  BId:3  Tmins:52 PageViews:29
737620-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
806319-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
845611-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
968584-0,TRUE,2023-05-08T14:20:00Z,Review:33  BId:0  Tmins:8 PageViews:0
2110472-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
2287345-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
4308849-0,TRUE,2023-04-17T20:14:00Z,Review:6  BId:2  Tmins:14 PageViews:1
4793055-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
5152983-0,TRUE,2023-01-25T07:08:00Z,Review:0  BId:0  Tmins:4 PageViews:0
5177405-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
5324615-0,TRUE,2023-04-13T13:13:00Z,Review:1  BId:1  Tmins:8 PageViews:0
5471735-0,TRUE,2023-02-22T14:51:00Z,Review:6  BId:2  Tmins:8 PageViews:6
5593010-0,TRUE,2023-05-04T13:09:00Z,Review:10  BId:0  Tmins:2 PageViews:0
5788551-0,TRUE,2023-03-21T21:49:00Z,Review:5  BId:2  Tmins:7 PageViews:1
5816141-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
5946002-0,TRUE,2023-03-17T18:45:00Z,Review:7  BId:5  Tmins:3 PageViews:1
6036907-0,TRUE,2023-04-04T10:04:00Z,Review:40  BId:7  Tmins:264 PageViews:79
6153998-0,TRUE,2023-04-23T03:45:00Z,Review:20  BId:0  Tmins:5 PageViews:5
6230644-0,TRUE,2023-05-16T12:46:00Z,Review:0  BId:0  Tmins:3 PageViews:0
6388969-0,TRUE,2023-05-16T12:13:00Z,Review:8  BId:144  Tmins:69 PageViews:70
6407817-0,TRUE,2023-02-03T11:30:00Z,Review:0  BId:0  Tmins:2 PageViews:0
6667838-0,TRUE,2023-01-18T11:47:00Z,Review:13  BId:0  Tmins:1 PageViews:1
6681328-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
7009877-0,TRUE,2023-03-29T16:47:00Z,Review:17  BId:3  Tmins:3 PageViews:3
7124067-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7124814-0,TRUE,2023-05-05T11:04:00Z,Review:36  BId:10  Tmins:70 PageViews:24
7156646-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
7168728-0,TRUE,2023-05-16T14:50:00Z,Review:16  BId:6  Tmins:139 PageViews:76
7248647-0,TRUE,2023-04-07T09:46:00Z,Review:2  BId:0  Tmins:1 PageViews:0
7305164-0,TRUE,2023-05-16T09:09:00Z,Review:17  BId:3  Tmins:75 PageViews:23
7362009-0,TRUE,2023-05-15T15:14:00Z,Review:8  BId:2  Tmins:62 PageViews:14
7418665-0,TRUE,2023-02-28T16:35:00Z,Review:2  BId:1  Tmins:3 PageViews:2
7485989-0,TRUE,2023-02-01T18:42:00Z,Review:3  BId:8  Tmins:2 PageViews:0
7504020-0,TRUE,2023-01-26T10:56:00Z,Review:0  BId:0  Tmins:1 PageViews:0
7508953-0,TRUE,2023-01-18T11:53:00Z,Review:1  BId:32  Tmins:6 PageViews:0
7640138-0,TRUE,2023-02-16T18:35:00Z,Review:5  BId:0  Tmins:10 PageViews:4
7660515-0,TRUE,2023-05-10T10:02:00Z,Review:90  BId:0  Tmins:88 PageViews:48
7792113-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7874763-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
7882451-0,TRUE,,Review:0  BId:1  Tmins: PageViews:
8093747-0,TRUE,2023-04-06T22:58:00Z,Review:6  BId:6  Tmins:22 PageViews:3
8288196-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8416658-0,TRUE,2023-05-05T19:40:00Z,Review:7  BId:2  Tmins:45 PageViews:6
8522793-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8523581-0,TRUE,,Review:1  BId:0  Tmins: PageViews:
8553174-0,TRUE,,Review:6  BId:1  Tmins: PageViews:
8557895-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8612135-0,TRUE,2023-05-13T14:10:00Z,Review:288  BId:10  Tmins:34 PageViews:26
8623749-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8624698-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8625552-0,TRUE,,Review:0  BId:0  Tmins: PageViews:
8625903-0,TRUE,,Review:7  BId:4  Tmins: PageViews:
8627692-0,TRUE,2023-03-17T11:22:00Z,Review:1  BId:0  Tmins:2 PageViews:0
8629346-0,TRUE,2023-01-30T19:36:00Z,Review:1  BId:0  Tmins:1 PageViews:0
8629427-0,TRUE,2023-03-09T21:53:00Z,Review:2  BId:0  Tmins:4 PageViews:3
8631378-0,TRUE,2023-03-22T12:56:00Z,Review:0  BId:4  Tmins:15 PageViews:3
8767217-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
8837073-0,TRUE,2023-04-29T10:46:00Z,Review:11  BId:1  Tmins:22 PageViews:11
8876637-0,TRUE,,Review:3  BId:0  Tmins: PageViews:
8877761-0,TRUE,,Review:4  BId:1  Tmins: PageViews:
8878624-0,TRUE,2023-04-26T11:08:00Z,Review:24  BId:14  Tmins:24 PageViews:23
8884639-0,TRUE,2023-05-16T12:32:00Z,Review:20  BId:5  Tmins:98 PageViews:39
286964-0,TRUE,2023-03-30T08:37:00Z,Review:18  BId:0  Tmins:8 PageViews:4
313167-0,TRUE,,Review:2  BId:0  Tmins: PageViews:
405411-0,TRUE,,Review:18  BId:0  Tmins: PageViews:
427544-0,TRUE,2023-03-20T20:33:00Z,Review:4  BId:0  Tmins:4 PageViews:3
