Id,StartDate,EndDate,Amendment_Type__c,SBQQ__AmendmentOwner__c,Status,SBQQ__AmendmentStartDate__c,Auto_Close_Cancellation__c,Renewal_Mode__c,Account.Customer_Id__c,Count_of_Blue_Book_Subs__c
800Do000000x91pIAA,2021-10-01,2023-09-30,Cancellation,005Do000000v14GIAQ,Terminated,2022-11-01,true,Expire,103176,12
800Do000000x92BIAQ,2021-08-01,2023-07-31,Cancellation,005Do000000v14GIAQ,Terminated,2022-11-01,true,Expire,107301,8
800Do000000x92MIAQ,2022-03-01,2023-02-28,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,1095331,3
800Do000000x932IAA,2022-11-01,2024-10-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,1181645,10
800Do000000x93MIAQ,2022-05-01,2024-04-30,Cancellation,005Do000000v26XIAQ,Activated,2022-11-01,true,Expire,121075,10
800Do000000x96wIAA,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,266196,22
800Do000000x97EIAQ,2023-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,D00145821,3
800Do000000x9CXIAY,2021-06-01,2023-05-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,1378435,6
800Do000000x9D5IAI,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,1449982,6
800Do000000x9DVIAY,2021-07-01,2023-06-30,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,1536727,12
800Do000000x9DfIAI,2023-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,D00145899,2
800Do000000x9DnIAI,2021-02-01,2023-01-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,163319,6
800Do000000x9EgIAI,2022-04-01,2024-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,190061,8
800Do000000x9EvIAI,2022-01-01,2023-12-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,195884,18
800Do000000x9F1IAI,2021-03-01,2023-02-28,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,1973175,6
800Do000000x9I3IAI,2021-09-01,2023-08-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,314847,8
800Do000000x9ICIAY,2021-04-01,2023-03-31,Cancellation,005Do000000v14GIAQ,Activated,2022-11-01,true,Expire,317074,10
