BBAccts,BBAcct,BBVisit,Stats, Reviewing, Bidding,Time on App (minutes),PageViews,List Code, ProView Views, Not Interested, StartDate, EndDate,ARCV,TCV,,Expired Contracts
163319,163319-0,5/5/2023 9:14,Review:2  BId:0  Tmins:7 PageViews:5,2,0,7,5,Prime Subcontractors,6787,11,2/1/2021,1/31/2023,"$1,200.00 ","$2,400.00 ",,
317376,317376-0,1/13/2023 12:22,Review:0  BId:0  Tmins:1 PageViews:0,0,0,1,0,SubContractor/Supplier,5301,0,2/1/2021,1/31/2023,"$2,880.00 ","$5,760.00 ",,
384009,384009-0,5/3/2023 13:28,Review:15  BId:1  Tmins:11 PageViews:9,15,1,11,9,SubContractor/Supplier,13876,0,2/1/2021,1/31/2023,"$1,596.00 ","$3,192.00 ",,
593899,593899-0,4/21/2023 15:00,Review:9  BId:14  Tmins:22 PageViews:14,9,14,22,14,SubContractor/Supplier,2550,0,2/1/2022,1/31/2023,"$1,740.00 ","$1,740.00 ",,
657648,657648-0,1/27/2023 10:38,Review:2  BId:0  Tmins:8 PageViews:0,2,0,8,0,SubContractor/Supplier,1983,0,2/1/2022,1/31/2023,"$1,450.00 ","$1,740.00 ",,
2142376,2142376-0,,Review:0  BId:0  Tmins: PageViews:,0,0,,,SubContractor/Supplier,4077,0,2/1/2021,1/31/2023,"$1,200.00 ","$2,400.00 ",,
2292448,2292448-0,5/2/2023 8:08,Review:0  BId:3  Tmins:1 PageViews:0,0,3,1,0,SubContractor/Supplier,8508,2,2/1/2021,1/31/2023,"$1,200.00 ","$2,400.00 ",,
5162752,5162752-0,5/15/2023 11:49,Review:17  BId:2  Tmins:37 PageViews:18,17,2,37,18,SubContractor/Supplier,35869,1,2/1/2021,1/31/2023,"$6,480.00 ","$12,960.00 ",,
5165843,5165843-0,5/14/2023 7:34,Review:8  BId:10  Tmins:90 PageViews:21,8,10,90,21,SubContractor/Supplier,8125,0,2/1/2021,1/31/2023,"$2,850.00 ","$5,700.00 ",,
5570265,5570265-0,5/15/2023 13:20,Review:8  BId:3  Tmins:37 PageViews:12,8,3,37,12,SubContractor/Supplier,32141,0,2/1/2021,1/31/2023,"$2,880.00 ","$5,760.00 ",,
6410934,6410934-0,2/3/2023 18:18,Review:5  BId:1  Tmins:21 PageViews:5,5,1,21,5,SubContractor/Supplier,3251,3,2/1/2021,1/31/2023,"$1,200.00 ","$2,400.00 ",,
6882721,6882721-0,5/8/2023 9:14,Review:218  BId:8  Tmins:45 PageViews:22,218,8,45,22,Prime Subcontractors,8604,0,2/1/2021,1/31/2023,"$1,740.00 ","$3,480.00 ",,
7424772,7424772-0,3/7/2023 14:35,Review:10  BId:0  Tmins:21 PageViews:2,10,0,21,2,Prime Subcontractors,2075,6,2/1/2022,1/31/2023,"$2,262.00 ","$2,262.00 ",,
7523856,7523856-0,5/2/2023 13:37,Review:1  BId:0  Tmins:10 PageViews:3,1,0,10,3,SubContractor/Supplier,6021,1,2/1/2021,1/31/2023,"$5,220.00 ","$10,440.00 ",,
7667295,7667295-0,1/25/2023 14:20,Review:0  BId:0  Tmins:9 PageViews:0,0,0,9,0,SubContractor/Supplier,1409,0,2/1/2022,1/31/2023,"$1,450.00 ","$1,740.00 ",,
7684019,7684019-0,3/30/2023 21:35,Review:0  BId:1  Tmins:5 PageViews:0,0,1,5,0,SubContractor/Supplier,1446,0,2/1/2022,1/31/2023,"$1,740.00 ","$1,740.00 ",,
7881818,7881818-0,5/5/2023 20:16,Review:4  BId:1  Tmins:44 PageViews:5,4,1,44,5,Prime Subcontractors,9692,0,2/1/2021,1/31/2023,"$2,370.00 ","$4,740.00 ",,
7888037,7888037-0,3/10/2023 11:18,Review:1  BId:0  Tmins:10 PageViews:0,1,0,10,0,SubContractor/Supplier,2206,0,2/1/2022,1/31/2023,"$2,880.00 ","$2,880.00 ",,
7907254,7907254-0,1/13/2023 13:57,Review:1  BId:0  Tmins:43 PageViews:10,1,0,43,10,Prime Subcontractors,1486,0,2/1/2021,1/31/2023,"$1,740.00 ","$3,480.00 ",,
7958094,7958094-0,,Review:4  BId:1  Tmins: PageViews:,4,1,,,SubContractor/Supplier,5618,0,2/1/2021,1/31/2023,"$2,713.20 ","$5,426.40 ",,
8279166,8279166-0,5/16/2023 19:41,Review:23  BId:0  Tmins:5 PageViews:2,23,0,5,2,SubContractor/Supplier,9598,0,2/1/2021,1/31/2023,"$2,772.00 ","$5,544.00 ",,
8509465,8509465-0,5/2/2023 21:43,Review:14  BId:3  Tmins:10 PageViews:6,14,3,10,6,Prime Subcontractors,1668,5,2/1/2021,1/31/2023,"$1,200.00 ","$2,400.00 ",,
8518066,8518066-0,1/17/2023 12:36,Review:1  BId:1  Tmins:5 PageViews:0,1,1,5,0,General Contractors,30288,1,2/1/2022,1/31/2023,"$2,940.00 ","$2,940.00 ",,
8569849,8569849-0,4/24/2023 20:49,Review:6  BId:0  Tmins:14 PageViews:6,6,0,14,6,SubContractor/Supplier,2939,0,2/1/2022,1/31/2023,"$1,450.00 ","$1,740.00 ",,
8603372,8603372-0,3/15/2023 12:56,Review:3  BId:0  Tmins:1 PageViews:1,3,0,1,1,SubContractor/Supplier,16535,7,2/1/2021,1/31/2023,"$1,740.00 ","$3,480.00 ",,
8608781,8608781-0,3/1/2023 13:52,Review:2  BId:0  Tmins:3 PageViews:3,2,0,3,3,Prime Subcontractors,1151,0,2/1/2022,1/31/2023,"$1,740.00 ","$1,740.00 ",,
