Id,SBQQ__TargetCustomerAmount__c
a6GDo000000GrFrMAK,5200
a6GDo000000GrFhMAK,30416
a6GDo000000GrEjMAK,3000
a6GDo000000GrEUMA0,1200
a6GDo000000GrCYMA0,2400
a6GDo000000GrCJMA0,5100
a6GDo000000GrBfMAK,7200
a6GDo000000GrBQMA0,3000
a6GDo000000GrBBMA0,4524
a6GDo000000Gr8XMAS,1284
a6GDo000000Gr7EMAS,1700
a6GDo000000Gr6fMAC,14400
a6GDo000000Gr3HMAS,1260
a6GDo000000Gr1LMAS,1300
a6GDo000000Gr1GMAS,1890
a6GDo000000Gr1BMAS,1836
a6GDo000000Gr0SMAS,4995
a6GDo000000Gqz5MAC,3800
a6GDo000000GqybMAC,7296
a6GDo000000Gqv3MAC,10000
a6GDo000000GqsxMAC,17000
a6GDo000000GqsiMAC,1800
a6GDo000000GqrBMAS,1600
a6GDo000000GqpyMAC,2400
a6GDo000000GqovMAC,5426
a6GDo000000GqnyMAC,2520
a6GDo000000GqnxMAC,2520
a6GDo000000Gqm6MAC,11080
a6GDo000000GqlIMAS,4800
a6GDo000000GqRwMAK,3024
a6GDo000000GqQAMA0,2458.33
a6GDo000000GqPvMAK,3024
a6GDo000000GqPCMA0,1680
a6GDo000000GqOnMAK,3024
a6GDo000000GqOTMA0,2724
a6GDo000000GqOOMA0,8500
a6GDo000000GqOJMA0,3100
a6GDo000000GqLeMAK,3600
a6GDo000000GqLZMA0,3720
a6GDo000000GqJTMA0,7800
a6GDo000000GqGoMAK,110378
a6GDo000000GqDBMA0,8995
a6GDo000000GqCmMAK,3900
a6GDo000000GqAqMAK,7872
a6GDo000000GqAWMA0,8736.69
a6GDo000000GqA2MAK,3000
a6GDo000000Gq9OMAS,1800
a6GDo000000Gq9EMAS,2520
a6GDo000000Gq8pMAC,4200
a6GDo000000Gq5bMAC,3000
a6GDo000000Gq4nMAC,3500
a6GDo000000Gq2cMAC,16000
a6GDo000000Gq1eMAC,4200
a6GDo000000Gq02MAC,3000
a6GDo000000GpxIMAS,27037
a6GDo000000GpwPMAS,2732.25
a6GDo000000GpwFMAS,3024
a6GDo000000Gpw0MAC,7243.17
a6GDo000000GpvqMAC,4800
a6GDo000000GpsNMAS,11700
a6GDo000000GprjMAC,1800
a6GDo000000GpqqMAC,21935.03
a6GDo000000GppxMAC,7560
a6GDo000000GpopMAC,2334.15
a6GDo000000Gpk4MAC,2520
a6GDo000000GpjLMAS,11593.84
a6GDo000000GpirMAC,14100
a6GDo000000GpglMAC,2604
a6GDo000000GpfdMAC,2396
a6GDo000000GpeBMAS,5000
a6GDo000000GpbCMAS,5796
a6GDo000000GpaOMAS,1800
a6GDo0000000utjMAA,13800
a6GDo0000000usgMAA,3680.28
a6GDo0000000us7MAA,27790
a6GDo0000000urYMAQ,2400
a6GDo0000000uqaMAA,3500
a6GDo0000000upXMAQ,2400
a6GDo0000000up3MAA,5800
a6GDo0000000umTMAQ,2999
a6GDo0000000um4MAA,4823.63
a6GDo0000000ukDMAQ,5158
a6GDo0000000uilMAA,1800
a6GDo0000000uiHMAQ,1800
a6GDo0000000ui7MAA,2520
a6GDo0000000ug1MAA,6600
a6GDo0000000u0oMAA,3000
a6GDo0000000u0eMAA,98230
a6GDo0000000u0PMAQ,2400
a6GDo0000000tyyMAA,24700
a6GDo0000000tyeMAA,17000
a6GDo0000000tzMMAQ,4056
a6GDo0000000tydMAA,6000
a6GDo0000000txQMAQ,8371.28
a6GDo0000000txGMAQ,120000
a6GDo0000000twDMAQ,2400
a6GDo0000000tu7MAA,5840
a6GDo0000000ttJMAQ,3600
a6GDo0000000tt4MAA,5700
a6GDo0000000tqUMAQ,4850
a6GDo0000000toJMAQ,3952
a6GDo0000000tn6MAA,25000
a6GDo0000000tkWMAQ,2400
a6GDo0000000tjsMAA,4500
a6GDo0000000tipMAA,2025.49
a6GDo0000000thXMAQ,2582.26
a6GDo0000000tenMAA,11232
a6GDo0000000tbPMAQ,3000
a6GDo0000000tUnMAI,2200
a6GDo0000000tU4MAI,6856.56
a6GDo0000000tQHMAY,2800
a6GDo0000000tORMAY,2495
a6GDo0000000tOGMAY,1605.15
a6GDo0000000tNDMAY,2070.77
a6GDo0000000tMyMAI,1320
a6GDo0000000tJaMAI,1200
a6GDo0000000tISMAY,1320
a6GDo0000000tINMAY,2520
a6GDo0000000tDhMAI,8013.6
a6GDo0000000tD8MAI,4000
a6GDo0000000tBMMAY,1920
a6GDo0000000tA4MAI,3600
a6GDo0000000t8cMAA,2215.43
a6GDo0000000t1vMAA,5544
a6GDo0000000sqTMAQ,3450
a6GDo0000000sq4MAA,1800
a6GDo0000000somMAA,18499
a6GDo0000000skzMAA,6540
a6GDo0000000skfMAA,1712
a6GDo0000000shlMAA,4440
a6GDo0000000sg9MAA,41424.75
a6GDo0000000semMAA,4200
a6GDo0000000sdjMAA,2500
a6GDo0000000sd5MAA,4547.62
a6GDo0000000sbxMAA,2000
a6GDo0000000sZXMAY,3751
a6GDo0000000sYPMAY,15240
a6GDo0000000sXbMAI,3000
a6GDo0000000sWEMAY,4476
a6GDo0000000sVuMAI,1200
a6GDo0000000sMsMAI,3000
a6GDo0000000sKNMAY,4895
a6GDo0000000sK3MAI,7866.5
a6GDo0000000sJjMAI,16770.92
a6GDo0000000sJPMAY,21127.64
a6GDo0000000sJZMAY,14734.33
a6GDo0000000sJFMAY,4137.45
a6GDo0000000sJAMAY,5857
a6GDo0000000sIvMAI,2728.5
a6GDo0000000sIqMAI,1926
a6GDo0000000s3nMAA,2648
a6GDo0000000sIlMAI,2648
a6GDo0000000sIgMAI,4244.18
a6GDo0000000sIRMAY,2782
a6GDo0000000sIMMAY,3816
a6GDo0000000sI7MAI,2648
a6GDo0000000sICMAY,2648
a6GDo0000000sHxMAI,27037
a6GDo0000000sHdMAI,22806.3
a6GDo0000000sHYMAY,10874
a6GDo0000000sHJMAY,2888.81
a6GDo0000000sGpMAI,3072
a6GDo0000000sGkMAI,17668.61
a6GDo0000000sGfMAI,31149.94
a6GDo0000000sGaMAI,6481
a6GDo0000000sGQMAY,7983
a6GDo0000000sGVMAY,4815.03
a6GDo0000000sGLMAY,12518
a6GDo0000000sGBMAY,10389
a6GDo0000000sG6MAI,4655
a6GDo0000000sG1MAI,2884.49
a6GDo0000000sFwMAI,3084.2
a6GDo0000000sFmMAI,19045.82
a6GDo0000000sFrMAI,4043.05
a6GDo0000000sFhMAI,1919.24
a6GDo0000000sFcMAI,10533
a6GDo0000000sFXMAY,3160
a6GDo0000000sFSMAY,5885
a6GDo0000000sFNMAY,6987
a6GDo0000000sFDMAY,3359.35
a6GDo0000000sFIMAY,4578
a6GDo0000000sF8MAI,2729
a6GDo0000000sEGMAY,9524.17
a6GDo0000000s3mMAA,19016
a6GDo0000000sEyMAI,9058.92
a6GDo0000000sEtMAI,7279.93
a6GDo0000000sEoMAI,1925.98
a6GDo0000000sEeMAI,13254
a6GDo0000000sEUMAY,2488.23
a6GDo0000000sBgMAI,1605.45
a6GDo0000000sEPMAY,2768.37
a6GDo0000000sEFMAY,2340.72
a6GDo0000000sE5MAI,1644.76
a6GDo0000000sEAMAY,2381.15
a6GDo0000000sBCMAY,2453.11
a6GDo0000000sE0MAI,2702.54
a6GDo0000000sDmMAI,3974.4
a6GDo0000000sAJMAY,3364.39
a6GDo0000000sDqMAI,2165.63
a6GDo0000000sDlMAI,2457.04
a6GDo0000000sDbMAI,1605.36
a6GDo0000000sDWMAY,2074.24
a6GDo0000000sDRMAY,2648
a6GDo0000000s9fMAA,2353.57
a6GDo0000000sDMMAY,4229.74
a6GDo0000000sDHMAY,9398.84
a6GDo0000000sDCMAY,2022.17
a6GDo0000000sD7MAI,3102.86
a6GDo0000000sD2MAI,4340.8
a6GDo0000000sCxMAI,1940.79
a6GDo0000000sCnMAI,7402.82
a6GDo0000000sCiMAI,6958
a6GDo0000000sCsMAI,1990.35
a6GDo0000000sCYMAY,6090.83
a6GDo0000000sCTMAY,5703.41
a6GDo0000000sCdMAI,12144
a6GDo0000000sCOMAY,6152.76
a6GDo0000000sCJMAY,2140
a6GDo0000000s5nMAA,10700.15
a6GDo0000000sA4MAI,7299.79
a6GDo0000000sC9MAI,14053.33
a6GDo0000000s67MAA,2781.94
a6GDo0000000s9uMAA,4022.97
