Id,breadwinner_ns__InternalId__c,CreatedDate
a9aDo000000D3WAIA0,4076993,2023-04-16T09:37:12.000+0000
a9aDo000000D3pVIAS,4078674,2023-04-16T10:11:56.000+0000
a9aDo000000D5BWIA0,4088074,2023-04-16T12:49:00.000+0000
a9aDo000000D5omIAC,4091443,2023-04-16T13:55:37.000+0000
a9aDo000000D68dIAC,4094093,2023-04-16T14:34:00.000+0000
a9aDo000000D7pEIAS,4170918,2023-04-19T15:02:49.000+0000
a9aDo000000DAExIAO,4963809,2023-04-24T13:16:48.000+0000
a9aDo000000DAEyIAO,4963810,2023-04-24T13:16:48.000+0000
a9aDo000000DAFDIA4,4963817,2023-04-24T13:46:49.000+0000
a9aDo000000DAFEIA4,4963821,2023-04-24T14:02:11.000+0000
a9aDo000000DAJWIA4,4964310,2023-04-24T14:46:50.000+0000
a9aDo000000DAJeIAO,4964311,2023-04-24T15:03:17.000+0000
a9aDo000000DAJpIAO,4964722,2023-04-24T15:46:36.000+0000
a9aDo000000DAJoIAO,4964719,2023-04-24T15:46:36.000+0000
a9aDo000000DAJvIAO,4964724,2023-04-24T16:02:18.000+0000
a9aDo000000DAJwIAO,4964725,2023-04-24T16:02:18.000+0000
a9aDo000000DAJxIAO,4964728,2023-04-24T16:02:18.000+0000
a9aDo000000DAK0IAO,4964730,2023-04-24T16:16:32.000+0000
a9aDo000000DAJzIAO,4964729,2023-04-24T16:16:32.000+0000
a9aDo000000DAOIIA4,4965524,2023-04-24T17:40:26.000+0000
a9aDo000000DAOLIA4,4965525,2023-04-24T18:08:38.000+0000
a9aDo000000DAOMIA4,4965526,2023-04-24T18:08:38.000+0000
a9aDo000000DAOUIA4,4965627,2023-04-24T18:38:35.000+0000
a9aDo000000DAOVIA4,4965628,2023-04-24T18:38:35.000+0000
a9aDo000000DAOWIA4,4965629,2023-04-24T18:51:40.000+0000
a9aDo000000DAOgIAO,4965633,2023-04-24T19:22:46.000+0000
a9aDo000000DAOnIAO,4965636,2023-04-24T19:36:42.000+0000
a9aDo000000DAOoIAO,4965637,2023-04-24T19:36:42.000+0000
a9aDo000000DAOuIAO,4966231,2023-04-24T19:50:46.000+0000
a9aDo000000DAOtIAO,4966227,2023-04-24T19:50:46.000+0000
a9aDo000000DAOyIAO,4966329,2023-04-24T20:06:11.000+0000
a9aDo000000DAOvIAO,4966232,2023-04-24T20:06:11.000+0000
a9aDo000000DAOwIAO,4966233,2023-04-24T20:06:11.000+0000
a9aDo000000DAOxIAO,4966234,2023-04-24T20:06:11.000+0000
a9aDo000000DAP0IAO,4966436,2023-04-24T21:06:13.000+0000
a9aDo000000DAP1IAO,4966437,2023-04-24T21:06:13.000+0000
a9aDo000000DASHIA4,4839991,2023-04-24T21:28:54.000+0000
a9aDo000000DAaDIAW,4966847,2023-04-24T22:06:43.000+0000
a9aDo000000DAaCIAW,4966843,2023-04-24T22:06:43.000+0000
a9aDo000000DAaAIAW,4966438,2023-04-24T22:06:43.000+0000
a9aDo000000DAaBIAW,4966842,2023-04-24T22:06:43.000+0000
a9aDo000000DAaEIAW,4966848,2023-04-24T22:21:04.000+0000
a9aDo000000DAr4IAG,4971744,2023-04-25T13:10:24.000+0000
a9aDo000000DAr5IAG,4971745,2023-04-25T13:10:24.000+0000
a9aDo000000DAr6IAG,4971746,2023-04-25T13:10:24.000+0000
a9aDo000000DArDIAW,4971749,2023-04-25T13:25:03.000+0000
a9aDo000000DArCIAW,4971747,2023-04-25T13:25:03.000+0000
a9aDo000000DArEIAW,4972343,2023-04-25T13:40:42.000+0000
a9aDo000000DAztIAG,4974252,2023-04-25T15:25:01.000+0000
a9aDo000000DAzzIAG,4974253,2023-04-25T15:39:31.000+0000
a9aDo000000DB06IAG,4974255,2023-04-25T15:54:52.000+0000
a9aDo000000DB4IIAW,4974260,2023-04-25T16:09:52.000+0000
