Id,State_Name__c
a8yDo00000114kGIAQ,New York
a8yDo00000114kIIAQ,New York
a8yDo00000114kHIAQ,New York
a8yDo00000114pdIAA,New Mexico
a8yDo00000114peIAA,New Mexico
a8yDo00000114t0IAA,Colorado
a8yDo00000114t3IAA,NM
a8yDo00000114qTIAQ,Nevada
a8yDo00000114qUIAQ,Nevada
a8yDo00000114q6IAA,New York
a8yDo00000114xzIAA,Kansas
a8yDo00000114y0IAA,Kansas
a8yDo00000114y1IAA,Pennsylvania
a8yDo00000114yQIAQ,PA
a8yDo00000114yRIAQ,Kansas
a8yDo00000114vzIAA,California
a8yDo00000114w0IAA,CA
a8yDo00000114xnIAA,Illinois
a8yDo00000114xoIAA,Illinois
a8yDo00000114xpIAA,Illinois
a8yDo00000114u4IAA,Nevada
a8yDo00000114u5IAA,Pennsylvania
a8yDo000001151lIAA,IL
a8yDo00000114zoIAA,Louisiana
a8yDo00000114zpIAA,California
a8yDo000001151CIAQ,PA
a8yDo000001151DIAQ,Illinois
a8yDo000001155IIAQ,KS
a8yDo000001155JIAQ,Kansas
a8yDo000001155KIAQ,Kansas
a8yDo000001153dIAA,PA
a8yDo000001157BIAQ,California
a8yDo000001157HIAQ,California
a8yDo00000115BUIAY,Louisiana
a8yDo00000115BiIAI,NV
a8yDo00000115BpIAI,NY
a8yDo00000115BqIAI,New Jersey
a8yDo00000115ByIAI,VT
a8yDo00000115BzIAI,Utah
a8yDo000001159yIAA,Ohio
a8yDo00000115AaIAI,OH
a8yDo00000115ApIAI,PA
a8yDo00000115ArIAI,TX
a8yDo00000115AzIAI,Virginia
a8yDo00000115B0IAI,Virginia
a8yDo00000115B2IAI,OH
a8yDo00000115B8IAI,ID
a8yDo00000115B9IAI,Utah
a8yDo00000115BAIAY,Utah
a8yDo00000115BBIAY,Utah
a8yDo00000115BCIAY,Idaho
a8yDo00000115BDIAY,Utah
a8yDo00000115BEIAY,Utah
a8yDo00000115BFIAY,Utah
a8yDo00000115BGIAY,California
a8yDo00000115BHIAY,Utah
a8yDo00000115BIIAY,Idaho
a8yDo00000115BJIAY,Idaho
a8yDo00000115DmIAI,NY
a8yDo00000115ECIAY,MI
a8yDo00000115EPIAY,California
a8yDo00000115EZIAY,New Mexico
a8yDo00000115EhIAI,Nevada
a8yDo00000115EkIAI,Virginia
a8yDo00000115ElIAI,Ohio
a8yDo00000115EoIAI,Utah
a8yDo00000115EpIAI,Utah
a8yDo00000115EqIAI,Idaho
a8yDo00000115F9IAI,LA
a8yDo00000115FIIAY,New York
a8yDo00000115FvIAI,Texas
a8yDo00000115FwIAI,Texas
a8yDo00000115G4IAI,New York
a8yDo00000115JSIAY,Texas
a8yDo00000115JTIAY,Texas
a8yDo00000115JwIAI,New York
a8yDo00000115GlIAI,Virginia
a8yDo00000115KLIAY,New Jersey
a8yDo00000115KMIAY,New Jersey
a8yDo00000115KNIAY,New Jersey
a8yDo00000115HKIAY,UT
a8yDo00000115J1IAI,Illinois
a8yDo00000115J2IAI,Illinois
a8yDo00000115J3IAI,Illinois
a8yDo00000115J4IAI,Illinois
a8yDo00000115JQIAY,CA
a8yDo00000115MZIAY,New York
a8yDo00000115PHIAY,Vermont
a8yDo00000115PIIAY,Illinois
a8yDo00000115PMIAY,IL
a8yDo00000115PNIAY,Louisiana
a8yDo00000115VOIAY,CA
a8yDo00000115VfIAI,ME
a8yDo00000115VgIAI,Maine
a8yDo00000115VhIAI,Maine
a8yDo00000115ViIAI,Illinois
a8yDo00000115VmIAI,NY
a8yDo00000115VrIAI,TN
a8yDo00000115VsIAI,Tennessee
a8yDo00000115TtIAI,Indiana
a8yDo00000115TuIAI,Indiana
a8yDo00000115TvIAI,Pennsylvania
a8yDo00000115U7IAI,Iowa
a8yDo00000115U8IAI,Iowa
a8yDo00000115UDIAY,Indiana
a8yDo00000115UEIAY,Indiana
a8yDo00000115UFIAY,Indiana
a8yDo00000115UGIAY,Indiana
a8yDo00000115UHIAY,Indiana
a8yDo00000115UIIAY,Indiana
a8yDo00000115UJIAY,Indiana
a8yDo00000115UKIAY,Indiana
a8yDo00000115ULIAY,Indiana
a8yDo00000115UMIAY,Indiana
a8yDo00000115UNIAY,Indiana
a8yDo00000115UOIAY,Indiana
a8yDo00000115UPIAY,Indiana
a8yDo00000115UQIAY,Indiana
a8yDo00000115URIAY,Indiana
a8yDo00000115USIAY,New York
a8yDo00000115UVIAY,IA
a8yDo00000115V8IAI,NY
a8yDo00000115VBIAY,Pennsylvania
a8yDo00000115VCIAY,Pennsylvania
a8yDo00000115VDIAY,California
a8yDo00000115SRIAY,KS
a8yDo00000115SkIAI,CA
a8yDo00000115StIAI,LA
a8yDo00000115SuIAI,Louisiana
a8yDo00000115PjIAI,MA
a8yDo00000115PwIAI,Missouri
a8yDo00000115XpIAI,OH
a8yDo00000115XBIAY,MA
a8yDo00000115XJIAY,Illinois
a8yDo00000115XNIAY,NY
a8yDo00000115XcIAI,Pennsylvania
a8yDo00000115W3IAI,PA
a8yDo00000115W9IAI,KY
a8yDo00000115WAIAY,Kentucky
a8yDo00000115WdIAI,TN
a8yDo00000115WxIAI,New York
a8yDo00000115X3IAI,Massachusetts
a8yDo00000115ZXIAY,Tennessee
a8yDo00000115ZYIAY,Tennessee
a8yDo00000115ZlIAI,Kentucky
a8yDo00000115ZmIAI,Kentucky
a8yDo00000115aBIAQ,New York
a8yDo00000115aCIAQ,New York
a8yDo00000115aJIAQ,California
a8yDo00000115aLIAQ,Pennsylvania
a8yDo00000115aXIAQ,Ohio
a8yDo00000115YLIAY,Iowa
a8yDo00000115YSIAY,Indiana
a8yDo00000115YTIAY,Indiana
a8yDo00000115YUIAY,Indiana
a8yDo00000115YVIAY,Indiana
a8yDo00000115YWIAY,Indiana
a8yDo00000115YXIAY,Indiana
a8yDo00000115YYIAY,Indiana
a8yDo00000115YZIAY,Indiana
a8yDo00000115YaIAI,Iowa
a8yDo00000115YbIAI,Iowa
a8yDo00000115YcIAI,Iowa
a8yDo00000115YdIAI,Ohio
a8yDo00000115Z5IAI,Pennsylvania
a8yDo00000115Z6IAI,Pennsylvania
a8yDo00000115aYIAQ,New York
a8yDo00000115aZIAQ,NY
a8yDo00000115agIAA,CO
a8yDo00000115eIIAQ,New York
a8yDo00000115hLIAQ,New York
a8yDo00000115hTIAQ,Tennessee
a8yDo00000115hUIAQ,Tennessee
a8yDo00000115hVIAQ,NY
a8yDo00000115lbIAA,New Mexico
a8yDo00000115lcIAA,New Mexico
a8yDo00000115ldIAA,New Mexico
a8yDo00000115leIAA,New Mexico
a8yDo00000115mIIAQ,KY
a8yDo00000115mJIAQ,Kentucky
a8yDo00000115mqIAA,NV
a8yDo00000115n3IAA,MA
a8yDo00000115nAIAQ,MO
a8yDo00000115ryIAA,NY
a8yDo00000115qtIAA,Illinois
a8yDo00000115r0IAA,Illinois
a8yDo00000115r1IAA,Illinois
a8yDo00000115r2IAA,Illinois
a8yDo00000115rBIAQ,Kansas
a8yDo00000115rCIAQ,Kansas
a8yDo00000115rDIAQ,Kansas
a8yDo00000115pOIAQ,California
a8yDo00000115pPIAQ,California
a8yDo00000115tCIAQ,Pennsylvania
a8yDo00000115tGIAQ,CA
a8yDo00000115yWIAQ,Illinois
a8yDo00000115ysIAA,New Jersey
a8yDo00000115ytIAA,New Jersey
a8yDo00000115yuIAA,New Jersey
a8yDo00000115wyIAA,Virginia
a8yDo00000115wzIAA,Virginia
a8yDo00000115x0IAA,Virginia
a8yDo00000115x4IAA,Kansas
a8yDo00000115x6IAA,Ohio
a8yDo00000115x7IAA,Texas
a8yDo00000115x9IAA,Utah
a8yDo00000115xAIAQ,Utah
a8yDo00000115xBIAQ,Utah
