Id,Sprint__c,Effort__c
a8rDo000000wnm3IAA,Backlog,
a8rDo000000wnm8IAA,Backlog,
a8rDo000000wnmDIAQ,Backlog,
a8rDo000000wnmIIAQ,Backlog,
a8rDo000000wnmNIAQ,Backlog,
a8rDo000000wnmSIAQ,Backlog,
a8rDo000000wnmXIAQ,Backlog,
a8rDo000000wnmcIAA,Backlog,
a8rDo000000wnmdIAA,Backlog,
a8rDo000000wnmhIAA,Backlog,
a8rDo000000wnmmIAA,Backlog,
a8rDo000000wnmrIAA,Backlog,Low
a8rDo000000wnmwIAA,Backlog,
a8rDo000000wnn1IAA,Backlog,
a8rDo000000wnn6IAA,Backlog,
a8rDo000000wnnBIAQ,Backlog,
a8rDo000000wnnGIAQ,Backlog,
a8rDo000000wnnLIAQ,Backlog,
a8rDo000000wnnQIAQ,Backlog,
a8rDo000000wnnVIAQ,Backlog,
a8rDo000000wnnfIAA,Backlog,
a8rDo000000wnnkIAA,Backlog,
a8rDo000000wnnpIAA,Backlog,
a8rDo000000wnnuIAA,Backlog,
a8rDo000000wnnzIAA,Backlog,
a8rDo000000wno4IAA,Backlog,
a8rDo000000wno5IAA,Backlog,
a8rDo000000wno9IAA,Backlog,
a8rDo000000wnoEIAQ,Backlog,
a8rDo000000wnoJIAQ,Backlog,
a8rDo000000wnoOIAQ,Backlog,
a8rDo000000wnnqIAA,Backlog,
a8rDo000000wnoKIAQ,Backlog,
a8rDo000000wnoPIAQ,Backlog,
a8rDo000000wnoTIAQ,Backlog,
a8rDo000000wno0IAA,Backlog,
a8rDo000000wnoUIAQ,Backlog,
a8rDo000000wnoLIAQ,Backlog,
a8rDo000000wnoYIAQ,Backlog,
a8rDo000000wnodIAA,Backlog,
a8rDo000000wnoiIAA,Backlog,
a8rDo000000wnonIAA,Backlog,
a8rDo000000wnosIAA,Backlog,
a8rDo000000wnoZIAQ,Backlog,
a8rDo000000wnoaIAA,Backlog,
a8rDo000000wnoxIAA,Backlog,
a8rDo000000wnp2IAA,Backlog,
a8rDo000000wnp7IAA,Backlog,
a8rDo000000wnpCIAQ,Backlog,
a8rDo000000wnpHIAQ,Backlog,
a8rDo000000wnpMIAQ,Backlog,
a8rDo000000wnpRIAQ,Backlog,
a8rDo000000wnpWIAQ,Backlog,
a8rDo000000wnpbIAA,Backlog,
a8rDo000000wnpgIAA,Backlog,
a8rDo000000wnplIAA,Backlog,
a8rDo000000wnpqIAA,Backlog,
a8rDo000000wnpvIAA,Backlog,
a8rDo000000wnq0IAA,Backlog,
a8rDo000000wnq5IAA,Backlog,
a8rDo000000wnqAIAQ,Backlog,
a8rDo000000wnqFIAQ,Backlog,
a8rDo000000wnqKIAQ,Backlog,
a8rDo000000wnqPIAQ,Backlog,
a8rDo000000wnqUIAQ,Backlog,
a8rDo000000wnqZIAQ,Backlog,
a8rDo000000wnqeIAA,Backlog,
a8rDo000000wnqjIAA,Backlog,
a8rDo000000wnqoIAA,Backlog,
a8rDo000000wnqtIAA,Backlog,
a8rDo000000wnqyIAA,Backlog,
a8rDo000000wnr3IAA,Backlog,
a8rDo000000wnr8IAA,Backlog,
a8rDo000000wnrDIAQ,Backlog,
a8rDo000000wnrIIAQ,Backlog,
a8rDo000000wnrNIAQ,Backlog,
a8rDo000000wnrSIAQ,Backlog,
a8rDo000000wnrXIAQ,Backlog,
a8rDo000000wnrcIAA,Backlog,
a8rDo000000wnrhIAA,Backlog,
a8rDo000000wnrmIAA,Backlog,
a8rDo000000wnrnIAA,Backlog,
a8rDo000000wnroIAA,Backlog,
a8rDo000000wnrrIAA,Backlog,
a8rDo000000wnrwIAA,Backlog,
a8rDo000000wns1IAA,Backlog,
a8rDo000000wns6IAA,Backlog,
a8rDo000000wnsBIAQ,Backlog,
