Id,Is_Component_Dynamic__c
01tDo000000vNcJIAU,true
01tDo000000vNcOIAU,true
01tDo000000vNcTIAU,true
01tDo000000vNcYIAU,true
01tDo000000vNcdIAE,true
01tDo000000vNciIAE,true
01tDo000000vNcnIAE,true
01tDo000000vNcsIAE,true
01tDo000000vNcxIAE,true
01tDo000000vNd2IAE,true
01tDo000000vNdRIAU,true
01tDo000000vNdWIAU,true
01tDo000000vNdbIAE,true
01tDo000000vNdgIAE,true
01tDo000000vNdlIAE,true
01tDo000000vNdqIAE,true
01tDo000000vNdvIAE,true
01tDo000000vNe0IAE,true
01tDo000000vNeFIAU,true
01tDo000000vNeKIAU,true
01tDo000000vNeUIAU,true
01tDo000000vNeZIAU,true
01tDo000000vNcjIAE,true
01tDo000000vNeeIAE,true
01tDo000000vNejIAE,true
01tDo000000vNeoIAE,true
01tDo000000vNcUIAU,true
01tDo000000vNf8IAE,true
01tDo000000vNfDIAU,true
01tDo000000vNfIIAU,true
01tDo000000vNfNIAU,true
01tDo000000vNfSIAU,true
01tDo000000vNfcIAE,true
01tDo000000vNfhIAE,true
01tDo000000vNfmIAE,true
01tDo000000vNfrIAE,true
01tDo000000vNfwIAE,true
01tDo000000vNg1IAE,true
01tDo000000vNg6IAE,true
01tDo000000vNgBIAU,true
01tDo000000vNgGIAU,true
01tDo000000vNgLIAU,true
01tDo000000vNgQIAU,true
01tDo000000vNgVIAU,true
01tDo000000vNgaIAE,true
01tDo000000vNgfIAE,true
01tDo000000vNgkIAE,true
01tDo000000vNcFIAU,true
01tDo000000vNgpIAE,true
01tDo000000vNguIAE,true
01tDo000000vNgzIAE,true
01tDo000000vNhEIAU,true
01tDo000000vNckIAE,true
01tDo000000vNhJIAU,true
01tDo000000vNhOIAU,true
01tDo000000vNhdIAE,true
01tDo000000vNhiIAE,true
01tDo000000vNhnIAE,true
01tDo000000vNhsIAE,true
01tDo000000vNi7IAE,true
01tDo000000vNiCIAU,true
01tDo000000vNiWIAU,true
01tDo000000vNibIAE,true
01tDo000000vNigIAE,true
01tDo000000vNilIAE,true
