Id,Name,breadwinner_ns__CompanyName__c,breadwinner_ns__InternalId__c,ncf_entity_eym_overdue_balance__c,breadwinner_ns__ExternalId__c,breadwinner_ns__Salesforce_Account__c
a9FDo000000TSZYMA4,D00076481,M & A ARCHITECTURAL PRESERVATI,18945,,,
a9FDo000000TX93MAG,D00628859,M & A CEMENT WORKS INC,36266,,,
a9FDo000000TVyCMAW,D00111805,M & A SUPPLY COMPANY,32005,,,
a9FDo000000TacGMAS,D00071117,M & A SUPPLY COMPANY,51161,,,
a9FDo000000Tb29MAC,D11230216,M & A SUPPLY COMPANY INC,52766,,,
a9FDo000000TfWJMA0,D10002723,M & B CONTRACT SPECIALTIES,104360,,,
a9FDo000000TgOGMA0,D00080244,M & B ELECTRIC,108135,,,
a9FDo000000TgTeMAK,D00083371,M & C ROOFING INC,108549,,,
a9FDo000000TZJcMAO,D11539723,M & D BLACKTOP,44610,,,
a9FDo000000TYvsMAG,D11201316,M & D MASONRY,43138,,,
a9FDo000000TbudMAC,A30028277,M & D MILLWORK,57666,,,
a9FDo000000Tee6MAC,D11483625,M & D PLUMBING,90287,,,
a9FDo000000TgFOMA0,D00071104,M & E GRADING AND PIPELINE INC,107521,,,
a9FDo000000TSZ1MAO,D00076273,M & E MANUFACTURING,18912,,,
a9FDo000000TWriMAG,D00304402,M & H BUILDERS INC,35191,,,
a9FDo000000TYd4MAG,D10896926,M & H BUILDING SPECIALTIES,41972,,,
a9FDo000000TYrBMAW,D11129541,M & H CONCRETE CONTRS INC,42847,,,
a9FDo000000TXCsMAO,D00701052,M & H CONST CO,36503,,,
a9FDo000000TUtSMAW,D00104418,M & H SALES INC,27867,,,
a9FDo000000TgMWMA0,D00079181,M & I BANK,108027,,,
a9FDo000000TcVsMAK,A30029413,M & I BANK,59975,,,
a9FDo000000TRyxMAG,D00063031,M & I ELECTRIC,16676,,,
a9FDo000000TZFvMAO,D11494572,M & J ASPHALT PAVING,44381,,,
a9FDo000000TjIeMAK,D00127500,M & J RENOVATIONS INC,166029,,,
a9FDo000000TWRBMA4,D00114065,M & L CONSTRUCTION,33546,,,
a9FDo000000Tb0eMAC,D10989127,M & M CONSTRUCTION,52673,,,
a9FDo000000TiabMAC,D00125015,M & M CONSTRUCTION COMPANY INC,148681,,,
a9FDo000000TUgSMAW,D00102846,M & M CONSTRUCTION OF CO,27061,,,
a9FDo000000TUoEMAW,D00103825,M & M CONSTRUCTION SYSTEMS INC,27543,,,
a9FDo000000TY54MAG,D10281194,M & M CONTRACTORS,39864,,,
a9FDo000000TXVQMA4,D01099746,M & M DRYWALL,37653,,,
a9FDo000000TZ3SMAW,D11322252,M & M DRYWALL & ACOUSTIC,43608,,,
a9FDo000000TWBKMA4,D00112695,M & M ELECTRIC,32563,,,
a9FDo000000TTTrMAO,D00092886,M & M ELECTRIC INC,22436,,,
a9FDo000000TXlmMAG,D01529312,M & M INSULATION INC,38667,,,
a9FDo000000TgSsMAK,D00083102,M & M LIGHTING LP,108501,,,
a9FDo000000Tev7MAC,D00119948,M & M OFFICE INTERIORS,97611,,,
a9FDo000000Tfg4MAC,D11655057,M & M PLASTERING,105099,,,
a9FDo000000TV6QMAW,D00105788,M & M PLASTERING LLC,28671,,,
a9FDo000000TgI2MAK,D00074621,M & M SANITARY LLC,107685,,,
a9FDo000000TYxWMAW,D11229887,M & M SANITATION INC,43240,,,
a9FDo000000TgYMMA0,D00084883,M & M UNDERGROUND INC,108879,,,
a9FDo000000TTZOMA4,D00093826,M & N GRADING,22779,,,
a9FDo000000TXC1MAO,D00684431,M & N PLBG & HTG INC,36450,,,
a9FDo000000Tg8fMAC,D00042259,M & N PROFESSIONAL CONCRETE CO,107069,,,
a9FDo000000TUUGMA4,D00101504,"M & P VENTURE PARTNERS , LLC",26305,,,
a9FDo000000TiuzMAC,D00126145,M & R CONSTRUCTION LLC,157327,,,
a9FDo000000TU04MAG,D00097331,"M & R ENTERPRISES, LLC",24433,,,
a9FDo000000Th9GMAS,D00098163,"M & S MASONRY CONTRACTOR, LLC",111400,,,
a9FDo000000TYcEMAW,D10878155,M & S PAVING CONST CO INC,41920,,,
a9FDo000000Tg54MAC,D00140673,M & W CONTRACTOR,106750,,,
a9FDo000000TSfIMAW,D00078985,M & W DRILLING LLC,19301,,,
a9FDo000000TgHUMA0,D00074085,M & W ENGINEERS & CONSTRUCTORS,107651,,,
a9FDo000000TSc7MAG,D00077648,M & W PAYNE TRUCKING,19104,,,
a9FDo000000TcOxMAK,A30027238,M A  MORTENSON COMPANY,59546,,,
a9FDo000000TfPRMA0,D01472182,M A ANGELIADES INC,103866,,,
a9FDo000000TctrMAC,A30023481,M A MORTENSEN,61463,,,
a9FDo000000TUSJMA4,D00101295,M A MORTENSON,26184,,,
a9FDo000000TVRrMAO,D00108098,M A MORTENSON,30000,,,
a9FDo000000TV1vMAG,D00105318,M A MORTENSON CO,28392,,,
a9FDo000000TajHMAS,D00086605,M A MORTENSON CO,51596,,,
a9FDo000000TWtlMAG,D00338665,M A MORTENSON CO,35318,,,
a9FDo000000TXTsMAO,D01027762,M A MORTENSON CO,37557,,,
a9FDo000000TSbjMAG,D00077459,M A MORTENSON CO,19080,,,
a9FDo000000TZrWMAW,W91078745,M A MORTENSON COMPANIES,46712,,,
a9FDo000000TPSpMAO,A30001007,M A R T A,7223,,,
a9FDo000000TiZ8MAK,D11178670,M A RAZZANO PLUMBING & HEATING,148175,,,
a9FDo000000TYvUMAW,D11196524,M A S INC,43114,,,
a9FDo000000TeUxMAK,D00034368,M A STEWART,89720,,,
a9FDo000000TefnMAC,D11518982,M A TRUSS,90401,,,
a9FDo000000TesoMAC,D00119820,"M AND H CONTRACTORS, LLC",96456,,,
a9FDo000000ThFrMAK,D00120571,"M AND J KUSTOM BUILDERS, LLC",113027,,,
a9FDo000000TYwQMAW,D11211018,M AND M CANDLES,43172,,,
a9FDo000000TWajMAG,D00114930,M AND M GENERAL CARPENTRY INC.,34138,,,
a9FDo000000TUQ9MAO,D00101074,M AND M STRIPING,26050,,,
a9FDo000000TQRYMA4,A30031606,M AND R HARDWARE,10728,,,
a9FDo000000Td1nMAC,A30029900,M AND T BANK,61955,,,
a9FDo000000Tcr5MAC,A30034430,M AND T BANK,61291,,,
a9FDo000000TUkJMAW,D00103316,M B CONCRETE SYSTEMS,27300,,,
a9FDo000000TY5RMAW,D10290633,M B I SYSTEMS INC,39887,,,
a9FDo000000TfRDMA0,D11093150,M B INVESTMENTS,104044,,,
a9FDo000000TXPpMAO,D00936013,M B KAHN CONST CO INC,37306,,,
a9FDo000000TQPjMAO,A30031158,M B KAHN CONSTRUCTION CO INC,10615,,,
a9FDo000000TQtuMAG,A30036770,M B MCGOWAN & ASSOC INSU AGE,12516,,,
a9FDo000000TTIDMA4,D00070110,M B MCGOWAN ASSOCIATES,21714,,,
a9FDo000000TfmCMAS,D00127365,M B NIXON ELECTRIC COMP,105480,,,
a9FDo000000TcCKMA0,A30024492,M BOSS INC,58763,,,
a9FDo000000ToToMAK,D00144397,M C CONCRETE,421171,,,
a9FDo000000TPT8MAO,A30001284,M C DEAN-VA,7242,,,
a9FDo000000TR0oMAG,A30037277,M C ETHRIDGE CO,12944,,,
a9FDo000000TPZLMA4,A30009848,M C GILL CORPORATION-CA,7627,,,
a9FDo000000TazcMAC,D10702793,M C HOPKINS & SONS INC,52609,,,
a9FDo000000TbJsMAK,D11058880,M C I ELECTRIC CO,53865,,,
a9FDo000000TStPMAW,D00084572,M C L CONSTRUCTION COMPANY INC,20176,,,
a9FDo000000TYD4MAO,D10427169,M C L ELECTRIC,40360,,,
a9FDo000000TfpJMAS,D10061844,M C SIGNS,105673,,,
a9FDo000000TPfpMAG,A30017094,M COMMUNICATIONS,8029,,,
a9FDo000000TTYeMAO,D00093715,M D B DEVELOPMENT SERVICES LLC,22733,,,
a9FDo000000TXnsMAG,D01595776,M D ELECTRICAL-MECHANICAL CO.,38797,,,
a9FDo000000Tfi2MAC,D10552347,M D M CORP,105221,,,
a9FDo000000TjUEMA0,D00082896,M DAVIES & ASSOCIATES,170235,,,
a9FDo000000TiW0MAK,D10216588,"M E GROUP, INC",146543,,,
a9FDo000000TZ5KMAW,D11347101,M E K CONSTRUCTION LTD,43724,,,
a9FDo000000TSdwMAG,D00078421,M E P ENGINEERING,19217,,,
a9FDo000000TgRWMA0,D00082440,M F M LIMESTONE,108417,,,
a9FDo000000TdcdMAC,A30031379,M G  MCLAREN ENGINEERING GRO,64325,,,
a9FDo000000TSXcMAO,D00075718,M G A CAST STONE,18825,,,
a9FDo000000TWtdMAG,D00335232,M G C CONTRACTORS INC,35310,,,
a9FDo000000Th7UMAS,D00097155,M G CONSTRUCTION GROUP,111290,,,
a9FDo000000TX5gMAG,D00562850,M G ELECTRIC SERVICE CO,36057,,,
a9FDo000000TRqAMAW,D00046637,M G ENTERPRISES,16131,,,
a9FDo000000TXIqMAO,D00816637,M G INDUSTR INSUL CO INC,36873,,,
a9FDo000000TX9iMAG,D00641720,M G M ASSOCS INC,36307,,,
a9FDo000000TfFrMAK,D10804441,M G R CONSTRUCTORS INC,103189,,,
a9FDo000000TXjjMAG,D01462076,"M H LIGHTING ASSOCIATES, INC.",38540,,,
a9FDo000000TXuoMAG,D05162458,M H POWELL & CO INC,39227,,,
a9FDo000000TehzMAC,D00119242,M HILL ELECTRICAL,92052,,,
a9FDo000000TSG0MAO,D00065721,M I C C O,17733,,,
a9FDo000000TfOOMA0,D00147884,M INC,103801,,,
a9FDo000000Tcm2MAC,A30032863,M INDUSTRIAL MECHANICAL,60978,,,
a9FDo000000Tc1bMAC,A30023418,M J  HARRIS  INC,58098,,,
a9FDo000000Tf9OMAS,D10691095,M J B PIPELINE,102695,,,
a9FDo000000TdCQMA0,A00017095,M J BRUNNER INC,62614,,,
a9FDo000000TZ5pMAG,D11354412,M J COATES CONSTRUCTION COMPAN,43755,,,
a9FDo000000TRKZMA4,A30038839,M J DEAN CONSTRUCTION INC,14169,,,
a9FDo000000TfstMAC,D11352408,M J FARRAHER,105906,,,
a9FDo000000TWjJMAW,D00154302,M J FLAHERTY CO,34670,,,
a9FDo000000Tb21MAC,D11221132,M J I COMPANY,52758,,,
a9FDo000000TZ18MAG,D11287208,M J MECH INC,43464,,,
a9FDo000000Tcd5MAC,A30021366,M J MULLANE CO INC,60422,,,
a9FDo000000TXbiMAG,D01324466,M J S CONSTRUCTION INC,38043,,,
a9FDo000000TZSVMA4,D11629839,M J S DISTRIBUTORS,45161,,,
a9FDo000000TYLHMA4,D10542769,M J SUPPLY CO.,40869,,,
a9FDo000000TTOsMAO,D00091997,M JORDAN ROOFING INC,22127,,,
a9FDo000000TfU4MAK,D01356518,M K C O INC,104221,,,
a9FDo000000TYr7MAG,D11127842,M L BATH BUS SVC,42843,,,
a9FDo000000TflyMAC,D11190881,M L CHARTIER INC,105466,,,
a9FDo000000TWiaMAG,D00143438,M L SCHMITT INC,34625,,,
a9FDo000000TWmUMAW,D00206409,M NELSON BARNES & SON,34867,,,
a9FDo000000TWsUMAW,D00317495,M O HERRON CO,35239,,,
a9FDo000000TaRhMAK,D10222909,M O'CONNELL PAINTING CONTR,50506,,,
a9FDo000000TfzWMAS,D01057199,M P ALLEN GEN CONT INC,106405,,,
a9FDo000000TcQiMAK,A30023456,M P ALLEN GENERAL CONTRACTOR,59655,,,
a9FDo000000TZERMA4,D11473931,M P B CONSTRUCTORS,44289,,,
a9FDo000000TTsFMAW,D00096322,M P ELECTRIC INC,23948,,,
a9FDo000000TQPgMAO,A30031150,M P P PIPING INC,10612,,,
a9FDo000000TYaRMAW,D10849743,M P V WALLCOVERING,41809,,,
a9FDo000000TWpqMAG,D00269118,M Q SEWER & WATER CONTRS,35075,,,
a9FDo000000TfUWMA0,D01452267,M R LEE BUILDING MATERIALS INC,104249,,,
a9FDo000000TSXpMAO,D00075826,M R P CONTRACTORS LLC,18838,,,
a9FDo000000TbG5MAK,D01037050,M R S ENTERPRISES INC,53630,,,
a9FDo000000TbIiMAK,D10465003,M R S ENTERPRISES INC,53793,,,
a9FDo000000TYxDMAW,D11224789,M R TANNER CONST,43221,,,
a9FDo000000TYyNMAW,D11241882,M RAINA ASSOC INC,43293,,,
a9FDo000000Td4tMAC,A30020574,M RONDANO,62147,,,
a9FDo000000TbFbMAK,D00406512,M RONDANO INC,53600,,,
a9FDo000000TUhcMAG,D00102977,M S D EXCAVATORS,27133,,,
a9FDo000000TfCbMAK,D00377655,M S G ASSOCS INC.,102897,,,
a9FDo000000TYdUMAW,D10904746,M S SERVICES,41998,,,
a9FDo000000TRodMAG,D00044612,M SCHER & SONS INC,16036,,,
a9FDo000000TWi5MAG,D00136085,M SCHNOLL & SONS INC,34594,,,
a9FDo000000TgXxMAK,D00084790,M SKY CONST INC,108854,,,
a9FDo000000TkMqMAK,D00129559,M SOUTH EQUITY PARTNERS,182478,,,
a9FDo000000TdMMMA0,A30033105,M SQUARED CONSTRUCTION,63230,,,
a9FDo000000Tas3MAC,D00219618,M T GROUP,52140,,,
a9FDo000000TYWXMA4,D10769438,M T M CONTRACTORS INC.,41567,,,
a9FDo000000TXA8MAO,D00647354,M T V GENERAL INC.,36333,,,
a9FDo000000TaEUMA0,A30005411,M TORRES DISENOS INDUSTRIALE,49490,,,
a9FDo000000TcMgMAK,A30030597,M TRACY JAMES ESQ,59405,,,
a9FDo000000TiaJMAS,D00124998,M VAZQUEZ CARPENTRY LLC,148483,,,
a9FDo000000TYzVMAW,D11262813,M W BUILDERS INC,43363,,,
a9FDo000000TY0QMAW,D10169225,M W BUILDERS INC,39575,,,
a9FDo000000Td8UMAS,A30033044,M W CONSTRUCTION INC,62370,,,
a9FDo000000TfAFMA0,D01103902,M W MORGAN CONSTRUCTION,102748,,,
a9FDo000000TYfiMAG,D10943447,M Z N CONSTRUCTION,42136,,,
a9FDo000000TjMyMAK,D00127756,M&A INFRASTRUCTURE SOLUTIONS,167960,,,
a9FDo000000TUCOMA4,D00098960,M&A SUPPLY,25197,,,
a9FDo000000TbhMMAS,W91039210,M&B MAG LTD.,55414,,,
a9FDo000000TVkGMAW,D00109854,M&C CONCRETE,31141,,,
a9FDo000000TULlMAO,D00100477,M&C CONTRACTORS,25778,,,
a9FDo000000TVhTMAW,D00109589,M&E CONSULTANTS,30968,,,
a9FDo000000TorHMAS,197539,M&E Consulting Inc.,445902,,,
a9FDo000000TVn5MAG,D00110132,M&G SERVICES,31316,,,
a9FDo000000TiXXMA0,D00124839,"M&J CONCRETE, LLC",147471,,,
a9FDo000000TVq9MAG,D00110737,M&J ELECTRIC OF WITCHITA LLC,31506,,,
