Id,Name,breadwinner_ns__CompanyName__c,breadwinner_ns__InternalId__c,breadwinner_ns__ExternalId__c,breadwinner_ns__Salesforce_Account__c
a9FDo000000TuMjMAK,3098127,"Drill Sub, Inc (ca)",556702,001Do000009ZY82IAG,
a9FDo000000TuAzMAK,1331556,AMBLER KEENAN MITCHELL JOHNSON LLC,512651,0013i00001uC0gNAAS,
a9FDo000000TtgeMAC,9016821,Environmental Forest Products,477408,001Do0000049YmKIAU,
a9FDo000000TtfcMAC,9014030,FusionTurf,477336,001Do0000048pmAIAQ,
a9FDo000000TtV2MAK,576671,"Ron Ruff Roofing, Inc.",476607,0013i00002KrjqZAAR,
a9FDo000000TtPNMA0,2050618,Atlantic Sport Floors,476225,0013i00002Z47hXAAR,
a9FDo000000TtGgMAK,763048,American Spray Fireproofing Industries,475612,0013i00002Z6o0IAAR,
a9FDo000000TtFaMAK,267109,"DA Sullivan & Sons, Inc.",475533,0013i00002RoZgWAAV,
a9FDo000000TsrzMAC,8043765,Diverse Technology Industrial Flooring,473914,0013i00002Rq0wZAAR,
a9FDo000000TsOkMAK,6712974,"Chronos Construction Staffing, Inc.",471933,0013i00002RoxR6AAJ,
a9FDo000000Tr2QMAS,4723902,Earthwise Demolition & Rolloff,465861,0013i00002Z4mxwAAB,
a9FDo000000TqtSMAS,2459020,Midland Engineering Co.,465230,0013i00002Z4BfbAAF,
a9FDo000000TqWoMAK,697680,"Terra Pave, Inc.",463554,0013i00002RotasAAB,
a9FDo000000TpFWMA0,9015904,Horeca NYC,457403,001Do0000049Of5IAE,
a9FDo000000TpFbMAK,9021632,First Solution Properties LLC,457408,001Do000004nFJZIA2,
a9FDo000000TpFcMAK,8041947,Daniel T Howell Roofing Co.,457409,0013i00002Rq0k5AAB,
a9FDo000000TpFKMA0,9021487,Munoz Painting LLC,457391,001Do000004nFIfIAM,
a9FDo000000TpEgMAK,8958024,West Coast Hot Mop,457351,0013i000033UiKBAA0,
a9FDo000000TpELMA0,9017224,A1 Services,457330,001Do0000049w9cIAA,
a9FDo000000TpEOMA0,2073966,S.W. Gatchell Landscaping & Constr.,457333,0013i00002Z47xnAAB,
a9FDo000000TpDcMAK,9011561,Bill's Maintenance Services LLC,457285,001Do000001poaCIAQ,
a9FDo000000TpDPMA0,4702262,B & A Concrete LLC,457272,0013i00002Z4HHPAA3,
a9FDo000000TpCrMAK,973040,"Kenneth R. Thompson Jr. Builder, Inc.",457238,0013i00002Z4vXBAAZ,
a9FDo000000TpCpMAK,8642090,Nuts & Volts Electrical & Data Specialists,457236,0013i00002RqPD7AAN,
a9FDo000000TpCqMAK,6567103,Titan Communications,457237,0013i00002Z6zMhAAJ,
a9FDo000000ToZGMA0,872855-0,American Ornamental Iron Corp.,427640,872855-0,
a9FDo000000ToZFMA0,318627-0,Stanley Access Technologies,427639,318627-0,
a9FDo000000ToZDMA0,D00144777,"COLAS, INC.",427538,001Do000004nmiQIAQ,
a9FDo000000ToTGMA0,D00144347,ATKORE INTERNATIONAL,420871,001Do000004nmlXIAQ,
a9FDo000000ToRBMA0,8317180-0,Field Talent,417637,8317180-0,
a9FDo000000ToRCMA0,1225944-0,Glass & Screens Etc. Inc.,417642,1225944-0,
a9FDo000000ToRDMA0,8546695-0,Premiere Coastal Painting,417643,8546695-0,
a9FDo000000ToREMA0,5222305-0,Strongheart Plumbing,417646,5222305-0,
a9FDo000000ToRFMA0,7806118-0,The Shower Door Shop,417649,7806118-0,
a9FDo000000ToRGMA0,6791408-0,YMM Construction Cleanup,417653,6791408-0,
a9FDo000000ToRHMA0,8551542-0,"Hillo Construction, Inc.",417654,8551542-0,
a9FDo000000ToRIMA0,235341-0,Bay Area Acoustics,417656,235341-0,
a9FDo000000ToRJMA0,1413612-0,"Martin's Metal Fabrication & Welding, Inc.",417660,1413612-0,
a9FDo000000ToRKMA0,1902830-0,Curb Pros LLC,417667,1902830-0,
a9FDo000000ToRLMA0,827631-0,"Froula Alarm Systems, Inc.",417669,827631-0,
a9FDo000000ToRMMA0,971121-0,JEMCO Construction LLC,417673,971121-0,
a9FDo000000ToR7MAK,8544670-0,"Del Hart Staffing, Inc.",417632,8544670-0,
a9FDo000000ToR8MAK,6269708-0,DGR Drywall and Framing,417633,6269708-0,
a9FDo000000ToR9MAK,8570754-0,"Arroyo Geoscience, Inc.",417634,8570754-0,
a9FDo000000ToRAMA0,8701012-0,Wyre Scape Inc.,417635,8701012-0,
a9FDo000000ToQdMAK,8575699-0,Smart Techniques Electrical Contractors,417539,8575699-0,
a9FDo000000ToQeMAK,8046619-0,Square & Compass Construction LLC,417543,8046619-0,
a9FDo000000ToR6MAK,4812742-0,Northwest Exterminating Company / Contractors Termite,417626,4812742-0,
a9FDo000000ToR5MAK,7680679-0,IAO,417623,7680679-0,
a9FDo000000ToR4MAK,7391822-0,Harmony Painting,417620,7391822-0,
a9FDo000000ToR3MAK,7673789-0,LAWRS Glass,417618,7673789-0,
a9FDo000000ToR2MAK,4316040-0,Structured Plus Communications,417617,4316040-0,
a9FDo000000ToR1MAK,5906535-0,American Made,417615,5906535-0,
a9FDo000000ToR0MAK,7965834-0,Kaps Roofing & Construction LLC,417613,7965834-0,
a9FDo000000ToQzMAK,7916740-0,Unlimited Pro-Painting,417610,7916740-0,
a9FDo000000ToQyMAK,8633750-0,Kubacak Construction LLC,417609,8633750-0,
a9FDo000000ToQxMAK,7291822-0,Sign Express,417608,7291822-0,
a9FDo000000ToQwMAK,7122561-0,USA Pumps 24 LLC,417607,7122561-0,
a9FDo000000ToQvMAK,8725083-0,Superintendent Services LLC,417602,8725083-0,
a9FDo000000ToQuMAK,3281100-0,"Sooner Fireplace Systems & Supply, Inc.",417594,3281100-0,
a9FDo000000ToQtMAK,8083237-0,"Pan-Oceanic Engineering Co., Inc.",417591,8083237-0,
a9FDo000000ToQsMAK,456372-0,"Illinois Fire Inspections, Inc.",417586,456372-0,
a9FDo000000ToQrMAK,8288299-0,Cynosure Drone Services,417585,8288299-0,
a9FDo000000ToQqMAK,8639302-0,"Paradigm Constructors, Inc.",417582,8639302-0,
a9FDo000000ToQpMAK,8543980-0,Rooks Concrete & Epoxy,417572,8543980-0,
a9FDo000000ToQoMAK,5966599-0,Wake Contracting Corp.,417568,5966599-0,
a9FDo000000ToQnMAK,7869775-0,Electra Products Agency,417567,7869775-0,
a9FDo000000ToQmMAK,8495814-0,Indy Landscape Concepts,417566,8495814-0,
a9FDo000000ToQlMAK,905817-0,"Contract Roofing & Siding, Inc.",417564,905817-0,
a9FDo000000ToQkMAK,6059845-0,Chappell's Concrete and Builders Supply,417560,6059845-0,
a9FDo000000ToQjMAK,8708695-0,WiredUp,417555,8708695-0,
a9FDo000000ToQiMAK,8406159-0,Cabinet Country LLC,417552,8406159-0,
a9FDo000000ToQhMAK,7813091-0,JP Painting & Construction Services L L C,417550,7813091-0,
a9FDo000000ToQgMAK,6270350-0,"Zone Protection, LLC",417547,6270350-0,
a9FDo000000ToQfMAK,2292448-0,Dacron 13,417544,2292448-0,
a9FDo000000ToQ9MAK,8632845-0,Raphael Cleaning Service,417455,8632845-0,
a9FDo000000ToQcMAK,8911386-0,Sky West Waterproofing LLC,417538,8911386-0,
a9FDo000000ToQaMAK,496154-0,Unity Lawn & Landscape,417528,496154-0,
a9FDo000000ToQZMA0,4247579-0,Tidewater Caulking & Waterproofing,417523,4247579-0,
a9FDo000000ToQYMA0,7262085-0,Hanover Woodworking Studio,417521,7262085-0,
a9FDo000000ToQXMA0,8411253-0,MM Flooring LLC,417511,8411253-0,
a9FDo000000ToQWMA0,8544713-0,Render Contracting Corp.,417510,8544713-0,
a9FDo000000ToQVMA0,8033888-0,U.S. Construction Group (USCG),417508,8033888-0,
a9FDo000000ToQUMA0,7225807-0,Best Buy Roofing,417506,7225807-0,
a9FDo000000ToQTMA0,5237218-0,Affordable Roofing,417505,5237218-0,
a9FDo000000ToQSMA0,8861810-0,Legacy Cleaning LLC,417502,8861810-0,
a9FDo000000ToQRMA0,4808520-0,"Elite Steel, Inc.",417498,4808520-0,
a9FDo000000ToQQMA0,1029586-0,"Magnum Construction Services, Inc.",417497,1029586-0,
a9FDo000000ToQPMA0,7985618-0,DDC Builders,417495,7985618-0,
a9FDo000000ToQOMA0,179344-0,Britannica Floorcovering & Interior Finishes,417494,179344-0,
a9FDo000000ToQNMA0,7400057-0,Iconic Mechanical,417493,7400057-0,
a9FDo000000ToQMMA0,8311098-0,BPM Construction Co.,417491,8311098-0,
a9FDo000000ToQLMA0,5752520-0,Phoenix Metal Designs,417490,5752520-0,
a9FDo000000ToQKMA0,7406992-0,"Valley Mechanical Services, Inc.",417487,7406992-0,
a9FDo000000ToQJMA0,194765-0,"George Breslaw Plumbing, LLC",417483,194765-0,
a9FDo000000ToQIMA0,8554286-0,T & D Painting,417481,8554286-0,
a9FDo000000ToQHMA0,5860804-0,Art Hulse Plumbing & Heating,417480,5860804-0,
a9FDo000000ToQGMA0,8620918-0,"360 Industrial Solutions, Inc.",417477,8620918-0,
a9FDo000000ToQFMA0,530348-0,Luso Glass Co.,417469,530348-0,
a9FDo000000ToQEMA0,7440903-0,"SDR Plumbing & Heating, Inc.",417464,7440903-0,
a9FDo000000ToQDMA0,8627673-0,Lions Creek Fencing and Masonry,417462,8627673-0,
a9FDo000000ToQCMA0,7353931-0,Executive Dodge Jeep Ram,417461,7353931-0,
a9FDo000000ToQBMA0,7360781-0,Gilman Carpentry,417460,7360781-0,
a9FDo000000ToQAMA0,8820251-0,T & J Electric Corporation,417458,8820251-0,
a9FDo000000ToQbMAK,2601047-0,"CityScape Roofing, Inc.",417531,2601047-0,
a9FDo000000ToOhMAK,8859432-0,Yard Creations LLC,414677,8859432-0,
a9FDo000000ToOvMAK,8566192-0,Ever Clean,414749,8566192-0,
a9FDo000000ToOjMAK,7049776-0,Sierra Plumbing,414687,7049776-0,
a9FDo000000ToOkMAK,1444349-0,"A.C.T.C. Young, Inc.",414691,1444349-0,
a9FDo000000ToOlMAK,8872488-0,SMARTGEN,414694,8872488-0,
a9FDo000000ToOmMAK,5196447-0,MD Plumbing,414695,5196447-0,
a9FDo000000ToOnMAK,2986486-0,Nova Casework,414700,2986486-0,
a9FDo000000ToOoMAK,8547398-0,Dixon Masonry & Restoration,414710,8547398-0,
a9FDo000000ToOpMAK,8877018-0,Crystal Glass & Frame LLC,414728,8877018-0,
a9FDo000000ToOqMAK,5301747-0,Superior Glazing LLC,414729,5301747-0,
a9FDo000000ToOrMAK,8772870-0,Multiwire Inc.,414732,8772870-0,
a9FDo000000ToOsMAK,8874819-0,Topline Carpentry,414734,8874819-0,
a9FDo000000ToOtMAK,8568741-0,Mane Electric LLC,414738,8568741-0,
a9FDo000000ToOuMAK,7646200-0,Good Neighbor Handyman & Construction Services LLC,414746,7646200-0,
a9FDo000000ToOiMAK,5272932-0,Crush Demolition & Concrete Cutting,414684,5272932-0,
a9FDo000000ToODMA0,7525233-0,CDS Insurance Services,414557,7525233-0,
a9FDo000000ToOEMA0,130856-0,"Western Pump, Inc.",414570,130856-0,
a9FDo000000ToOFMA0,8865569-0,Hire Pro Man Inc.,414573,8865569-0,
a9FDo000000ToOGMA0,5725006-0,"Oasis Trade, Inc.",414575,5725006-0,
a9FDo000000ToOHMA0,6678851-0,Superior Maintenance Enterprise,414580,6678851-0,
a9FDo000000ToOIMA0,603192-0,AmeriCore Concrete Sawing & Coring,414582,603192-0,
a9FDo000000ToOJMA0,8739619-0,OH Plumbing,414585,8739619-0,
a9FDo000000ToOKMA0,8627582-0,"My Floor Fix, Inc.",414589,8627582-0,
a9FDo000000ToOLMA0,1152928-0,Candee Electric,414592,1152928-0,
a9FDo000000ToOMMA0,8566642-0,JEC Electric Inc.,414593,8566642-0,
a9FDo000000ToONMA0,7002991-0,"Let It Glow, Inc.",414596,7002991-0,
a9FDo000000ToOOMA0,709487-0,System 7 Chemical,414598,709487-0,
a9FDo000000ToOPMA0,6379473-0,"Eagle Industrial Group, Inc.",414599,6379473-0,
a9FDo000000ToOQMA0,7975690-0,KMP Construction,414600,7975690-0,
a9FDo000000ToORMA0,8523157-0,"Trademark Staffing, Inc.",414602,8523157-0,
a9FDo000000ToOSMA0,5476613-0,Cool Air Refrigeration,414606,5476613-0,
a9FDo000000ToOTMA0,1912703-0,Adolfo's Contractor Corp.,414611,1912703-0,
a9FDo000000ToOUMA0,8729695-0,Pacific Paintworks LLC,414618,8729695-0,
a9FDo000000ToOVMA0,8727587-0,Mendez Building Service LLC,414621,8727587-0,
a9FDo000000ToOWMA0,7826535-0,Mattco,414633,7826535-0,
a9FDo000000ToOXMA0,4444073-0,"Harry's Carpets, Inc.",414637,4444073-0,
a9FDo000000ToOYMA0,6007655-0,Fine Line Tile,414639,6007655-0,
a9FDo000000ToOZMA0,4179207-0,Ad Art Sign Co.,414641,4179207-0,
a9FDo000000ToOaMAK,8769406-0,Smith & Son Construction,414650,8769406-0,
a9FDo000000ToObMAK,8532570-0,"SUPERConstructors, Inc.",414657,8532570-0,
a9FDo000000ToOcMAK,1367268-0,Roofing & Gutter Busters Inc.,414661,1367268-0,
