Id,Name
a9FDo000000TuMjMAK,3098127
a9FDo000000TuAzMAK,1331556
a9FDo000000TtgeMAC,9016821
a9FDo000000TtfcMAC,9014030
a9FDo000000TtV2MAK,576671
a9FDo000000TtPNMA0,2050618
a9FDo000000TtGgMAK,763048
a9FDo000000TtFaMAK,267109
a9FDo000000TsrzMAC,8043765
a9FDo000000TsOkMAK,6712974
a9FDo000000Tr2QMAS,4723902
a9FDo000000TqtSMAS,2459020
a9FDo000000TqWoMAK,697680
a9FDo000000TpFWMA0,9015904
a9FDo000000TpFbMAK,9021632
a9FDo000000TpFcMAK,8041947
a9FDo000000TpFKMA0,9021487
a9FDo000000TpEgMAK,8958024
a9FDo000000TpELMA0,9017224
a9FDo000000TpEOMA0,2073966
a9FDo000000TpDcMAK,9011561
a9FDo000000TpDPMA0,4702262
a9FDo000000TpCrMAK,973040
a9FDo000000TpCpMAK,8642090
a9FDo000000TpCqMAK,6567103
a9FDo000000ToZGMA0,872855-0
a9FDo000000ToZFMA0,318627-0
a9FDo000000ToZDMA0,D00144777
a9FDo000000ToTGMA0,D00144347
a9FDo000000ToRBMA0,8317180-0
a9FDo000000ToRCMA0,1225944-0
a9FDo000000ToRDMA0,8546695-0
a9FDo000000ToREMA0,5222305-0
a9FDo000000ToRFMA0,7806118-0
a9FDo000000ToRGMA0,6791408-0
a9FDo000000ToRHMA0,8551542-0
a9FDo000000ToRIMA0,235341-0
a9FDo000000ToRJMA0,1413612-0
a9FDo000000ToRKMA0,1902830-0
a9FDo000000ToRLMA0,827631-0
a9FDo000000ToRMMA0,971121-0
a9FDo000000ToR7MAK,8544670-0
a9FDo000000ToR8MAK,6269708-0
a9FDo000000ToR9MAK,8570754-0
a9FDo000000ToRAMA0,8701012-0
a9FDo000000ToQdMAK,8575699-0
a9FDo000000ToQeMAK,8046619-0
a9FDo000000ToR6MAK,4812742-0
a9FDo000000ToR5MAK,7680679-0
a9FDo000000ToR4MAK,7391822-0
a9FDo000000ToR3MAK,7673789-0
a9FDo000000ToR2MAK,4316040-0
a9FDo000000ToR1MAK,5906535-0
a9FDo000000ToR0MAK,7965834-0
a9FDo000000ToQzMAK,7916740-0
a9FDo000000ToQyMAK,8633750-0
a9FDo000000ToQxMAK,7291822-0
a9FDo000000ToQwMAK,7122561-0
a9FDo000000ToQvMAK,8725083-0
a9FDo000000ToQuMAK,3281100-0
a9FDo000000ToQtMAK,8083237-0
a9FDo000000ToQsMAK,456372-0
a9FDo000000ToQrMAK,8288299-0
a9FDo000000ToQqMAK,8639302-0
a9FDo000000ToQpMAK,8543980-0
a9FDo000000ToQoMAK,5966599-0
a9FDo000000ToQnMAK,7869775-0
a9FDo000000ToQmMAK,8495814-0
a9FDo000000ToQlMAK,905817-0
a9FDo000000ToQkMAK,6059845-0
a9FDo000000ToQjMAK,8708695-0
a9FDo000000ToQiMAK,8406159-0
a9FDo000000ToQhMAK,7813091-0
a9FDo000000ToQgMAK,6270350-0
a9FDo000000ToQfMAK,2292448-0
a9FDo000000ToQ9MAK,8632845-0
a9FDo000000ToQcMAK,8911386-0
a9FDo000000ToQaMAK,496154-0
a9FDo000000ToQZMA0,4247579-0
a9FDo000000ToQYMA0,7262085-0
a9FDo000000ToQXMA0,8411253-0
a9FDo000000ToQWMA0,8544713-0
a9FDo000000ToQVMA0,8033888-0
a9FDo000000ToQUMA0,7225807-0
a9FDo000000ToQTMA0,5237218-0
a9FDo000000ToQSMA0,8861810-0
a9FDo000000ToQRMA0,4808520-0
a9FDo000000ToQQMA0,1029586-0
a9FDo000000ToQPMA0,7985618-0
a9FDo000000ToQOMA0,179344-0
a9FDo000000ToQNMA0,7400057-0
a9FDo000000ToQMMA0,8311098-0
a9FDo000000ToQLMA0,5752520-0
a9FDo000000ToQKMA0,7406992-0
a9FDo000000ToQJMA0,194765-0
a9FDo000000ToQIMA0,8554286-0
a9FDo000000ToQHMA0,5860804-0
a9FDo000000ToQGMA0,8620918-0
a9FDo000000ToQFMA0,530348-0
a9FDo000000ToQEMA0,7440903-0
a9FDo000000ToQDMA0,8627673-0
a9FDo000000ToQCMA0,7353931-0
a9FDo000000ToQBMA0,7360781-0
a9FDo000000ToQAMA0,8820251-0
a9FDo000000ToQbMAK,2601047-0
a9FDo000000ToOhMAK,8859432-0
a9FDo000000ToOvMAK,8566192-0
a9FDo000000ToOjMAK,7049776-0
a9FDo000000ToOkMAK,1444349-0
a9FDo000000ToOlMAK,8872488-0
a9FDo000000ToOmMAK,5196447-0
a9FDo000000ToOnMAK,2986486-0
a9FDo000000ToOoMAK,8547398-0
a9FDo000000ToOpMAK,8877018-0
a9FDo000000ToOqMAK,5301747-0
a9FDo000000ToOrMAK,8772870-0
a9FDo000000ToOsMAK,8874819-0
a9FDo000000ToOtMAK,8568741-0
a9FDo000000ToOuMAK,7646200-0
a9FDo000000ToOiMAK,5272932-0
a9FDo000000ToODMA0,7525233-0
a9FDo000000ToOEMA0,130856-0
a9FDo000000ToOFMA0,8865569-0
a9FDo000000ToOGMA0,5725006-0
a9FDo000000ToOHMA0,6678851-0
a9FDo000000ToOIMA0,603192-0
a9FDo000000ToOJMA0,8739619-0
a9FDo000000ToOKMA0,8627582-0
a9FDo000000ToOLMA0,1152928-0
a9FDo000000ToOMMA0,8566642-0
a9FDo000000ToONMA0,7002991-0
a9FDo000000ToOOMA0,709487-0
a9FDo000000ToOPMA0,6379473-0
a9FDo000000ToOQMA0,7975690-0
a9FDo000000ToORMA0,8523157-0
a9FDo000000ToOSMA0,5476613-0
a9FDo000000ToOTMA0,1912703-0
a9FDo000000ToOUMA0,8729695-0
a9FDo000000ToOVMA0,8727587-0
a9FDo000000ToOWMA0,7826535-0
a9FDo000000ToOXMA0,4444073-0
a9FDo000000ToOYMA0,6007655-0
a9FDo000000ToOZMA0,4179207-0
a9FDo000000ToOaMAK,8769406-0
a9FDo000000ToObMAK,8532570-0
a9FDo000000ToOcMAK,1367268-0
a9FDo000000ToOdMAK,6073224-0
a9FDo000000ToOeMAK,5209568-0
a9FDo000000ToOfMAK,252340-0
a9FDo000000ToOgMAK,8613929-0
a9FDo000000ToNvMAK,5949797-0
a9FDo000000ToNwMAK,7973263-0
a9FDo000000ToNtMAK,2788971-0
a9FDo000000ToNsMAK,7625070-0
a9FDo000000ToNrMAK,8341366-0
a9FDo000000ToNqMAK,8567678-0
a9FDo000000ToOCMA0,7672175-0
a9FDo000000ToOBMA0,5670253-0
a9FDo000000ToOAMA0,8049668-0
a9FDo000000ToO9MAK,472746-0
a9FDo000000ToO8MAK,8321551-0
a9FDo000000ToO7MAK,8758119-0
a9FDo000000ToO6MAK,5248871-0
a9FDo000000ToO5MAK,8703620-0
a9FDo000000ToO4MAK,8819391-0
a9FDo000000ToO3MAK,8564784-0
a9FDo000000ToO2MAK,7433-0
a9FDo000000ToO1MAK,7071104-0
a9FDo000000ToO0MAK,8691687-0
a9FDo000000ToNpMAK,7408760-0
a9FDo000000ToNoMAK,5222306-0
a9FDo000000ToNnMAK,5768301-0
a9FDo000000ToNmMAK,8316073-0
a9FDo000000ToNlMAK,8618119-0
a9FDo000000ToNkMAK,7337300-0
a9FDo000000ToNjMAK,8861359-0
a9FDo000000ToNzMAK,8627442-0
a9FDo000000ToNyMAK,4988015-0
a9FDo000000ToNxMAK,7525981-0
a9FDo000000ToNuMAK,2611308-0
a9FDo000000ToNXMA0,8884639-0
a9FDo000000ToNWMA0,8262284-0
a9FDo000000ToNVMA0,8783587-0
a9FDo000000ToNUMA0,4329388-0
a9FDo000000ToNTMA0,423332-0
a9FDo000000ToNSMA0,129254-0
a9FDo000000ToNRMA0,5719328-0
a9FDo000000ToNQMA0,2474614-0
a9FDo000000ToNPMA0,8652725-0
a9FDo000000ToNOMA0,8765255-0
a9FDo000000ToNNMA0,7370301-0
a9FDo000000ToNMMA0,7785393-0
a9FDo000000ToNLMA0,5319483-0
a9FDo000000ToNKMA0,8754916-0
a9FDo000000ToNJMA0,7224140-0
a9FDo000000ToNIMA0,8387507-0
a9FDo000000ToNHMA0,6191585-0
a9FDo000000ToNGMA0,5132724-0
a9FDo000000ToNFMA0,8778244-0
a9FDo000000ToNiMAK,2263465-0
a9FDo000000ToNhMAK,3640458-0
a9FDo000000ToNgMAK,8887286-0
a9FDo000000ToNYMA0,8617329-0
a9FDo000000ToNeMAK,8269074-0
a9FDo000000ToNdMAK,5258510-0
a9FDo000000ToNcMAK,1083629-0
a9FDo000000ToNbMAK,8606893-0
a9FDo000000ToNaMAK,7409732-0
a9FDo000000ToNZMA0,8035117-0
a9FDo000000ToNfMAK,8608577-0
a9FDo000000ToN3MAK,6241161-0
a9FDo000000ToN2MAK,4985981-0
a9FDo000000ToN5MAK,274396-0
a9FDo000000ToN6MAK,458265-0
a9FDo000000ToN7MAK,6479855-0
a9FDo000000ToN8MAK,7247409-0
a9FDo000000ToN9MAK,2463069-0
a9FDo000000ToNAMA0,8893550-0
a9FDo000000ToNBMA0,8772831-0
a9FDo000000ToNCMA0,8775508-0
a9FDo000000ToNDMA0,8877015-0
a9FDo000000ToNEMA0,5781748-0
a9FDo000000ToMlMAK,6666618-0
a9FDo000000ToMmMAK,8922626-0
a9FDo000000ToMnMAK,8574344-0
a9FDo000000ToMoMAK,26597-0
a9FDo000000ToMpMAK,116147-0
a9FDo000000ToMqMAK,8776494-0
a9FDo000000ToMrMAK,8723665-0
a9FDo000000ToMsMAK,8857212-0
a9FDo000000ToMtMAK,8890957-0
a9FDo000000ToMuMAK,885444-0
a9FDo000000ToMvMAK,7137777-0
a9FDo000000ToMwMAK,24042-0
a9FDo000000ToMxMAK,6173408-0
a9FDo000000ToMyMAK,702061-0
a9FDo000000ToMzMAK,7792049-0
a9FDo000000ToN0MAK,825849-0
a9FDo000000ToN1MAK,2091373-0
a9FDo000000ToN4MAK,681022-0
a9FDo000000ToMHMA0,157169-0
a9FDo000000ToMIMA0,6057091-0
a9FDo000000ToMJMA0,8894154-0
a9FDo000000ToMKMA0,8943907-0
a9FDo000000ToMLMA0,162201-0
a9FDo000000ToMMMA0,8733375-0
a9FDo000000ToMNMA0,8893890-0
a9FDo000000ToMOMA0,8043627-0
a9FDo000000ToMPMA0,4465505-0
a9FDo000000ToMQMA0,593899-0
a9FDo000000ToMRMA0,8925195-0
