Id,breadwinner_ns__Salesforce_Account__c
a98DI0000004k4pYAA,0013i00000TF2HGAA1
a98DI0000004k4oYAA,0013i00000TF2HFAA1
a98DI0000004k4nYAA,0013i00000TF2HEAA1
a98DI0000004jwOYAQ,0013i00000TF2HDAA1
a98DI0000004jwMYAQ,0013i00000TF2HBAA1
a98DI0000004jwLYAQ,0013i00000TF2HAAA1
a98DI0000004jwKYAQ,0013i00000TF2H9AAL
a98DI0000004jwJYAQ,0013i00000TF2H8AAL
a98DI0000004jwIYAQ,0013i00000TF2H7AAL
a98DI0000004jwHYAQ,0013i00000TF2H6AAL
a98DI0000004jwGYAQ,0013i00000TF2H5AAL
a98DI0000004jwFYAQ,0013i00000TF2H4AAL
a98DI0000004hkEYAQ,0013i00000TD6LcAAL
a98DI0000004jzEYAQ,0013i00000TF2H3AAL
a98DI0000004jzDYAQ,0013i00000TF2H2AAL
a98DI0000004jzCYAQ,0013i00000TF2H1AAL
a98DI0000004jwEYAQ,0013i00000TF2H0AAL
a98DI0000004jzBYAQ,0013i00000TF2GzAAL
a98DI0000004jz9YAA,0013i00000TF2GxAAL
a98DI0000004jz8YAA,0013i00000TF2GwAAL
a98DI0000004jz6YAA,0013i00000TF2GuAAL
a98DI0000004jz5YAA,0013i00000TF2GtAAL
a98DI0000004k2EYAQ,0013i00000TF2GsAAL
a98DI0000004ku0YAA,0013i00000TF3EoAAL
a98DI0000004jz3YAA,0013i00000TF2GrAAL
a98DI0000004jz4YAA,0013i00000TF2GqAAL
a98DI0000004jz2YAA,0013i00000TF2GpAAL
a98DI0000004jz1YAA,0013i00000TF2GoAAL
a98DI0000004jz0YAA,0013i00000TF2GnAAL
a98DI0000004jyzYAA,0013i00000TF2GmAAL
a98DI0000004k2DYAQ,0013i00000TF2GlAAL
a98DI0000004k2CYAQ,0013i00000TF2GkAAL
a98DI0000004k2BYAQ,0013i00000TF2GjAAL
a98DI0000004k2AYAQ,0013i00000TF2GiAAL
a98DI0000004k29YAA,0013i00000TF2GhAAL
a98DI0000004k28YAA,0013i00000TF2GgAAL
a98DI0000004k27YAA,0013i00000TF2GfAAL
a98DI0000004hkDYAQ,0013i00000TD6LbAAL
a98DI0000004LU6YAM,0013i0000072ObFAAU
a98DI0000004jwCYAQ,0013i00000TF2GdAAL
a98DI0000004k26YAA,0013i00000TF2GcAAL
a98DI0000004jwBYAQ,0013i00000TF2GbAAL
a98DI0000004jwAYAQ,0013i00000TF2GaAAL
a98DI0000004jw9YAA,0013i00000TF2GZAA1
a98DI0000004jw8YAA,0013i00000TF2GYAA1
a98DI0000004jw7YAA,0013i00000TF2GXAA1
a98DI0000004jw6YAA,0013i00000TF2GWAA1
a98DI0000004jw5YAA,0013i00000TF2GVAA1
a98DI0000004jw4YAA,0013i00000TF2GUAA1
a98DI0000004jw3YAA,0013i00000TF2GTAA1
a98DI0000004k4mYAA,0013i00000TF2GSAA1
a98DI0000004hhjYAA,0013i00000TCbIWAA1
a98DI0000004jw2YAA,0013i00000TF2GRAA1
a98DI0000004gWkYAI,0013i00000TCXIGAA5
a98DI0000004fFzYAI,0013i00000TCVcnAAH
a98DI0000004flOYAQ,0013i00000TCVysAAH
a98DI0000004k3CYAQ,0013i00000TF2GQAA1
a98DI0000004k4lYAA,0013i00000TF2GPAA1
a98DI0000004jyIYAQ,0013i00000TF2GOAA1
a98DI0000004jyHYAQ,0013i00000TF2GNAA1
a98DI0000004jyGYAQ,0013i00000TF2GMAA1
a98DI0000004k3BYAQ,0013i00000TF2GLAA1
a98DI0000004jGbYAI,0013i00000TF2D1AAL
a98DI0000004jGaYAI,0013i00000TF2D0AAL
a98DI0000004u2iYAA,0013i00002RpwZOAAZ
a98DI0000004u2jYAA,0013i00002c0emcAAA
a98DI0000004u2kYAA,0013i00002RqFqhAAF
a98DI0000004u2lYAA,0013i00002KrM4HAAV
a98DI0000004u2mYAA,0013i00002Z5I10AAF
a98DI0000004u2nYAA,0013i0000269x6vAAA
a98DI0000004u2oYAA,0013i000006zIhmAAE
a98DI0000004u2pYAA,0013i00002Z4mcSAAR
a98DI0000004JmnYAE,0013i0000072NTbAAM
a98DI0000004u2qYAA,0013i00002RqTVbAAN
a98DI0000004u2rYAA,0013i00002KrP2BAAV
a98DI0000004u2sYAA,0013i00002RovCyAAJ
a98DI0000004u2tYAA,0013i00002RptxGAAR
a98DI0000004u2uYAA,0013i00002RooazAAB
a98DI0000004u2vYAA,0013i00002Z6s2CAAR
a98DI0000004u2wYAA,0013i00002Z5IyaAAF
a98DI0000004Lz0YAE,0013i0000071wTXAAY
a98DI0000004u2xYAA,0013i00002Z73zEAAR
a98DI0000004u2yYAA,0013i00002KrjxFAAR
a98DI0000004teTYAQ,0013i00002RoVEjAAN
a98DI0000004IegYAE,0013i00002RoTSZAA3
a98DI0000004XaIYAU,0013i0000071qJiAAI
a98DI0000004u2zYAA,0013i00002RohQOAAZ
a98DI0000004u30YAA,0013i00002Z46fuAAB
a98DI0000004MIyYAM,0013i0000071lJIAAY
a98DI0000004scDYAQ,0013i0000071lJIAAY
a98DI0000004u31YAA,0013i00002KrTY1AAN
a98DI0000004u32YAA,0013i00002RozWUAAZ
a98DI0000004u33YAA,0013i00002Z4QNPAA3
a98DI0000004YU6YAM,0013i00000GnbobAAB
a98DI0000004u34YAA,0013i00002RqNcrAAF
a98DI0000004u35YAA,0013i00002RoOE9AAN
a98DI0000004u36YAA,0013i00002Z6ehFAAR
a98DI0000004u37YAA,0013i00002KrabDAAR
a98DI0000004WWoYAM,0013i00000D3vvnAAB
a98DI0000004GgrYAE,0013i0000072NcfAAE
a98DI0000004QfTYAU,0013i0000071xNKAAY
a98DI0000004u38YAA,0013i00002RqIsZAAV
a98DI0000004u39YAA,0013i00002RoYwqAAF
a98DI0000004u3AYAQ,0013i00002RoKbAAAV
a98DI0000004jrVYAQ,0013i00000TF2CzAAL
a98DI0000004gz7YAA,0013i00000TCXkvAAH
a98DI0000004u3BYAQ,0013i00002Z43ZwAAJ
