Id,breadwinner_ns__TranDate__c
a9FDI000000ELDt2AO,2022-12-01
a9FDI000000ELEB2A4,2022-12-01
a9FDI000000EV0F2AW,2022-12-01
a9FDI000000EV0a2AG,2022-12-01
a9FDI000000EUya2AG,2022-12-01
a9FDI000000EUxs2AG,2022-12-01
a9FDI000000EUvG2AW,2022-12-01
a9FDI000000EV282AG,2022-12-01
a9FDI000000EV2b2AG,2022-12-01
a9FDI000000EUxh2AG,2022-12-01
a9FDI000000EV2z2AG,2022-12-01
a9FDI000000EUuc2AG,2022-12-01
a9FDI000000EV4f2AG,2022-12-01
a9FDI000000ETNM2A4,2022-11-30
a9FDI000000ETOI2A4,2022-11-30
a9FDI000000ETNb2AO,2022-11-30
a9FDI000000ETNe2AO,2022-11-30
a9FDI000000ETMs2AO,2022-11-30
a9FDI000000ETMt2AO,2022-11-30
a9FDI000000ETMA2A4,2022-11-30
a9FDI000000ETMB2A4,2022-11-30
a9FDI000000ETLu2AO,2022-11-30
a9FDI000000ETM12AO,2022-11-30
a9FDI000000ETNi2AO,2022-11-30
a9FDI000000ETNT2A4,2022-11-30
a9FDI000000ETMO2A4,2022-11-30
a9FDI000000ETMP2A4,2022-11-30
a9FDI000000ETMQ2A4,2022-11-30
a9FDI000000ETMR2A4,2022-11-30
a9FDI000000ETMS2A4,2022-11-30
a9FDI000000ETMd2AO,2022-11-30
a9FDI000000ETMe2AO,2022-11-30
a9FDI000000ETNq2AO,2022-11-30
a9FDI000000ETNr2AO,2022-11-30
a9FDI000000ETNs2AO,2022-11-30
a9FDI000000ETNt2AO,2022-11-30
a9FDI000000ETO62AO,2022-11-30
a9FDI000000ETOB2A4,2022-11-30
a9FDI000000ETOE2A4,2022-11-30
a9FDI000000ETOF2A4,2022-11-30
a9FDI000000ETNZ2A4,2022-11-30
a9FDI000000EUu12AG,2022-11-27
a9FDI000000EUuA2AW,2022-11-26
a9FDI000000EUuC2AW,2022-11-25
a9FDI000000EUu62AG,2022-11-25
a9FDI000000EUyz2AG,2022-11-23
a9FDI000000EUyY2AW,2022-11-23
a9FDI000000EUtc2AG,2022-11-23
a9FDI000000EUtb2AG,2022-11-23
a9FDI000000EUrc2AG,2022-11-20
a9FDI000000EUre2AG,2022-11-20
a9FDI000000EUrd2AG,2022-11-20
a9FDI000000EUrg2AG,2022-11-19
a9FDI000000EUrb2AG,2022-11-19
a9FDI000000EUrY2AW,2022-11-19
a9FDI000000EUwN2AW,2022-11-18
a9FDI000000EUrf2AG,2022-11-18
a9FDI000000EUrZ2AW,2022-11-18
a9FDI000000ELDn2AO,2022-11-15
a9FDI000000EUvv2AG,2022-11-13
a9FDI000000EUr42AG,2022-11-13
a9FDI000000EUvw2AG,2022-11-13
a9FDI000000EUvt2AG,2022-11-12
a9FDI000000EUr52AG,2022-11-12
a9FDI000000EUvu2AG,2022-11-12
a9FDI000000EUwK2AW,2022-11-11
a9FDI000000EUvy2AG,2022-11-11
a9FDI000000EUqc2AG,2022-11-10
a9FDI000000EUqg2AG,2022-11-10
a9FDI000000EUw02AG,2022-11-10
a9FDI000000EUvq2AG,2022-11-10
a9FDI000000EUvX2AW,2022-11-10
a9FDI000000EUr02AG,2022-11-10
a9FDI000000EUvl2AG,2022-11-09
a9FDI000000EUvY2AW,2022-11-06
a9FDI000000EUqk2AG,2022-11-05
a9FDI000000EUva2AG,2022-11-05
a9FDI000000EUqw2AG,2022-11-05
a9FDI000000EUqi2AG,2022-11-04
a9FDI000000ETDq2AO,2022-11-03
a9FDI000000EUvQ2AW,2022-11-03
a9FDI000000EVAI2A4,2022-11-01
a9FDI000000EVAk2AO,2022-11-01
a9FDI000000EVAL2A4,2022-11-01
a9FDI000000EVAM2A4,2022-11-01
a9FDI000000EVEz2AO,2022-11-01
a9FDI000000EVF02AO,2022-11-01
a9FDI000000EVF12AO,2022-11-01
a9FDI000000EVF32AO,2022-11-01
a9FDI000000EVEe2AO,2022-11-01
a9FDI000000EVD82AO,2022-11-01
a9FDI000000EVD92AO,2022-11-01
a9FDI000000EVDB2A4,2022-11-01
a9FDI000000EVDG2A4,2022-11-01
a9FDI000000EVDM2A4,2022-11-01
a9FDI000000EVDN2A4,2022-11-01
a9FDI000000EVDX2A4,2022-11-01
a9FDI000000EVDa2AO,2022-11-01
a9FDI000000EVDb2AO,2022-11-01
a9FDI000000EVCj2AO,2022-11-01
a9FDI000000EVCk2AO,2022-11-01
a9FDI000000EVCm2AO,2022-11-01
a9FDI000000EVCn2AO,2022-11-01
a9FDI000000EVCq2AO,2022-11-01
a9FDI000000EVCr2AO,2022-11-01
a9FDI000000EVCz2AO,2022-11-01
a9FDI000000EVD42AO,2022-11-01
a9FDI000000EVG92AO,2022-11-01
a9FDI000000EVGB2A4,2022-11-01
a9FDI000000EVGD2A4,2022-11-01
a9FDI000000EUs62AG,2022-11-01
a9FDI000000EUTh2AO,2022-11-01
a9FDI000000EV9U2AW,2022-11-01
a9FDI000000EVBj2AO,2022-11-01
a9FDI000000EVBk2AO,2022-11-01
a9FDI000000EVBl2AO,2022-11-01
a9FDI000000EVBp2AO,2022-11-01
a9FDI000000EVBq2AO,2022-11-01
a9FDI000000EVBr2AO,2022-11-01
a9FDI000000EV8q2AG,2022-11-01
a9FDI000000EVBs2AO,2022-11-01
a9FDI000000EVBy2AO,2022-11-01
a9FDI000000EVBz2AO,2022-11-01
a9FDI000000EV8z2AG,2022-11-01
a9FDI000000EVC22AO,2022-11-01
a9FDI000000EVC32AO,2022-11-01
a9FDI000000EUsz2AG,2022-11-01
a9FDI000000EV982AG,2022-11-01
a9FDI000000EUt72AG,2022-11-01
a9FDI000000EV9H2AW,2022-11-01
a9FDI000000EVAU2A4,2022-11-01
a9FDI000000EVAg2AO,2022-11-01
a9FDI000000EVCE2A4,2022-11-01
a9FDI000000EVCG2A4,2022-11-01
a9FDI000000EVCH2A4,2022-11-01
a9FDI000000EVCI2A4,2022-11-01
a9FDI000000EUq92AG,2022-11-01
a9FDI000000EUnn2AG,2022-11-01
a9FDI000000EUo32AG,2022-11-01
a9FDI000000EUo42AG,2022-11-01
a9FDI000000EV9q2AG,2022-11-01
a9FDI000000EV9r2AG,2022-11-01
a9FDI000000EV9s2AG,2022-11-01
a9FDI000000EV9t2AG,2022-11-01
a9FDI000000EUtZ2AW,2022-11-01
a9FDI000000EVFB2A4,2022-11-01
a9FDI000000EUto2AG,2022-11-01
a9FDI000000EVFH2A4,2022-11-01
a9FDI000000EVFM2A4,2022-11-01
