Id,breadwinner_ns__TranDate__c
a9TDI000000D4fY2AS,2022-09-01
a9TDI000000D4Gx2AK,2022-09-01
a9TDI000000D6Wc2AK,2022-09-01
a9TDI000000D6dx2AC,2022-09-01
a9TDI000000D4HR2A0,2022-09-01
a9TDI000000D4SL2A0,2022-09-01
a9TDI000000D4SX2A0,2022-09-01
a9TDI000000D78Z2AS,2022-09-01
a9TDI000000D78r2AC,2022-09-01
a9TDI000000D6VR2A0,2022-09-01
a9TDI000000D6VX2A0,2022-09-01
a9TDI000000D6Va2AK,2022-09-01
a9TDI000000D6Vn2AK,2022-09-01
a9TDI000000D6t72AC,2022-09-01
a9TDI000000D7Bg2AK,2022-09-01
a9TDI000000D7Bl2AK,2022-09-01
a9TDI000000D4S52AK,2022-09-01
a9TDI000000D4S62AK,2022-09-01
a9TDI000000D4S72AK,2022-09-01
a9TDI000000D6tM2AS,2022-09-01
a9TDI000000D4F12AK,2022-09-01
a9TDI000000D4Sc2AK,2022-09-01
a9TDI000000D4Sd2AK,2022-09-01
a9TDI000000D4Se2AK,2022-09-01
a9TDI000000D4Sf2AK,2022-09-01
a9TDI000000D4Sg2AK,2022-09-01
a9TDI000000D4Sh2AK,2022-09-01
a9TDI000000D4Sj2AK,2022-09-01
a9TDI000000D4Sk2AK,2022-09-01
a9TDI000000D4Sl2AK,2022-09-01
a9TDI000000D4Sm2AK,2022-09-01
a9TDI000000D4Sn2AK,2022-09-01
a9TDI000000D4So2AK,2022-09-01
a9TDI000000D4Sp2AK,2022-09-01
a9TDI000000D4Sq2AK,2022-09-01
a9TDI000000D4T02AK,2022-09-01
a9TDI000000D6eg2AC,2022-09-01
a9TDI000000D4SZ2A0,2022-09-01
a9TDI000000D4Sa2AK,2022-09-01
a9TDI000000D4Sb2AK,2022-09-01
a9TDI000000D6Uv2AK,2022-09-01
a9TDI000000D0Wd2AK,2022-09-01
a9TDI000000D42R2AS,2022-09-01
a9TDI000000D42T2AS,2022-09-01
a9TDI000000D42U2AS,2022-09-01
a9TDI000000D42V2AS,2022-09-01
a9TDI000000D6Qi2AK,2022-09-01
a9TDI000000D3sy2AC,2022-09-01
a9TDI000000Cxp32AC,2022-09-01
a9TDI000000Cxke2AC,2022-09-01
a9TDI000000Cxw82AC,2022-09-01
a9TDI000000CxqE2AS,2022-09-01
a9TDI000000Cxno2AC,2022-09-01
a9TDI000000Cxql2AC,2022-09-01
a9TDI000000CxxZ2AS,2022-09-01
a9TDI000000Cxsu2AC,2022-09-01
a9TDI000000Cxrk2AC,2022-09-01
a9TDI000000Cxrm2AC,2022-09-01
a9TDI000000D48F2AS,2022-09-01
a9TDI000000D6gY2AS,2022-09-01
a9TDI000000D6Sl2AK,2022-09-01
a9TDI000000D6Sg2AK,2022-09-01
a9TDI000000D7CL2A0,2022-09-01
a9TDI000000D6aL2AS,2022-09-01
a9TDI000000D6vE2AS,2022-09-01
a9TDI000000D72k2AC,2022-09-01
a9TDI000000D7Mt2AK,2022-09-01
a9TDI000000D6pq2AC,2022-09-01
a9TDI000000D72s2AC,2022-09-01
a9TDI000000D6jR2AS,2022-09-01
a9TDI000000D6pj2AC,2022-09-01
a9TDI000000D72F2AS,2022-09-01
a9TDI000000D72G2AS,2022-09-01
a9TDI000000D6tl2AC,2022-09-01
a9TDI000000D6tu2AC,2022-09-01
a9TDI000000D79p2AC,2022-09-01
a9TDI000000D72Y2AS,2022-09-01
a9TDI000000D79f2AC,2022-09-01
a9TDI000000D79n2AC,2022-09-01
a9TDI000000D7Uk2AK,2022-09-01
a9TDI000000D7US2A0,2022-09-01
a9TDI000000D7UT2A0,2022-09-01
a9TDI000000D7Ud2AK,2022-09-01
a9TDI000000D7Ue2AK,2022-09-01
a9TDI000000D7Uf2AK,2022-09-01
a9TDI000000D79V2AS,2022-09-01
a9TDI000000D7JW2A0,2022-09-01
a9TDI000000D6jy2AC,2022-09-01
a9TDI000000D6jz2AC,2022-09-01
a9TDI000000D6nk2AC,2022-09-01
a9TDI000000D6nn2AC,2022-09-01
a9TDI000000D6eQ2AS,2022-09-01
a9TDI000000D6eR2AS,2022-09-01
a9TDI000000D6ue2AC,2022-09-01
a9TDI000000D6ui2AC,2022-09-01
a9TDI000000D6uj2AC,2022-09-01
a9TDI000000D6fd2AC,2022-09-01
a9TDI000000D6iQ2AS,2022-09-01
a9TDI000000D6y12AC,2022-09-01
a9TDI000000D70L2AS,2022-09-01
a9TDI000000D70M2AS,2022-09-01
a9TDI000000D70P2AS,2022-09-01
a9TDI000000D7c72AC,2022-09-01
a9TDI000000D70x2AC,2022-09-01
a9TDI000000D7h22AC,2022-09-01
a9TDI000000D7152AC,2022-09-01
a9TDI000000D6fS2AS,2022-09-01
a9TDI000000D6sC2AS,2022-09-01
a9TDI000000D6ml2AC,2022-09-01
a9TDI000000D6n12AC,2022-09-01
a9TDI000000D6u52AC,2022-09-01
a9TDI000000D6Tc2AK,2022-09-01
a9TDI000000D6Td2AK,2022-09-01
a9TDI000000D6ql2AC,2022-09-01
a9TDI000000D6qv2AC,2022-09-01
a9TDI000000D6f12AC,2022-09-01
a9TDI000000D6Z42AK,2022-09-01
a9TDI000000D6bn2AC,2022-09-01
a9TDI000000D73y2AC,2022-09-01
a9TDI000000D6X52AK,2022-09-01
a9TDI000000D6qN2AS,2022-09-01
a9TDI000000D6XE2A0,2022-09-01
a9TDI000000D6Vv2AK,2022-09-01
a9TDI000000D7Qq2AK,2022-09-01
a9TDI000000D7GL2A0,2022-09-01
a9TDI000000D7Ci2AK,2022-09-01
a9TDI000000D7Y02AK,2022-09-01
a9TDI000000D7Y52AK,2022-09-01
a9TDI000000D7ra2AC,2022-09-01
a9TDI000000D7U62AK,2022-09-01
a9TDI000000D7Pt2AK,2022-09-01
a9TDI000000D7UG2A0,2022-09-01
a9TDI000000D7UH2A0,2022-09-01
a9TDI000000D7UF2A0,2022-09-01
a9TDI000000D7ry2AC,2022-09-01
a9TDI000000D7kL2AS,2022-09-01
a9TDI000000D7ST2A0,2022-09-01
a9TDI000000D7SX2A0,2022-09-01
a9TDI000000D7SZ2A0,2022-09-01
a9TDI000000D75J2AS,2022-09-01
a9TDI000000D7772AC,2022-09-01
a9TDI000000D77H2AS,2022-09-01
a9TDI000000D6xS2AS,2022-09-01
a9TDI000000D6vY2AS,2022-09-01
a9TDI000000D6xX2AS,2022-09-01
a9TDI000000D71y2AC,2022-09-01
a9TDI000000D6vc2AC,2022-09-01
a9TDI000000D6vl2AC,2022-09-01
a9TDI000000D6kZ2AS,2022-09-01
a9TDI000000D76p2AC,2022-09-01
a9TDI000000D6nY2AS,2022-09-01
a9TDI000000D7852AC,2022-09-01
a9TDI000000D78I2AS,2022-09-01
a9TDI000000D78L2AS,2022-09-01
a9TDI000000D7PQ2A0,2022-09-01
a9TDI000000D7872AC,2022-09-01
a9TDI000000D7K12AK,2022-09-01
a9TDI000000D7ES2A0,2022-09-01
a9TDI000000D7ET2A0,2022-09-01
a9TDI000000D7EV2A0,2022-09-01
a9TDI000000D7EX2A0,2022-09-01
a9TDI000000D6rj2AC,2022-09-01
a9TDI000000D7Yf2AK,2022-09-01
a9TDI000000D7Yg2AK,2022-09-01
a9TDI000000D7Eo2AK,2022-09-01
a9TDI000000D7O42AK,2022-09-01
a9TDI000000D7PA2A0,2022-09-01
a9TDI000000D7PB2A0,2022-09-01
a9TDI000000D7Z22AK,2022-09-01
a9TDI000000D7Z82AK,2022-09-01
a9TDI000000D7ku2AC,2022-09-01
a9TDI000000D7kz2AC,2022-09-01
a9TDI000000D77s2AC,2022-09-01
a9TDI000000D7eX2AS,2022-09-01
a9TDI000000D7ok2AC,2022-09-01
a9TDI000000D7bG2AS,2022-09-01
a9TDI000000D7or2AC,2022-09-01
a9TDI000000D7os2AC,2022-09-01
a9TDI000000D6sp2AC,2022-09-01
a9TDI000000D6UO2A0,2022-09-01
a9TDI000000D6U82AK,2022-09-01
a9TDI000000D6UC2A0,2022-09-01
a9TDI000000D6or2AC,2022-09-01
a9TDI000000D6p42AC,2022-09-01
a9TDI000000D6YK2A0,2022-09-01
a9TDI000000D76C2AS,2022-09-01
a9TDI000000D6XK2A0,2022-09-01
a9TDI000000D7AD2A0,2022-09-01
a9TDI000000D7bm2AC,2022-09-01
a9TDI000000D7bs2AC,2022-09-01
a9TDI000000D7d62AC,2022-09-01
a9TDI000000D7Gt2AK,2022-09-01
a9TDI000000D7A62AK,2022-09-01
a9TDI000000D80R2AS,2022-09-01
a9TDI000000D7I02AK,2022-09-01
a9TDI000000D7Kn2AK,2022-09-01
a9TDI000000D7L22AK,2022-09-01
