Id,breadwinner_ns__TranDate__c
a9MDo000000b9lqMAA,2023-05-01
a9MDo000000b9lbMAA,2023-04-01
a9MDo000000b9lcMAA,2023-05-01
a9MDo000000b9laMAA,2023-02-01
a9MDo000000b9lxMAA,2023-05-14
a9MDo000000b9lkMAA,2023-04-01
a9MDo000000b9ljMAA,2023-04-01
a9MDo000000b9lpMAA,2023-05-01
a9MDo000000b9lhMAA,2023-04-01
a9MDo000000b9lgMAA,2023-04-01
a9MDo000000b9loMAA,2023-04-30
a9MDo000000b9lmMAA,2023-05-01
a9MDo000000b9llMAA,2023-04-21
a9MDo000000b9lZMAQ,2023-04-30
a9MDo000000b9lYMAQ,2023-03-31
a9MDo000000b9lXMAQ,2023-02-28
a9MDo000000b9lWMAQ,2023-01-31
a9MDo000000b9lfMAA,2023-05-01
a9MDo000000b9leMAA,2023-04-01
a9MDo000000b9ldMAA,2023-02-01
a9MDo000000b9lnMAA,2023-05-01
a9MDo000000b9mFMAQ,2023-05-14
a9MDo000000b9mAMAQ,2023-05-14
a9MDo000000b9ltMAA,2023-05-14
a9MDo000000b9mGMAQ,2023-05-14
a9MDo000000b9m8MAA,2023-05-14
a9MDo000000b9mHMAQ,2023-05-14
a9MDo000000b9mBMAQ,2023-05-14
a9MDo000000b9m2MAA,2023-05-14
a9MDo000000b9m6MAA,2023-05-14
a9MDo000000b9m0MAA,2023-05-14
a9MDo000000b9lzMAA,2023-05-14
a9MDo000000b9lsMAA,2023-05-14
a9MDo000000b9m4MAA,2023-05-14
a9MDo000000b9lwMAA,2023-05-14
a9MDo000000b9mDMAQ,2023-05-14
a9MDo000000b9lyMAA,2023-05-14
a9MDo000000b9m9MAA,2023-05-14
a9MDo000000b9lvMAA,2023-05-14
a9MDo000000b9mEMAQ,2023-05-14
a9MDo000000b9m5MAA,2023-05-14
a9MDo000000b9luMAA,2023-05-14
a9MDo000000b9m7MAA,2023-05-14
a9MDo000000b9m3MAA,2023-05-14
a9MDo000000b9mCMAQ,2023-05-14
a9MDo000000b9m1MAA,2023-05-14
a9MDo000000b9lVMAQ,2023-05-12
a9MDo000000b9lrMAA,2023-05-06
a9MDo000000b9liMAA,2023-04-01
