Id,breadwinner_ns__TranDate__c
a9aDo000000DOa3IAG,2022-01-01
a9aDo000000DObVIAW,2021-06-01
a9aDo000000DOZoIAO,2021-06-01
a9aDo000000DObqIAG,2022-03-01
a9aDo000000DOY0IAO,2022-02-01
a9aDo000000DOXtIAO,2022-12-01
a9aDo000000DObWIAW,2021-12-01
a9aDo000000DOYkIAO,2022-11-01
a9aDo000000DOZfIAO,2021-05-01
a9aDo000000DOa7IAG,2022-09-01
a9aDo000000DOc2IAG,2021-04-01
a9aDo000000DOcDIAW,2022-10-01
a9aDo000000DObsIAG,2021-05-01
a9aDo000000DOZ5IAO,2022-08-01
a9aDo000000DOaAIAW,2021-05-01
a9aDo000000DOZdIAO,2021-10-01
a9aDo000000DObXIAW,2021-04-01
a9aDo000000DOc6IAG,2022-03-01
a9aDo000000DOcCIAW,2022-11-01
a9aDo000000DOb1IAG,2022-01-01
a9aDo000000DOYtIAO,2021-03-01
a9aDo000000DOYHIA4,2021-02-01
a9aDo000000DOY7IAO,2023-01-01
a9aDo000000DOYGIA4,2021-05-01
a9aDo000000DOYLIA4,2022-09-01
a9aDo000000DOYVIA4,2021-03-01
a9aDo000000DOYXIA4,2021-11-01
a9aDo000000DOYzIAO,2022-01-01
a9aDo000000DOaJIAW,2021-09-01
a9aDo000000DOaYIAW,2022-04-01
a9aDo000000DOZEIA4,2021-06-01
a9aDo000000DOZ6IAO,2021-09-01
a9aDo000000DOZFIA4,2022-11-01
a9aDo000000DOZIIA4,2022-08-01
a9aDo000000DOZYIA4,2022-04-01
a9aDo000000DOZSIA4,2021-09-01
a9aDo000000DOaHIAW,2021-04-01
a9aDo000000DOZkIAO,2021-05-01
a9aDo000000DOZcIAO,2021-03-01
a9aDo000000DOZZIA4,2021-09-01
a9aDo000000DObiIAG,2022-09-01
a9aDo000000DOaoIAG,2022-02-01
a9aDo000000DOatIAG,2021-10-01
a9aDo000000DObIIAW,2022-11-01
a9aDo000000DObZIAW,2021-07-01
a9aDo000000DObaIAG,2022-09-01
a9aDo000000DObfIAG,2022-09-01
a9aDo000000DOc1IAG,2022-09-01
