Id,Payment_Terms__c
001Do00000GZrvLIAT,Due on receipt
001Do00000GZriqIAD,Due on receipt
001Do00000GZrlpIAD,Due on receipt
001Do00000GZsJwIAL,Due on receipt
001Do00000GZsItIAL,Due on receipt
001Do00000GZrWBIA1,Due on receipt
001Do00000GZrRuIAL,Due on receipt
001Do00000GZrT2IAL,Due on receipt
001Do00000GZrbBIAT,Due on receipt
001Do00000GZqugIAD,Due on receipt
001Do00000GZrRLIA1,Due on receipt
001Do00000GZrSAIA1,Due on receipt
001Do00000GZr8eIAD,Due on receipt
001Do00000GZqSmIAL,Due on receipt
001Do00000GZqvpIAD,Due on receipt
001Do00000GZq6mIAD,Due on receipt
001Do00000GZrqkIAD,Due on receipt
001Do00000GZqbUIAT,Due on receipt
001Do00000GZqn2IAD,Due on receipt
001Do00000GZqpMIAT,Due on receipt
001Do00000GZpyPIAT,Due on receipt
001Do00000GZqtiIAD,Due on receipt
001Do00000GZrDxIAL,Due on receipt
001Do00000GZx6iIAD,Due on receipt
001Do00000GZrYrIAL,Due on receipt
001Do00000GZs6iIAD,Due on receipt
001Do00000GZqkbIAD,Due on receipt
001Do00000GZrHuIAL,Due on receipt
001Do00000GZryyIAD,Due on receipt
001Do00000GZrJRIA1,Due on receipt
001Do00000GZqUEIA1,Due on receipt
001Do00000GZrc5IAD,Due on receipt
001Do00000GZqyxIAD,Due on receipt
001Do00000GZpyRIAT,Due on receipt
001Do00000GZr2GIAT,Due on receipt
001Do00000GZrgfIAD,Due on receipt
